i:ID,i:DID,s:AutoQuest Type,i:Min Total Items,i:Max Total Items,s:Distribution,i:Item Categories,s:Item Category 1,s:Item Category 2,s:Item Category 3,s:Item Category 4,i:Pick One Category 1,i:Pick One Category 2,i:Pick One Category 3,i:Pick One Category 4,f:XP Multiplier,f:Gold Multiplier,i:Characters,i:Character 1,i:Character 2,i:Character 3,i:Character 4,i:Character 5,i:Character 6,i:Character 7,i:Character 8,i:Character 9,i:Character 10,i:Character 11,i:Character 12,i:Character 13,i:Character 14,i:Character 15,i:Character 16,i:Character 17,i:Character 18,i:Character 19,i:Character 20,i:Character 21,i:Character 22,i:Character 23,i:Character 24,i:Character 25,i:Character 26,i:Character 27,i:Character 28,i:Character 29,i:Character 30
,,,,,,,,,,,,,,,,,,Mr Krabs,Spongebob,PATRICK,DAVE,TYLER,NEPTUNE,POLICEFISH,PEARL,SANDY,BB,MERMAN,MANRAY,GENE,KEVIN,LARRY,MRSPUFF,REG,SQUID,SQUILL,HARRY,JUDY,TOMMY,SUSIE,MARTHA,FRANK,BILL,SOPHIE,BOB,JOHN,LENNY
1,1,Heart Attack,4,6,random,4,fast_entrée,fast_side,shake,pastry,1,0,0,0,1.1,1.1,30,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
2,2,7 A Day,7,7,random,-1,vegetable,fruit,n/a,n/a,0,0,0,0,1.1,1.1,-1,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
3,3,Shopping List,5,10,random,-1,fixins,vegetable,n/a,n/a,0,0,0,0,1.1,1.1,-1,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
4,4,Fixing Fixin's,6,12,random,-1,vegetable,n/a,n/a,n/a,0,0,0,0,1.1,1.1,-1,3005,1,-1,-1,-1,-1,-1,3004,-1,-1,-1,-1,-1,-1,-1,-1,-1,3016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,5,Drinking Lunch,9,12,random,-1,juice,shake,smoothie,n/a,0,0,0,0,1.1,1.1,-1,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
6,6,Bake Sale,8,16,random,-1,cake,cookie,pastry,pie,0,0,0,0,1.1,1.1,-1,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
7,7,Carnival,8,16,random,-1,hot_dog,ice_cream,cold_drink,snack,1,0,0,0,1.1,1.1,-1,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
8,8,Fast Food,2,2,equal,-1,fast_entrée,fast_side,n/a,n/a,1,1,0,0,1.1,1.1,-1,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
9,9,Health Food,2,2,equal,-1,vegetarian,smoothie,n/a,n/a,1,1,0,0,1.1,1.1,-1,3005,1,2,23,231,3001,3003,3004,3006,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3019,3020,3030,3031,3032,3033,3034,30201,30301,30321,30341
