i:ID,s:Category Name,i:Items,s:Item Name 1,s:Item Name 2,s:Item Name 3,s:Item Name 4,s:Item Name 5,s:Item Name 6,s:Item Name 7,s:Item Name 8,s:Item Name 9,s:Item Name 10,s:Item Name 11,s:Item Name 12,s:Item Name 13,s:Item Name 14,s:Item Name 15,s:Item Name 16,s:Item Name 17,s:Item Name 18,s:Item Name 19,s:Item Name 20,s:Item Name 21,s:Item Name 22,s:Item Name 23,s:Item Name 24,s:Item Name 25,s:Item Name 26,i:Item DID 1,i:Item DID 2,i:Item DID 3,i:Item DID 4,i:Item DID 5,i:Item DID 6,i:Item DID 7,i:Item DID 8,i:Item DID 9,i:Item DID 10,i:Item DID 11,i:Item DID 12,i:Item DID 13,i:Item DID 14,i:Item DID 15,i:Item DID 16,i:Item DID 17,i:Item DID 18,i:Item DID 19,i:Item DID 20,i:Item DID 21,i:Item DID 22,i:Item DID 23,i:Item DID 24,i:Item DID 25,i:Item DID 26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fixins,26,dough,spongecakesquarebake,sugar,cinnamon,cloves,nutmeg,vanilla,icing,whipped_cream,ketchup,mustard,distilled_vinegar,bbq_sauce,mustard_seed,natural_flavors,paprika,salt,turmeric,croutons,bun,hotdogroll,spicyspacklesauce,driftwood,shellac,spackle,picodegallo,9106,80015,9107,9108,9110,9114,2000,9112,9118,94,-1,-1,-1,-1,-1,-1,-1,-1,93,1005,1008,-1,-1,-1,-1,97
2,snack,-1,bruschetta,cubedketchupkabobs,popcorn,garlicbread,toast,roasted_chestnut,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27,95,9202,41,92,9102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,candy,-1,chocolate,peanut_brittle,peppermint,marshmallow,candy_cane,english_toffee,fudge,sugar_plum,chocolates,truffles,cotton_candy,candy_heart_on_stick,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9109,9103,9116,9113,9124,9125,9126,9127,9201,9203,9204,9205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,bbq,-1,lemonade,limeade,barkingbrisket,mesquiteribs,pulledpulpsandwich,rustyonrye,spicyspacklesauce,splinteredslaw,ribeyesandwich,barkchopsandwich,bbq_sauce,ketchup,mustard,bun,hotdogroll,splinteredslaw,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20001,20002,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,-1,1005,1008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,vegetarian,-1,veggiepatty,salad,caesarsalad,seaweedsalad,kelpfries,kelpcakes,kelpdog,klt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40,46,31,22,18,19,21,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,soup,-1,tomatobisque,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,fast_fixins,-1,ketchup,mustard,distilled_vinegar,bbq_sauce,mustard_seed,natural_flavors,paprika,salt,turmeric,croutons,bun,hotdogroll,spicyspacklesauce,driftwood,shellac,spackle,picodegallo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,94,-1,-1,-1,-1,-1,-1,-1,-1,93,1005,1008,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,fast_side,-1,kelpfries,kelpcakes,salad,caesarsalad,seaweedsalad,tomatobisque,splinteredslaw,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,19,46,31,22,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,fast_entrée,-1,krabbypatty,cryingjohnny,kelpdog,klt,veggiepatty,pipsqueakpatty,barkchopsandwich,barkingbrisket,mesquiteribs,pulledpulpsandwich,rustyonrye,ribeyesandwich,dutchmansdouble,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,15,21,23,40,99,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,hot_dog,-1,kelpdog,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,baked_fixins,-1,dough,spongecakesquarebake,sugar,cinnamon,cloves,nutmeg,vanilla,icing,whipped_cream,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9106,80015,9107,9108,9110,9114,2000,9112,9118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,pie,-1,dutchmansdutchapplepie,coconutcobbler,lifesabeachpeachcobbler,meringuelemanray,sealimepie,cherriesgary,theapplefancyson,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80004,80002,80008,80010,80013,80001,80016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,pastry,-1,everyvillainislemonbar,maroonedmacaroons,pufferpastrytart,sandystexastwoberrytart,kelpycrust,coralcrumble,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80005,80009,80011,80012,80007,80003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,cookie,-1,gingerbread_elf,snickerdoodle,christmas_cookie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9121,9101,9119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,cake,-1,bread_pudding,yule_log_cake,bananabananabread,ferrycherrycheesecake,sheldonsstrawberryshortcake,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9104,9105,80000,80006,80014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,produce,-1,lettuce,onion,potato,tomato,kelp,vanilla,coralbits,garlic,peanuts,corn,strawberry,blueberry,ginger,banana,apple,cherry,coconut,lemon,lime,orange,peach,chestnut,cranberry,n/a,n/a,n/a,1000,1001,1002,1003,1004,2000,2001,2002,9115,9200,10008,10009,9111,10000,10001,10002,10003,10004,10005,10006,10007,10010,10011,-1,-1,-1
17,fruit,-1,tomato,vanilla,coralbits,garlic,peanuts,corn,ginger,apple,cherry,coconut,lemon,lime,orange,peach,chestnut,cranberry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1003,2000,2001,2002,9115,9200,9111,10001,10002,10003,10004,10005,10006,10007,10010,10011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,vegetable,-1,lettuce,onion,potato,kelp,strawberry,blueberry,banana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000,1001,1002,1004,10008,10009,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,scent,-1,4ofcups,capsizeforher,capsizeforhim,coralbreeze,fishermansflowers,lampreyaway,scentosailor,seashanty,thatssocoral,thedump,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70000,70001,70002,70005,70006,70007,70008,70009,70010,70011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,perfume,-1,capsizeforher,4ofcups,coralbreeze,thatssocoral,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70001,70000,70005,70010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,cologne,-1,capsizeforhim,fishermansflowers,lampreyaway,scentosailor,seashanty,thedump,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70002,70006,70007,70008,70009,70011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,flower_coral,-1,branchcoral,cupcoral,seaflower,stinkysearose,tubecoral,friendlyflower,cupn2flowers,bunchobranches,cupcoraltree,coralparadise,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60000,60001,60002,60003,60004,60014,60015,60016,60017,60018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,cold_drink,-1,lemonade,limeade,applejuice,orangejuice,peachnectar,bananabreaker,berryblast,cherryslurvey,cherryadechiller,citrusslurvey,hang8,liquidcobbler,nannascsernade,orangenut,strawberrysqueeze,strawnanatsunami,wannanana,bananasnbits,berrybliss,coralcrush,fruitybreeze,saltybanana,strawberryriptide,tartberrytwist,vanillablast,n/a,20001,20002,20000,20003,20004,30000,30001,30002,30003,30004,30005,30006,30007,30008,30009,30010,30011,50000,50001,50002,50003,50004,50005,50006,50007,-1
24,hot_drink,-1,apple_cider,hot_chocolate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9120,9123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,juice,-1,applejuice,orangejuice,peachnectar,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20000,20003,20004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,smoothie,-1,bananabreaker,berryblast,cherryslurvey,cherryadechiller,citrusslurvey,hang8,liquidcobbler,nannascsernade,orangenut,strawberrysqueeze,strawnanatsunami,wannanana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30000,30001,30002,30003,30004,30005,30006,30007,30008,30009,30010,30011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,ice_cream,-1,bananaicecream,bananasplit,berryscoops,caramelicecream,coralbitsicecream,lemongelato,seasalticecream,strawberryicecream,vanillaicecream,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40000,40001,40002,40003,40004,40005,40006,40007,40008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,shake,-1,bananasnbits,berrybliss,coralcrush,fruitybreeze,saltybanana,strawberryriptide,tartberrytwist,vanillablast,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50000,50001,50002,50003,50004,50005,50006,50007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
