i:id,i:Paytable Trigger DID,s:Paytable Trigger Type,s:Paytable Trigger Name,i:Paytable DID,s:Paytable Name,i:One Time Reward,i:Number of Reward Sets,s:Number of Rewards per Set,f:Set Odds 1,s:Set Type 1,i:Set 1 Reward DID 1,i:Set 1 Reward DID 2,i:Set 1 Reward DID 3,i:Set 1 Reward DID 4,i:Set 1 Reward DID 5,i:Set 1 Reward DID 6,i:Set 1 Reward DID 7,i:Set 1 Reward DID 8,i:Set 1 Reward DID 9,i:Set 1 Reward DID 10,i:Set 1 Reward DID 11,f:Set 1 Reward Odds 1,f:Set 1 Reward Odds 2,f:Set 1 Reward Odds 3,f:Set 1 Reward Odds 4,f:Set 1 Reward Odds 5,f:Set 1 Reward Odds 6,f:Set 1 Reward Odds 7,f:Set 1 Reward Odds 8,f:Set 1 Reward Odds 9,f:Set 1 Reward Odds 10,f:Set 1 Reward Odds 11,i:Set 1 Reward Amount 1,i:Set 1 Reward Amount 2,i:Set 1 Reward Amount 3,i:Set 1 Reward Amount 4,i:Set 1 Reward Amount 5,i:Set 1 Reward Amount 6,i:Set 1 Reward Amount 7,i:Set 1 Reward Amount 8,i:Set 1 Reward Amount 9,i:Set 1 Reward Amount 10,i:Set 1 Reward Amount 11,f:Set Odds 2,s:Set Type 2,i:Set 2 Reward DID 1,i:Set 2 Reward DID 2,i:Set 2 Reward DID 3,i:Set 2 Reward DID 4,f:Set 2 Reward Odds 1,f:Set 2 Reward Odds 2,f:Set 2 Reward Odds 3,f:Set 2 Reward Odds 4,i:Set 2 Reward Amount 1,i:Set 2 Reward Amount 2,i:Set 2 Reward Amount 3,i:Set 2 Reward Amount 4,f:Set Odds 3,s:Set Type 3,i:Set 3 Reward DID 1,i:Set 3 Reward DID 2,i:Set 3 Reward DID 3,i:Set 3 Reward DID 4,f:Set 3 Reward Odds 1,f:Set 3 Reward Odds 2,f:Set 3 Reward Odds 3,f:Set 3 Reward Odds 4,i:Set 3 Reward Amount 1,i:Set 3 Reward Amount 2,i:Set 3 Reward Amount 3,i:Set 3 Reward Amount 4
empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,wish,!!FOOD_JELLYPATTY,1,base,0,3,11|4|4,0.25,resources,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.4,0.1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,15,-1,-1,-1,-1,-1,-1,-1,-1,0.25,resources,5,5,5,-1,0.5,0.4,0.1,-1,1,2,5,-1,0.5,resources,2,2,2,2,0.75,0.2,0.03,0.02,1,2,5,25
1,96,wish,!!FOOD_JELLIEDTOAST,1,base,0,-1,-1,0.25,resources,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.4,0.1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,15,-1,-1,-1,-1,-1,-1,-1,-1,0.25,resources,5,5,5,-1,0.5,0.4,0.1,-1,1,2,5,-1,0.5,resources,2,2,2,2,0.75,0.2,0.03,0.02,1,2,5,25
2,1,wish,!!FOOD_KRABBYPATTY,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,4,wish,!!RESOURCE_LEVEL,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,15,wish,!!FOOD_CRYJOHNNY,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,16,wish,!!FOOD_DUTCHDOUBLE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,18,wish,!!FOOD_KELPFRIES,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,19,wish,!!FOOD_KELPCAKE,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,21,wish,!!FOOD_KELPDOG,1,base,0,-1,-1,0.97,resources,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.32,0.45,-1,-1,-1,-1,-1,-1,-1,-1,15,10,5,-1,-1,-1,-1,-1,-1,-1,-1,0.03,resources,2,2,-1,-1,0.66,0.34,-1,-1,1,2,-1,-1,0,none,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
