i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Level Min,s:Portrait,i:Build Time,i:Build Timer Duration,i:Rent Time,i:Rent Timer Duration,i:Product Resources Gold,i:Product Resources XP,i:Flippable,s:Completion Sound,i:Num Residents,i:Resident 1,i:Resident 2,i:Resident 3,i:Resident 4,i:Resident 5,s:Sound On Select,i:Has Move In,i:Rent Rushable,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward Resources XP,i:Completion Reward Movie,s:Completion Reward Thought Icon,i:Completion Reward Resources Gold,i:Product Special DID,i:Product Special Amount,i:Instance Limit 1
id,type,name,did,height,width,level_min,portrait,build_time,build_timer_duration,rent_time,rent_timer_duration,product|resources|3,product|resources|5,flippable,completion_sound,,resident,,,,,sound_on_select,has_move_in,rent_rushable,point_of_interest|facing,point_of_interest|x,point_of_interest|y,completion_reward|resources|5,,,completion_reward|resources|3,,,instance_limit|1
1,building,!!BLDG_NAME_SB,1015,40,40,1,PineappleHouse_Portrait.png,1,5,300,5,10,1,1,SB_Sweet,5,1,-1,-1,-1,-1,PineappleSelect,1,1,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1
2,building,!!BLDG_NAME_1022_DAVES_HOUSE,1022,20,40,1,FishHome1_Blue_Portrait.png,1,5,1800,5,25,2,1,SB_Neighbor,-1,23,-1,-1,-1,-1,n/a,0,1,southeast,-20,10,25,-1,IconXP_1.png,-1,-1,-1,1
3,building,!!BLDG_NAME_1031_BILLS_HOUSE,1031,40,40,-1,FishHome2_Green_Portrait.png,150,5,3600,5,30,2,1,SB_SomeoneNew,-1,3034,-1,-1,-1,-1,n/a,0,1,southeast,-10,20,25,-1,IconXP_1.png,-1,-1,-1,1
4,building,!!BLDG_NAME_1023_JUDYS_HOUSE,1023,20,40,-1,FishHome1_Rust_Portrait.png,900,5,10800,5,40,3,1,SB_SomeoneNew,-1,3020,-1,-1,-1,-1,n/a,0,1,southeast,-20,10,25,-1,IconXP_1.png,-1,-1,-1,1
5,building,!!BLDG_NAME_POLICE,1004,60,60,4,PoliceStation_Portrait.png,21600,5,21600,5,50,4,0,SB_MrPoliceman,-1,3003,-1,-1,-1,-1,PoliceStationSelect,1,1,southeast,-20,20,10,-1,IconXP_1.png,-1,-1,-1,1
6,building,!!BLDG_NAME_PATRICK,1017,40,40,5,Patrick'sRock_Portrait.png,28800,5,43200,5,70,6,1,P_MoveIn,-1,2,-1,-1,-1,-1,n/a,1,1,southeast,-20,10,10,3,IconXP_1.png,-1,-1,-1,1
7,building,!!BLDG_NAME_EASTER,1016,40,40,6,Squidward'sHouse_Portrait.png,43200,5,3600,5,30,2,1,Squidward_MoveIn,-1,3016,-1,-1,-1,-1,n/a,1,1,southeast,-10,10,10,6,IconXP_1.png,-1,-1,-1,1
8,building,!!BLDG_NAME_THEREEF,1007,40,60,7,ReefCinema_Portrait.png,14400,5,28800,5,60,5,0,GS_MoveIn,-1,3011,-1,-1,-1,-1,ReefSelect,1,1,southeast,-20,20,10,-1,IconXP_1.png,-1,-1,-1,1
9,building,!!BLDG_NAME_9009_FRANKS_HOUSE,9009,40,40,8,FishHome2_Purple_Portrait.png,43200,5,21600,5,50,4,1,SB_Neighbor,-1,3033,-1,-1,-1,-1,n/a,0,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
10,building,!!BLDG_NAME_9006_MARTHAS_HOUSE,9006,20,40,9,FishHome1_Mustard_Portrait.png,86400,5,28800,5,60,5,1,n/a,-1,3032,-1,-1,-1,-1,n/a,0,1,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1
11,building,!!BLDG_NAME_9000_TOMMYS_HOUSE,9000,40,40,11,FishHome5_Yellow_Portrait.png,86400,5,43200,5,70,6,1,n/a,-1,3030,-1,-1,-1,-1,n/a,0,1,southeast,-10,20,10,-1,IconXP_1.png,-1,-1,-1,1
12,building,!!BLDG_NAME_9001_JOHNS_HOUSE_LIGHTBLUE,9001,40,40,12,FishHome3_LightBlue_Portrait.png,86400,5,10800,5,40,3,1,n/a,-1,30321,-1,-1,-1,-1,n/a,0,1,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,1
