i:ID,i:DID,s:Costume Name,s:Costume Prefab,s:Texture,s:Portait,s:Material,i:Wishtable DID,i:Unit DID,i:Hidden Until Unlocked,i:Default Costume,s:Unlock Criteria Text,i:Unlock Criteria Level,s:Unlock Criteria Asset Type,i:Unlock Criteria Asset DID,i:Unlock Criteria Asset Amount,i:Unlock Criteria Max Quests,i:Unlock Criteria Quest 1,i:Unlock Criteria Quest 2,s:Unlock Criteria Quest Description 1,s:Unlock Criteria Quest Description 2
empty,,,,,,,,,,,,,,,,,,,,
1,1,!!COSTUME_SPONGEBOB_DEFAULT,SpongeBob_Default,SpongeBob_Body,Portrait_SpongeBob.png,SpongeBob_Body,-1,1,0,1,n/a,-1,n/a,-1,-1,2,-1,-1,n/a,n/a
2,3,!!COSTUME_SPONGEBOB_UNDERPANTS,underwear,SpongeBob_Underpants,Portrait_Spongebob_TightyWhiteys.png,SpongeBob_Underpants,52,1,0,0,!!COSTUME_SPONGEBOB_UNDERPANTS_UNLOCK,-1,n/a,-1,-1,-1,40066,40200,!!COSTUME_SPONGEBOB_UNDERPANTS_UNLOCK_QUEST1,!!COSTUME_SPONGEBOB_UNDERPANTS_UNLOCK_QUEST2
3,4,!!COSTUME_SPONGEBOB_ABRASIVE,abrasive,SpongeBob_Abrasive,Portrait_Spongebob_AbrasiveSide.png,SpongeBob_Abrasive,53,1,0,0,!!COSTUME_SPONGEBOB_ABRASIVE_UNLOCK,-1,building,1016,1,-1,2412,-1,!!COSTUME_SPONGEBOB_ABRASIVE_UNLOCK_QUEST1,n/a
4,2,!!COSTUME_SPONGEBOB_MERMAIDMAN,mermaid_man,SpongeBob_MermaidMan,Portrait_Spongebob_MermaidMan.png,SpongeBob_MermaidMan,49,1,1,0,!!COSTUME_SPONGEBOB_MERMAIDMAN_UNLOCK,1,n/a,-1,-1,-1,-1,-1,!!COSTUME_SPONGEBOB_MERMAIDMAN_UNLOCK_QUEST1,n/a
5,10,!!COSTUME_SPONGEBOB_SANTA_HAT,santa_hat,SpongeBob_SantaFull,Portrait_SpongeBob_SantaHat.png,SpongeBob_SantaFull,47,1,1,0,n/a,1,n/a,-1,-1,-1,-1,-1,!!COSTUME_SPONGEBOB_SANTA_HAT_UNLOCK_QUEST1,n/a
6,11,!!COSTUME_SPONGEBOB_SANTA_SUIT,santa_suit,SpongeBob_SantaFull,Portrait_Spongebob_SantaFull.png,SpongeBob_SantaFull,48,1,1,0,n/a,1,n/a,-1,-1,-1,-1,-1,n/a,n/a
7,14,!!COSTUME_SPONGEBOB_CUPID,cupid,SpongeBob_S_Cupid,Portrait_Spongebob_Cupid.png,SpongeBob_Cupid,59,1,1,0,n/a,1,n/a,-1,-1,-1,-1,-1,n/a,n/a
8,21,!!COSTUME_SPONGEBOB_ANCHORARMS,anchor,SpongeBob_S_Anchor,Portrait_Spongebob_Crossed_MuscleArms.png,SpongeBob_S_Anchor,60,1,1,0,n/a,1,n/a,-1,-1,-1,-1,-1,n/a,n/a
9,5,!!COSTUME_SPONGEBOB_MICROTEST,underwear,SpongeBob_Underpants,Portrait_Spongebob_MermaidMan.png,SpongeBob_Underpants,52,1,1,0,n/a,-1,n/a,-1,-1,-1,-1,-1,n/a,n/a
