i:id,s:Session Action ID,i:Background Color R,i:Background Color G,i:Background Color B,s:Cancel Button Texture,s:Title Texture,s:Slot Texture,s:Title Icon Texture,s:Button Icon,s:Button Label,s:Open Sound,s:Close Sound,s:Music,i:Recipe Columns,i:Recipe 1,i:Recipe 2,i:Recipe 3,i:Recipe 4,i:Recipe 5,i:Recipe 6,i:Recipe 7,i:Recipe 8,i:Recipe 9,i:Recipe 10,i:Recipe 11,i:Recipe 12,i:Recipe 13,i:Recipe 14,i:Recipe 15,i:Recipe 16,i:Recipe 17,i:Recipe 18,i:Recipe 19,i:Recipe 20,i:Recipe 21,i:Recipe 22,i:Recipe 23,i:Recipe 24,i:Recipe 25,i:Recipe 26,i:Recipe 27,i:Recipe 28,i:Recipe 29,i:Recipe 30,i:Recipe 31,i:Recipe 32,i:Recipe 33,i:Recipe 34,i:Recipe 35,i:Recipe 36,i:Recipe 37,i:Recipe 38,i:Recipe 39,i:Recipe 40,i:Recipe 41,i:Recipe 42,i:Recipe 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dialog_Craft_GalleyGrub,255,155,45,CancelButton.png,GalleyGrubTitle.png,GalleyGrubSlot1.png,GalleyGrubTitleIcon.png,RecipeSpatula.png,!!PREFAB_MAKE,OpenGalleyGrubMenu,CloseGalleyGrubMenu,GalleyGrub,43,1,4,5,27,31,15,29,28,30,26,23,17,18,21,19,24,22,25,16,20,32,40,42,43,44,45,46,50,91,90,94,95,97,99,100,9020,9102,9123,9121,9122,9202,9404,9600
2,Dialog_Craft_Garden,109,255,78,GreenCancelButton.png,SeedStoreTitle.png,SeedStoreSlot.png,SeedStoreTitleIcon.png,n/a,!!PREFAB_GROW,OpenGardenMenu,CloseMenu,SeedStore,-1,1000,1001,1002,1003,1004,10008,10009,2000,2002,60000,60001,60002,60003,60004,9115,9200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Dialog_Craft_Bakery,78,233,255,BakeryCancel.png,BakeryTitle.png,BakerySlot.png,BakeryTitleIcon.png,n/a,!!PREFAB_BAKE,OpenMenu,CloseMenu,n/a,-1,1005,92,93,41,1006,1007,1008,1009,1010,96,80000,80001,80002,80003,80004,80005,80006,80007,80008,80009,80010,80011,80012,80013,80014,80015,80016,9101,9104,9105,9106,9119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Dialog_Craft_Tree,255,155,45,BakeryCancel.png,BakeryTitle.png,BakerySlot.png,BakeryTitleIcon.png,n/a,!!PREFAB_BAKE,OpenMenu,CloseMenu,n/a,-1,10000,10001,10006,10007,10010,10011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Dialog_Craft_JuiceBar,109,255,78,GreenCancelButton.png,JuiceBarTitle.png,JuiceBarSlot.png,JuiceBarTitleIcon.png,n/a,!!PREFAB_MAKE,OpenMenu,CloseMenu,n/a,-1,20000,20001,20002,20003,20004,30000,30001,30002,30003,30004,30005,30006,30007,30008,30009,30010,30011,9120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Dialog_Craft_FLowerShop,109,255,78,GreenCancelButton.png,FlowerShopTitle.png,FlowerShopSlot.png,FlowerShopTitleIcon.png,n/a,!!PREFAB_MAKE,OpenMenu,CloseMenu,n/a,-1,60014,60015,60016,60017,60018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Dialog_Craft_IceCreamShop,255,154,232,BrownCancelButton.png,IceCreamShopTitle.png,IceCreamShopSlot.png,IceCreamShopTitleIcon.png,n/a,!!PREFAB_MAKE,OpenMenu,CloseMenu,n/a,-1,40000,40001,40002,40003,40004,40005,40006,40007,40008,50000,50001,50002,50003,50004,50005,50006,50007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Dialog_Craft_PerfumeShop,255,154,232,PinkCancelButton.png,PerfumeShopTitle.png,PerfumeShopSlot.png,PerfumeShopTitleIcon.png,n/a,!!PREFAB_MAKE,OpenMenu,CloseMenu,n/a,-1,70000,70001,70002,70005,70006,70007,70008,70009,70010,70011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,CraftingScreen_RustysRibyeye,33,234,163,GreenCancelButton.png,RustysRibeyeTitle.png,RustysRibeyeSlot.png,RustysRibeyeIcon.png,n/a,!!PREFAB_MAKE,OpenMenu,CloseMenu,n/a,-1,9000,9001,9014,9015,9016,9017,9018,9019,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
