i:ID,s:Type,s:Name,i:DID,i:Cost Gold,i:Clear Time,i:Clearing Reward XP,s:Clearing Reward Thought Icon,i:Clearing Jelly Reward Columns,i:Clearing Jelly Reward Amount 1,f:Clearing Jelly Reward Odds 1,i:Level Min,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Height,i:Width,i:Is Waypoint,i:Timer Duration
id,type,name,did,cost|3,clear_time,clearing_reward|resources|5,clearing_reward|thought_icon,,1,clearing_reward|resources|2|1,level_min,point_of_interest|facing,point_of_interest|x,point_of_interest|y,height,width,is_waypoint,timer_duration
1,debris,!!DEBRIS_PLANT3_MEDIUM,4095,5,0,5,IconXP_1.png,1,1,0.33,1,southeast,0,0,20,20,0,5
2,debris,!!DEBRIS_PLANT3_MEDIUM,4005,5,15,5,IconXP_1.png,-1,1,0.33,1,southeast,0,0,15,15,0,5
3,debris,!!DEBRIS_PLANT4_MEDIUM,4008,5,15,5,IconXP_1.png,-1,1,0.33,1,southeast,0,0,15,15,0,5
4,debris,!!DEBRIS_SEAWEED_GREEN_SMALL,4002,25,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,15,15,0,5
5,debris,!!DEBRIS_PLANT1_MEDIUM,4007,25,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,20,20,0,5
6,debris,!!DEBRIS_SEAWEED_DARKGREEN_SMALL,4045,25,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,15,15,0,5
7,debris,!!DEBRIS_SEAWEED_DARKGREEN_MEDIUM,4044,100,300,25,IconXP_1.png,-1,1,0.66,1,southeast,0,0,20,20,0,5
8,debris,!!DEBRIS_SHELL_SMALL,4014,50,600,25,IconXP_1.png,-1,1,0.66,1,southeast,0,0,20,20,0,5
9,debris,!!DEBRIS_SEAWEED_GREEN_MEDIUM,4004,100,6000,25,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
10,debris,!!DEBRIS_PLANT5_MEDIUM,4009,100,6000,25,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
11,debris,!!DEBRIS_SEAPLANT1_TALL,4011,250,43200,100,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
12,debris,!!DEBRIS_SEAPLANT2_TALL,4013,250,43200,100,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
13,debris,!!DEBRIS_BOARDWALK_1,2300,15,15,5,IconXP_1.png,-1,1,0.33,1,southeast,0,0,15,15,0,5
14,debris,!!DEBRIS_BOARDWALK_2,2301,15,15,5,IconXP_1.png,-1,1,0.33,1,southeast,0,0,15,15,0,5
15,debris,!!DEBRIS_BOARDWALK_3,2302,75,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,20,20,0,5
16,debris,!!DEBRIS_BOARDWALK_4,2303,75,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,15,15,0,5
17,debris,!!DEBRIS_BOARDWALK_5,2304,75,60,5,IconXP_1.png,-1,1,0.5,1,southeast,0,0,15,15,0,5
18,debris,!!DEBRIS_BOARDWALK_7,2306,300,300,25,IconXP_1.png,-1,1,0.66,1,southeast,0,0,20,20,0,5
19,debris,!!DEBRIS_BOARDWALK_6,2305,150,600,25,IconXP_1.png,-1,1,0.66,1,southeast,0,0,10,10,0,5
20,debris,!!DEBRIS_BOARDWALK_8,2307,300,6000,25,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
21,debris,!!DEBRIS_BOARDWALK_9,2308,300,6000,25,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
22,debris,!!DEBRIS_BOARDWALK_10,2309,750,43200,100,IconXP_1.png,-1,1,1,1,southeast,0,0,20,20,0,5
23,debris,!!DEBRIS_SEAGRASS_SMALL,4027,5,30,5,IconXP_1.png,-1,1,0.33,1,southeast,0,0,10,10,0,5
24,debris,!!DEBRIS_WHITEFLOWER_SMALL,4028,5,30,5,IconXP_1.png,-1,1,0.33,2,southeast,0,0,10,10,0,5
25,debris,!!DEBRIS_ROCKPIECE_MEDIUM,4016,25,300,25,IconXP_1.png,-1,1,0.66,1,southeast,0,0,20,20,0,5
