i:ID,i:Slot DID,i:Debris DID,s:Label,i:Position X,i:Position Y
dfg,,,,,
1,2,4002,96f439b2-3dcd-0201-4002-4ec4bed146d2,1000,860
2,2,4002,96f439b2-3dcd-0202-4002-4ec4bed146d2,1040,856
3,2,4002,96f439b2-3dcd-0203-4002-4ec4bed146d2,981,919
4,2,4005,96f439b2-3dcd-0201-4005-4ec4bed146d2,999,918
5,2,4005,96f439b2-3dcd-0202-4005-4ec4bed146d2,1041,903
6,2,4005,96f439b2-3dcd-0203-4005-4ec4bed146d2,1026,882
7,2,4045,96f439b2-3dcd-0201-4045-4ec4bed146d2,977,862
8,2,4045,96f439b2-3dcd-0202-4045-4ec4bed146d2,987,891
9,2,4008,96f439b2-3dcd-0201-4008-4ec4bed146d2,1052,884
10,2,4008,96f439b2-3dcd-0202-4008-4ec4bed146d2,1038,864
11,2,4007,96f439b2-3dcd-0201-4007-4ec4bed146d2,996,880
12,2,4007,96f439b2-3dcd-0202-4007-4ec4bed146d2,1035,908
13,2,4004,96f439b2-3dcd-0201-4004-4ec4bed146d2,965,896
14,2,4004,96f439b2-3dcd-0202-4004-4ec4bed146d2,1056,887
15,2,4009,96f439b2-3dcd-0201-4009-4ec4bed146d2,980,924
16,2,4009,96f439b2-3dcd-0202-4009-4ec4bed146d2,1045,906
17,2,4044,96f439b2-3dcd-0201-4044-4ec4bed146d2,1045,863
18,2,4044,96f439b2-3dcd-0202-4044-4ec4bed146d2,974,874
19,2,4011,96f439b2-3dcd-0201-4011-4ec4bed146d2,990,891
20,2,4013,96f439b2-3dcd-0201-4013-4ec4bed146d2,1044,916
21,3,4002,96f439b2-3dcd-0301-4002-4ec4bed146d2,895,865
22,3,4002,96f439b2-3dcd-0302-4002-4ec4bed146d2,919,930
23,3,4002,96f439b2-3dcd-0303-4002-4ec4bed146d2,874,877
24,3,4005,96f439b2-3dcd-0301-4005-4ec4bed146d2,884,946
25,3,4005,96f439b2-3dcd-0302-4005-4ec4bed146d2,850,914
26,3,4005,96f439b2-3dcd-0303-4005-4ec4bed146d2,852,876
27,3,4045,96f439b2-3dcd-0301-4045-4ec4bed146d2,916,876
28,3,4045,96f439b2-3dcd-0302-4045-4ec4bed146d2,853,868
29,3,4008,96f439b2-3dcd-0301-4008-4ec4bed146d2,863,885
30,3,4008,96f439b2-3dcd-0302-4008-4ec4bed146d2,845,877
31,3,4007,96f439b2-3dcd-0301-4007-4ec4bed146d2,911,889
32,3,4007,96f439b2-3dcd-0302-4007-4ec4bed146d2,921,866
33,3,4004,96f439b2-3dcd-0301-4004-4ec4bed146d2,852,927
34,3,4004,96f439b2-3dcd-0302-4004-4ec4bed146d2,924,880
35,3,4009,96f439b2-3dcd-0301-4009-4ec4bed146d2,874,865
36,3,4009,96f439b2-3dcd-0302-4009-4ec4bed146d2,930,905
37,3,4044,96f439b2-3dcd-0301-4044-4ec4bed146d2,848,921
38,3,4044,96f439b2-3dcd-0302-4044-4ec4bed146d2,922,940
39,3,4011,96f439b2-3dcd-0301-4011-4ec4bed146d2,845,881
40,3,4013,96f439b2-3dcd-0301-4013-4ec4bed146d2,882,878
41,4,4002,96f439b2-3dcd-0401-4002-4ec4bed146d2,800,860
42,4,4002,96f439b2-3dcd-0402-4002-4ec4bed146d2,800,860
43,4,4002,96f439b2-3dcd-0403-4002-4ec4bed146d2,745,907
44,4,4005,96f439b2-3dcd-0401-4005-4ec4bed146d2,777,854
45,4,4005,96f439b2-3dcd-0402-4005-4ec4bed146d2,799,903
46,4,4005,96f439b2-3dcd-0403-4005-4ec4bed146d2,735,905
47,4,4045,96f439b2-3dcd-0401-4045-4ec4bed146d2,737,849
48,4,4045,96f439b2-3dcd-0402-4045-4ec4bed146d2,811,937
49,4,4008,96f439b2-3dcd-0401-4008-4ec4bed146d2,821,867
50,4,4008,96f439b2-3dcd-0402-4008-4ec4bed146d2,728,924
51,4,4007,96f439b2-3dcd-0401-4007-4ec4bed146d2,758,867
52,4,4007,96f439b2-3dcd-0402-4007-4ec4bed146d2,783,922
53,4,4004,96f439b2-3dcd-0401-4004-4ec4bed146d2,730,853
54,4,4004,96f439b2-3dcd-0402-4004-4ec4bed146d2,735,922
55,4,4009,96f439b2-3dcd-0401-4009-4ec4bed146d2,729,929
56,4,4009,96f439b2-3dcd-0402-4009-4ec4bed146d2,755,910
57,4,4044,96f439b2-3dcd-0401-4044-4ec4bed146d2,756,883
58,4,4044,96f439b2-3dcd-0402-4044-4ec4bed146d2,813,899
59,4,4011,96f439b2-3dcd-0401-4011-4ec4bed146d2,793,905
60,4,4013,96f439b2-3dcd-0401-4013-4ec4bed146d2,759,923
61,5,4002,96f439b2-3dcd-0501-4002-4ec4bed146d2,808,824
62,5,4002,96f439b2-3dcd-0502-4002-4ec4bed146d2,778,736
63,5,4002,96f439b2-3dcd-0503-4002-4ec4bed146d2,755,743
64,5,4005,96f439b2-3dcd-0501-4005-4ec4bed146d2,800,760
65,5,4005,96f439b2-3dcd-0502-4005-4ec4bed146d2,785,732
66,5,4005,96f439b2-3dcd-0503-4005-4ec4bed146d2,773,768
67,5,4045,96f439b2-3dcd-0501-4045-4ec4bed146d2,736,765
68,5,4045,96f439b2-3dcd-0502-4045-4ec4bed146d2,726,768
69,5,4008,96f439b2-3dcd-0501-4008-4ec4bed146d2,824,729
70,5,4008,96f439b2-3dcd-0502-4008-4ec4bed146d2,809,777
71,5,4007,96f439b2-3dcd-0501-4007-4ec4bed146d2,740,738
72,5,4007,96f439b2-3dcd-0502-4007-4ec4bed146d2,779,765
73,5,4004,96f439b2-3dcd-0501-4004-4ec4bed146d2,787,790
74,5,4004,96f439b2-3dcd-0502-4004-4ec4bed146d2,769,803
75,5,4009,96f439b2-3dcd-0501-4009-4ec4bed146d2,730,771
76,5,4009,96f439b2-3dcd-0502-4009-4ec4bed146d2,770,815
77,5,4044,96f439b2-3dcd-0501-4044-4ec4bed146d2,736,805
78,5,4044,96f439b2-3dcd-0502-4044-4ec4bed146d2,788,763
79,5,4011,96f439b2-3dcd-0501-4011-4ec4bed146d2,725,807
80,5,4013,96f439b2-3dcd-0501-4013-4ec4bed146d2,725,747
81,6,4002,96f439b2-3dcd-0601-4002-4ec4bed146d2,730,657
82,6,4002,96f439b2-3dcd-0602-4002-4ec4bed146d2,819,643
83,6,4002,96f439b2-3dcd-0603-4002-4ec4bed146d2,764,679
84,6,4005,96f439b2-3dcd-0601-4005-4ec4bed146d2,771,607
85,6,4005,96f439b2-3dcd-0602-4005-4ec4bed146d2,738,626
86,6,4005,96f439b2-3dcd-0603-4005-4ec4bed146d2,759,628
87,6,4045,96f439b2-3dcd-0601-4045-4ec4bed146d2,803,615
88,6,4045,96f439b2-3dcd-0602-4045-4ec4bed146d2,813,611
89,6,4008,96f439b2-3dcd-0601-4008-4ec4bed146d2,784,680
90,6,4008,96f439b2-3dcd-0602-4008-4ec4bed146d2,730,649
91,6,4007,96f439b2-3dcd-0601-4007-4ec4bed146d2,727,677
92,6,4007,96f439b2-3dcd-0602-4007-4ec4bed146d2,809,677
93,6,4004,96f439b2-3dcd-0601-4004-4ec4bed146d2,806,615
94,6,4004,96f439b2-3dcd-0602-4004-4ec4bed146d2,731,628
95,6,4009,96f439b2-3dcd-0601-4009-4ec4bed146d2,769,634
96,6,4009,96f439b2-3dcd-0602-4009-4ec4bed146d2,730,685
97,6,4044,96f439b2-3dcd-0601-4044-4ec4bed146d2,734,675
98,6,4044,96f439b2-3dcd-0602-4044-4ec4bed146d2,786,693
99,6,4011,96f439b2-3dcd-0601-4011-4ec4bed146d2,750,610
100,6,4013,96f439b2-3dcd-0601-4013-4ec4bed146d2,731,678
101,6,4014,96f439b2-3dcd-0601-4014-4ec4bed146d2,809,610
102,7,4002,96f439b2-3dcd-0701-4002-4ec4bed146d2,800,560
103,7,4002,96f439b2-3dcd-0702-4002-4ec4bed146d2,764,517
104,7,4002,96f439b2-3dcd-0703-4002-4ec4bed146d2,769,579
105,7,4005,96f439b2-3dcd-0701-4005-4ec4bed146d2,804,495
106,7,4005,96f439b2-3dcd-0702-4005-4ec4bed146d2,743,494
107,7,4005,96f439b2-3dcd-0703-4005-4ec4bed146d2,775,549
108,7,4045,96f439b2-3dcd-0701-4045-4ec4bed146d2,820,581
109,7,4045,96f439b2-3dcd-0702-4045-4ec4bed146d2,784,561
110,7,4008,96f439b2-3dcd-0701-4008-4ec4bed146d2,731,578
111,7,4008,96f439b2-3dcd-0702-4008-4ec4bed146d2,727,494
112,7,4007,96f439b2-3dcd-0701-4007-4ec4bed146d2,769,518
113,7,4007,96f439b2-3dcd-0702-4007-4ec4bed146d2,744,572
114,7,4004,96f439b2-3dcd-0701-4004-4ec4bed146d2,801,574
115,7,4004,96f439b2-3dcd-0702-4004-4ec4bed146d2,806,539
116,7,4009,96f439b2-3dcd-0701-4009-4ec4bed146d2,731,550
117,7,4009,96f439b2-3dcd-0702-4009-4ec4bed146d2,728,499
118,7,4044,96f439b2-3dcd-0701-4044-4ec4bed146d2,795,537
119,7,4044,96f439b2-3dcd-0702-4044-4ec4bed146d2,813,508
120,7,4011,96f439b2-3dcd-0701-4011-4ec4bed146d2,726,516
121,7,4013,96f439b2-3dcd-0701-4013-4ec4bed146d2,762,487
122,8,4005,96f439b2-3dcd-0801-4005-4ec4bed146d2,845,495
123,8,4005,96f439b2-3dcd-0802-4005-4ec4bed146d2,843,544
124,8,4005,96f439b2-3dcd-0803-4005-4ec4bed146d2,944,485
125,8,4095,96f439b2-3dcd-0801-4095-4ec4bed146d2,865,560
126,8,4008,96f439b2-3dcd-0801-4008-4ec4bed146d2,864,485
127,8,4008,96f439b2-3dcd-0802-4008-4ec4bed146d2,921,504
128,8,4008,96f439b2-3dcd-0803-4008-4ec4bed146d2,892,485
129,11,4002,96f439b2-3dcd-1101-4002-4ec4bed146d2,699,1017
130,11,4002,96f439b2-3dcd-1102-4002-4ec4bed146d2,612,976
131,11,4005,96f439b2-3dcd-1101-4005-4ec4bed146d2,609,972
132,11,4005,96f439b2-3dcd-1102-4005-4ec4bed146d2,617,991
133,11,4045,96f439b2-3dcd-1101-4045-4ec4bed146d2,625,1046
134,11,4008,96f439b2-3dcd-1101-4008-4ec4bed146d2,610,1030
135,11,4007,96f439b2-3dcd-1101-4007-4ec4bed146d2,639,977
136,11,4004,96f439b2-3dcd-1101-4004-4ec4bed146d2,679,1045
137,11,4004,96f439b2-3dcd-1102-4004-4ec4bed146d2,660,979
138,11,4004,96f439b2-3dcd-1103-4004-4ec4bed146d2,632,1045
139,11,4009,96f439b2-3dcd-1101-4009-4ec4bed146d2,647,1051
140,11,4009,96f439b2-3dcd-1102-4009-4ec4bed146d2,614,991
141,11,4009,96f439b2-3dcd-1103-4009-4ec4bed146d2,647,976
142,11,4044,96f439b2-3dcd-1101-4044-4ec4bed146d2,700,978
143,11,4044,96f439b2-3dcd-1102-4044-4ec4bed146d2,683,1058
144,11,4044,96f439b2-3dcd-1103-4044-4ec4bed146d2,614,1059
145,11,4011,96f439b2-3dcd-1101-4011-4ec4bed146d2,622,974
146,11,4011,96f439b2-3dcd-1102-4011-4ec4bed146d2,664,1023
147,11,4013,96f439b2-3dcd-1101-4013-4ec4bed146d2,618,1004
148,11,4013,96f439b2-3dcd-1102-4013-4ec4bed146d2,667,982
149,12,4002,96f439b2-3dcd-1201-4002-4ec4bed146d2,685,895
150,12,4002,96f439b2-3dcd-1202-4002-4ec4bed146d2,605,887
151,12,4005,96f439b2-3dcd-1201-4005-4ec4bed146d2,645,849
152,12,4005,96f439b2-3dcd-1202-4005-4ec4bed146d2,606,925
153,12,4045,96f439b2-3dcd-1201-4045-4ec4bed146d2,678,862
154,12,4008,96f439b2-3dcd-1201-4008-4ec4bed146d2,652,845
155,12,4007,96f439b2-3dcd-1201-4007-4ec4bed146d2,694,853
156,12,4004,96f439b2-3dcd-1201-4004-4ec4bed146d2,648,848
157,12,4004,96f439b2-3dcd-1202-4004-4ec4bed146d2,674,866
158,12,4004,96f439b2-3dcd-1203-4004-4ec4bed146d2,631,874
159,12,4009,96f439b2-3dcd-1201-4009-4ec4bed146d2,611,928
160,12,4009,96f439b2-3dcd-1202-4009-4ec4bed146d2,633,935
161,12,4009,96f439b2-3dcd-1203-4009-4ec4bed146d2,687,868
162,12,4044,96f439b2-3dcd-1201-4044-4ec4bed146d2,691,883
163,12,4044,96f439b2-3dcd-1202-4044-4ec4bed146d2,618,924
164,12,4044,96f439b2-3dcd-1203-4044-4ec4bed146d2,695,936
165,12,4011,96f439b2-3dcd-1201-4011-4ec4bed146d2,610,864
166,12,4011,96f439b2-3dcd-1202-4011-4ec4bed146d2,620,845
167,12,4013,96f439b2-3dcd-1201-4013-4ec4bed146d2,610,889
168,12,4013,96f439b2-3dcd-1202-4013-4ec4bed146d2,656,911
169,13,4002,96f439b2-3dcd-1301-4002-4ec4bed146d2,699,820
170,13,4002,96f439b2-3dcd-1302-4002-4ec4bed146d2,688,721
171,13,4005,96f439b2-3dcd-1301-4005-4ec4bed146d2,608,807
172,13,4005,96f439b2-3dcd-1302-4005-4ec4bed146d2,671,726
173,13,4045,96f439b2-3dcd-1301-4045-4ec4bed146d2,677,762
174,13,4008,96f439b2-3dcd-1301-4008-4ec4bed146d2,613,746
175,13,4007,96f439b2-3dcd-1301-4007-4ec4bed146d2,673,798
176,13,4004,96f439b2-3dcd-1301-4004-4ec4bed146d2,6010,728
177,13,4004,96f439b2-3dcd-1302-4004-4ec4bed146d2,677,764
178,13,4004,96f439b2-3dcd-1303-4004-4ec4bed146d2,625,798
179,13,4009,96f439b2-3dcd-1301-4009-4ec4bed146d2,695,784
180,13,4009,96f439b2-3dcd-1302-4009-4ec4bed146d2,606,811
181,13,4009,96f439b2-3dcd-1303-4009-4ec4bed146d2,622,752
182,13,4044,96f439b2-3dcd-1301-4044-4ec4bed146d2,611,756
183,13,4044,96f439b2-3dcd-1302-4044-4ec4bed146d2,617,814
184,13,4044,96f439b2-3dcd-1303-4044-4ec4bed146d2,689,734
185,13,4011,96f439b2-3dcd-1301-4011-4ec4bed146d2,656,729
186,13,4011,96f439b2-3dcd-1302-4011-4ec4bed146d2,633,771
187,13,4013,96f439b2-3dcd-1301-4013-4ec4bed146d2,627,733
188,13,4013,96f439b2-3dcd-1302-4013-4ec4bed146d2,614,763
189,14,4002,96f439b2-3dcd-1401-4002-4ec4bed146d2,700,620
190,14,4002,96f439b2-3dcd-1402-4002-4ec4bed146d2,683,618
191,14,4005,96f439b2-3dcd-1401-4005-4ec4bed146d2,634,648
192,14,4005,96f439b2-3dcd-1402-4005-4ec4bed146d2,607,655
193,14,4045,96f439b2-3dcd-1401-4045-4ec4bed146d2,654,609
194,14,4008,96f439b2-3dcd-1401-4008-4ec4bed146d2,642,685
195,14,4007,96f439b2-3dcd-1401-4007-4ec4bed146d2,615,687
196,14,4004,96f439b2-3dcd-1401-4004-4ec4bed146d2,607,658
197,14,4004,96f439b2-3dcd-1402-4004-4ec4bed146d2,628,699
198,14,4004,96f439b2-3dcd-1403-4004-4ec4bed146d2,630,688
199,14,4009,96f439b2-3dcd-1401-4009-4ec4bed146d2,691,682
200,14,4009,96f439b2-3dcd-1402-4009-4ec4bed146d2,641,692
201,14,4009,96f439b2-3dcd-1403-4009-4ec4bed146d2,690,637
202,14,4044,96f439b2-3dcd-1401-4044-4ec4bed146d2,695,652
203,14,4044,96f439b2-3dcd-1402-4044-4ec4bed146d2,656,617
204,14,4044,96f439b2-3dcd-1403-4044-4ec4bed146d2,679,626
205,14,4011,96f439b2-3dcd-1401-4011-4ec4bed146d2,647,655
206,14,4011,96f439b2-3dcd-1402-4011-4ec4bed146d2,609,624
207,14,4013,96f439b2-3dcd-1401-4013-4ec4bed146d2,629,605
208,14,4013,96f439b2-3dcd-1402-4013-4ec4bed146d2,608,605
209,15,4002,96f439b2-3dcd-1501-4002-4ec4bed146d2,701,520
210,15,4002,96f439b2-3dcd-1502-4002-4ec4bed146d2,685,485
211,15,4005,96f439b2-3dcd-1501-4005-4ec4bed146d2,686,569
212,15,4005,96f439b2-3dcd-1502-4005-4ec4bed146d2,659,576
213,15,4045,96f439b2-3dcd-1501-4045-4ec4bed146d2,614,497
214,15,4008,96f439b2-3dcd-1501-4008-4ec4bed146d2,611,505
215,15,4007,96f439b2-3dcd-1501-4007-4ec4bed146d2,680,492
216,15,4004,96f439b2-3dcd-1501-4004-4ec4bed146d2,692,488
217,15,4004,96f439b2-3dcd-1502-4004-4ec4bed146d2,616,505
218,15,4004,96f439b2-3dcd-1503-4004-4ec4bed146d2,606,567
219,15,4009,96f439b2-3dcd-1501-4009-4ec4bed146d2,657,487
220,15,4009,96f439b2-3dcd-1502-4009-4ec4bed146d2,623,574
221,15,4009,96f439b2-3dcd-1503-4009-4ec4bed146d2,608,519
222,15,4044,96f439b2-3dcd-1501-4044-4ec4bed146d2,696,577
223,15,4044,96f439b2-3dcd-1502-4044-4ec4bed146d2,639,551
224,15,4044,96f439b2-3dcd-1503-4044-4ec4bed146d2,698,552
225,15,4011,96f439b2-3dcd-1501-4011-4ec4bed146d2,617,489
226,15,4011,96f439b2-3dcd-1502-4011-4ec4bed146d2,607,530
227,15,4013,96f439b2-3dcd-1501-4013-4ec4bed146d2,623,526
228,15,4013,96f439b2-3dcd-1502-4013-4ec4bed146d2,639,488
229,16,4002,96f439b2-3dcd-1601-4002-4ec4bed146d2,700,460
230,16,4002,96f439b2-3dcd-1602-4002-4ec4bed146d2,608,370
231,16,4005,96f439b2-3dcd-1601-4005-4ec4bed146d2,679,366
232,16,4005,96f439b2-3dcd-1602-4005-4ec4bed146d2,667,381
233,16,4045,96f439b2-3dcd-1601-4045-4ec4bed146d2,692,468
234,16,4008,96f439b2-3dcd-1601-4008-4ec4bed146d2,617,368
235,16,4007,96f439b2-3dcd-1601-4007-4ec4bed146d2,613,437
236,16,4004,96f439b2-3dcd-1601-4004-4ec4bed146d2,607,430
237,16,4004,96f439b2-3dcd-1602-4004-4ec4bed146d2,632,366
238,16,4004,96f439b2-3dcd-1603-4004-4ec4bed146d2,615,365
239,16,4009,96f439b2-3dcd-1601-4009-4ec4bed146d2,676,387
240,16,4009,96f439b2-3dcd-1602-4009-4ec4bed146d2,675,426
241,16,4009,96f439b2-3dcd-1603-4009-4ec4bed146d2,631,387
242,16,4044,96f439b2-3dcd-1601-4044-4ec4bed146d2,608,451
243,16,4044,96f439b2-3dcd-1602-4044-4ec4bed146d2,634,452
244,16,4044,96f439b2-3dcd-1603-4044-4ec4bed146d2,692,370
245,16,4011,96f439b2-3dcd-1601-4011-4ec4bed146d2,609,379
246,16,4011,96f439b2-3dcd-1602-4011-4ec4bed146d2,664,365
247,16,4013,96f439b2-3dcd-1601-4013-4ec4bed146d2,640,373
248,16,4013,96f439b2-3dcd-1602-4013-4ec4bed146d2,606,396
249,17,4002,96f439b2-3dcd-1701-4002-4ec4bed146d2,775,376
250,17,4002,96f439b2-3dcd-1702-4002-4ec4bed146d2,823,436
251,17,4005,96f439b2-3dcd-1701-4005-4ec4bed146d2,777,366
252,17,4005,96f439b2-3dcd-1702-4005-4ec4bed146d2,748,390
253,17,4045,96f439b2-3dcd-1701-4045-4ec4bed146d2,812,451
254,17,4008,96f439b2-3dcd-1701-4008-4ec4bed146d2,768,371
255,17,4007,96f439b2-3dcd-1701-4007-4ec4bed146d2,733,370
256,17,4004,96f439b2-3dcd-1701-4004-4ec4bed146d2,815,366
257,17,4004,96f439b2-3dcd-1702-4004-4ec4bed146d2,805,373
258,17,4004,96f439b2-3dcd-1703-4004-4ec4bed146d2,731,441
259,17,4009,96f439b2-3dcd-1701-4009-4ec4bed146d2,802,401
260,17,4009,96f439b2-3dcd-1702-4009-4ec4bed146d2,755,459
261,17,4009,96f439b2-3dcd-1703-4009-4ec4bed146d2,813,453
262,17,4044,96f439b2-3dcd-1701-4044-4ec4bed146d2,737,458
263,17,4044,96f439b2-3dcd-1702-4044-4ec4bed146d2,758,401
264,17,4044,96f439b2-3dcd-1703-4044-4ec4bed146d2,819,383
265,17,4011,96f439b2-3dcd-1701-4011-4ec4bed146d2,753,374
266,17,4011,96f439b2-3dcd-1702-4011-4ec4bed146d2,726,384
267,17,4013,96f439b2-3dcd-1701-4013-4ec4bed146d2,780,368
268,17,4013,96f439b2-3dcd-1702-4013-4ec4bed146d2,728,400
269,18,4002,96f439b2-3dcd-1801-4002-4ec4bed146d2,900,460
270,18,4002,96f439b2-3dcd-1802-4002-4ec4bed146d2,944,375
271,18,4005,96f439b2-3dcd-1801-4005-4ec4bed146d2,856,426
272,18,4005,96f439b2-3dcd-1802-4005-4ec4bed146d2,875,389
273,18,4045,96f439b2-3dcd-1801-4045-4ec4bed146d2,858,416
274,18,4008,96f439b2-3dcd-1801-4008-4ec4bed146d2,870,447
275,18,4007,96f439b2-3dcd-1801-4007-4ec4bed146d2,872,450
276,18,4004,96f439b2-3dcd-1801-4004-4ec4bed146d2,864,425
277,18,4004,96f439b2-3dcd-1802-4004-4ec4bed146d2,873,393
278,18,4004,96f439b2-3dcd-1803-4004-4ec4bed146d2,847,384
279,18,4009,96f439b2-3dcd-1801-4009-4ec4bed146d2,924,384
280,18,4009,96f439b2-3dcd-1802-4009-4ec4bed146d2,845,366
281,18,4009,96f439b2-3dcd-1803-4009-4ec4bed146d2,848,438
282,18,4044,96f439b2-3dcd-1801-4044-4ec4bed146d2,848,453
283,18,4044,96f439b2-3dcd-1802-4044-4ec4bed146d2,923,373
284,18,4044,96f439b2-3dcd-1803-4044-4ec4bed146d2,932,456
285,18,4011,96f439b2-3dcd-1801-4011-4ec4bed146d2,896,403
286,18,4011,96f439b2-3dcd-1802-4011-4ec4bed146d2,885,369
287,18,4013,96f439b2-3dcd-1801-4013-4ec4bed146d2,874,370
288,18,4013,96f439b2-3dcd-1802-4013-4ec4bed146d2,846,387
289,19,4002,96f439b2-3dcd-1901-4002-4ec4bed146d2,1000,460
290,19,4002,96f439b2-3dcd-1902-4002-4ec4bed146d2,1007,393
291,19,4005,96f439b2-3dcd-1901-4005-4ec4bed146d2,997,371
292,19,4005,96f439b2-3dcd-1902-4005-4ec4bed146d2,1007,405
293,19,4045,96f439b2-3dcd-1901-4045-4ec4bed146d2,1061,375
294,19,4008,96f439b2-3dcd-1901-4008-4ec4bed146d2,1020,401
295,19,4007,96f439b2-3dcd-1901-4007-4ec4bed146d2,975,377
296,19,4004,96f439b2-3dcd-1901-4004-4ec4bed146d2,981,390
297,19,4004,96f439b2-3dcd-1902-4004-4ec4bed146d2,966,439
298,19,4004,96f439b2-3dcd-1903-4004-4ec4bed146d2,1021,399
299,19,4009,96f439b2-3dcd-1901-4009-4ec4bed146d2,968,394
300,19,4009,96f439b2-3dcd-1902-4009-4ec4bed146d2,1012,431
301,19,4009,96f439b2-3dcd-1903-4009-4ec4bed146d2,969,446
302,19,4044,96f439b2-3dcd-1901-4044-4ec4bed146d2,1043,430
303,19,4044,96f439b2-3dcd-1902-4044-4ec4bed146d2,1046,385
304,19,4044,96f439b2-3dcd-1903-4044-4ec4bed146d2,1031,454
305,19,4011,96f439b2-3dcd-1901-4011-4ec4bed146d2,1051,385
306,19,4011,96f439b2-3dcd-1902-4011-4ec4bed146d2,965,406
307,19,4013,96f439b2-3dcd-1901-4013-4ec4bed146d2,1043,435
308,19,4013,96f439b2-3dcd-1902-4013-4ec4bed146d2,1015,374
309,21,4002,96f439b2-3dcd-2101-4002-4ec4bed146d2,700,1120
310,21,4005,96f439b2-3dcd-2101-4005-4ec4bed146d2,636,1128
311,21,4007,96f439b2-3dcd-2101-4007-4ec4bed146d2,662,1083
312,21,4004,96f439b2-3dcd-2101-4004-4ec4bed146d2,634,1129
313,21,4004,96f439b2-3dcd-2102-4004-4ec4bed146d2,684,1139
314,21,4004,96f439b2-3dcd-2103-4004-4ec4bed146d2,626,1175
315,21,4009,96f439b2-3dcd-2101-4009-4ec4bed146d2,648,1143
316,21,4009,96f439b2-3dcd-2102-4009-4ec4bed146d2,634,1077
317,21,4009,96f439b2-3dcd-2103-4009-4ec4bed146d2,678,1087
318,21,4044,96f439b2-3dcd-2101-4044-4ec4bed146d2,701,1097
319,21,4044,96f439b2-3dcd-2102-4044-4ec4bed146d2,616,1175
320,21,4044,96f439b2-3dcd-2103-4044-4ec4bed146d2,621,1163
321,21,4011,96f439b2-3dcd-2101-4011-4ec4bed146d2,628,1092
322,21,4011,96f439b2-3dcd-2102-4011-4ec4bed146d2,680,1160
323,21,4011,96f439b2-3dcd-2103-4011-4ec4bed146d2,597,1111
324,21,4013,96f439b2-3dcd-2101-4013-4ec4bed146d2,606,1139
325,21,4013,96f439b2-3dcd-2102-4013-4ec4bed146d2,644,1083
326,21,4013,96f439b2-3dcd-2103-4013-4ec4bed146d2,659,1165
327,22,4002,96f439b2-3dcd-2201-4002-4ec4bed146d2,580,1120
328,22,4005,96f439b2-3dcd-2201-4005-4ec4bed146d2,493,1098
329,22,4007,96f439b2-3dcd-2201-4007-4ec4bed146d2,499,1111
330,22,4004,96f439b2-3dcd-2201-4004-4ec4bed146d2,481,1131
331,22,4004,96f439b2-3dcd-2202-4004-4ec4bed146d2,561,1087
332,22,4004,96f439b2-3dcd-2203-4004-4ec4bed146d2,575,1094
333,22,4009,96f439b2-3dcd-2201-4009-4ec4bed146d2,518,1096
334,22,4009,96f439b2-3dcd-2202-4009-4ec4bed146d2,486,1143
335,22,4009,96f439b2-3dcd-2203-4009-4ec4bed146d2,560,1155
336,22,4044,96f439b2-3dcd-2201-4044-4ec4bed146d2,576,1179
337,22,4044,96f439b2-3dcd-2202-4044-4ec4bed146d2,512,1088
338,22,4044,96f439b2-3dcd-2203-4044-4ec4bed146d2,574,1088
339,22,4011,96f439b2-3dcd-2201-4011-4ec4bed146d2,539,1157
