i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Is Waypoint,i:Level Min,s:Portrait,i:Flippable,i:Shareable Space,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward XP,s:Completion Reward Thought Icon,s:Completion Sound,s:Accept Placement Sound,i:Build Time
id,type,name,did,height,width,is_waypoint,level_min,portrait,flippable,shareable_space,point_of_interest|facing,point_of_interest|x,point_of_interest|y,completion_reward|resources|5,,completion_sound,accept_placement_sound,build_time
1,building,!!BLDG_NAME_BLACK_GRILL,2001,20,20,1,21,Grill_black_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
2,building,!!BLDG_NAME_BLUE_GRILL,2003,20,20,1,1,Grill_blue_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
3,building,!!BLDG_NAME_BROWN_BENCH,2004,20,20,1,2,Bench_brown_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
4,building,!!BLDG_NAME_DUMPSTER_FULL,2007,20,20,1,16,Dumpster_full_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
5,building,!!BLDG_NAME_HYDRANT,2008,20,20,1,14,FireHydrant_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
6,building,!!BLDG_NAME_GREEN_BENCH,2010,20,20,1,13,Bench_green_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
7,building,!!BLDG_NAME_GREEN_PINE,2011,20,20,1,3,PineTree_green_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
8,building,!!BLDG_NAME_MAILBOX,2012,20,20,1,1,Mailbox1_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
9,building,!!BLDG_NAME_MAILBOX,2013,20,20,1,5,Mailbox2_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
10,building,!!BLDG_NAME_MAILBOX,2014,20,20,1,19,Mailbox3_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
11,building,!!BLDG_NAME_POSTBOX,2015,20,20,1,13,PostalMailbox_Portrait.png,0,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
12,building,!!BLDG_NAME_NEWSSTAND,2017,20,20,1,12,NewspaperVendingMachine_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
13,building,!!BLDG_NAME_ORANGE_PINE,2018,20,20,1,1,PineTree_orange_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
14,building,!!BLDG_NAME_PHONEBOOTH,2019,20,20,1,1,PhoneBooth_Portrait.png,1,0,southeast,-10,10,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
15,building,!!BLDG_NAME_PURPLE_BENCH,2021,20,20,1,1,Bench_purple_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
16,building,!!BLDG_NAME_PURPLE_PINE,2022,20,20,1,1,PineTree_purple_Portrait.png,1,0,southeast,-1,-1,5,IconXP_1.png,UnveilBuilding,AcceptPlacementDecoration,0
