i:ID,i:DID,s:Type,s:Character Icon,s:Icon,s:Portrait,s:Note,s:Text,s:Title,s:Heading,s:Body,s:Effect,i:Reward XP,i:Reward Gold,s:Voiceover,i:Special Rewards,s:Special Reward Type 1,s:Special Reward Type 2,i:Special Reward DID 1,i:Special Reward DID 2,i:Special Reward Amount 1,i:Special Reward Amount 2
empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
1,2,character,spongebob_happy.png,n/a,n/a,Once the Bakery is finished we'll be able to make Buns and other Baked Goods!,!!TUTORIAL_ID2_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,2,n/a,n/a,-1,-1,-1,-1
2,3,character,mrkrabsportrait_moneygrubbing.png,n/a,n/a,It smells like a moneymaker to me but let's see how it tastes.,!!TUTORIAL_ID3_TEXT1,n/a,n/a,n/a,n/a,-1,-1,MK_SniffSniff,-1,n/a,n/a,-1,-1,-1,-1
3,3,quest_start,n/a,KrabbyPatty.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_FEED_KRABS,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
4,4,quest_complete,n/a,KrabbyPatty.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_FEED_KRABS,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
5,4,character,mrkrabsportrait_moneygrubbing.png,n/a,n/a,Delicious! ||That was the finest fast foodmanship I've ever seen Mr. Squarepants. ||Welcome aboard!,!!TUTORIAL_ID28_TEXT1,n/a,n/a,n/a,n/a,-1,-1,MK_Congratulations,-1,n/a,n/a,-1,-1,-1,-1
6,4,character,spongebob_happy.png,n/a,n/a,Gary my dream has come true! ||Isn't this the greatest place in the sea?,!!TUTORIAL_ID28_TEXT2,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
7,4,character,Gary_Neutral.png,n/a,n/a,Meow.,!!TUTORIAL_ID28_TEXT3,n/a,n/a,n/a,n/a,-1,-1,GaryMeow_Normal,-1,n/a,n/a,-1,-1,-1,-1
8,4,character,spongebob_happy.png,n/a,n/a,This is the BEST DAY EVER!,!!TUTORIAL_ID28_TEXT4,n/a,n/a,n/a,n/a,-1,-1,SB_YesBestDayEver,-1,n/a,n/a,-1,-1,-1,-1
9,5,character,spongebob_happy.png,n/a,n/a,People are loving the Krusty Krab and want to move here to be close to the smell!||Let's build some houses for our new residents!,!!TUTORIAL_ID5_TEXT1,n/a,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
10,5,character,mrkrabsportrait_moneygrubbing.png,n/a,n/a,I like the sound of that! ||More paying customers! ||Keep that grill hot SpongeBob!,!!TUTORIAL_ID5_TEXT2,n/a,n/a,n/a,n/a,-1,-1,MK_Chaching,-1,n/a,n/a,-1,-1,-1,-1
11,5,quest_start,n/a,FishHouse1.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_BUILD_HOME,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
12,6,quest_complete,n/a,FishHouse1.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_BUILD_HOME,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
13,8,quest_complete,n/a,KrabbyPatty.png,n/a,n/a,n/a,!!TUTORIAL_TITLE_CRAFT_KRABBYPATTY,n/a,n/a,n/a,-1,-1,n/a,-1,n/a,n/a,-1,-1,-1,-1
