i:ID,s:Type,s:Name,f:Width,f:Height,f:Placement Offset X,f:Placement Offset Y,i:Texture Origin X,i:Texture Origin Y,f:Sequence Offset X,f:Sequence Offset Y,f:Sequence Offset Z,f:Scale X,f:Scale Y,f:Scale Z
,,,,,,,,,,,,,,
1,fence,back_corner,15.77,22.25,0,0,0,27,0,0,0,1,1,1
2,fence,back_lcorner,10.69,22.03,1,6,0,17,0,0,0,1,1,1
3,fence,back_left,15.66,25.49,0,-22.5,0,24,0,-22,0,1,1,1
4,fence,back_rcorner,9.5,21.82,7,2,0,17,0,0,0,1,1,1
5,fence,back_right,15.98,25.6,-18,1,0,25,-21,0,0,1,1,1
6,fence,front_corner,17.39,24.19,0,0,0,15,0,0,0,1,1,1
7,fence,front_lcorner,16.31,23.11,-1,-3.3,0,17,0,0,0,1,1,1
8,fence,front_left,16.52,28.94,23.9,0,0,50,23.5,0,0,1,1,1
9,fence,front_rcorner,16.74,25.6,-1,0,0,40,0,0,0,1,1,1
10,fence,front_right,16.85,28.62,-5,19,0,30,0,23.5,0,1.3,1,1
11,scaffolding,back_corner,16.52,19.66,0,0,0,15,0,0,0,1,1,1
12,scaffolding,back_lcorner,9.72,21.17,1,5,0,15,0,0,0,1,1,1
13,scaffolding,back_left,15.77,24.19,0,-23,0,15,0,-22,0,1,1,1
14,scaffolding,back_rcorner,9.07,20.95,6,0,0,15,0,0,0,1,1,1
15,scaffolding,back_right,17.28,23.65,-19,0,0,15,-21,0,0,1,1,1
16,scaffolding,front_corner,17.5,21.38,1,0,0,15,0,0,0,1,1,1
17,scaffolding,front_lcorner,7.13,19.66,1,3,0,15,0,0,0,1,1,1
18,scaffolding,front_left,16.74,24.95,24.1,0,0,32,23.5,0,0,1,1,1
19,scaffolding,front_rcorner,7.13,18.9,1,-1,0,20,0,0,0,1,1,1
20,scaffolding,front_right,16.85,24.19,-4,19,0,16,0,23.5,0,1.3,1,1
