i:id,i:Event DID,i:Threshold,s:Type,s:Reward Type,i:DID,s:Item Name,s:Texture,s:Locked Texture,i:Hide Name When Locked,i:Dialog Sequence,i:Width,i:Height,i:Max Unlocked Land Slots,i:Unlocked Land DID 1,i:Unlocked Land DID 2,i:Auto Place X,i:Auto Place Y
empty,,empty,empty,empty,empty,empty,empty,,,empty,empty,empty,empty,empty,empty,empty,empty
0,0,60,individual,building,20202,The Mitten,valentines_TheMitten_Icon.png,n/a,0,-1,100,100,2,-1,-1,-1,-1
1,0,60,individual,recipe,9202,Popcorn,valentines_popcorn.png,n/a,0,-1,75,75,-1,-1,-1,-1,-1
2,0,150,individual,building,20203,Balloon Cart,valentines_BalloonCart_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
3,0,270,individual,building,20201,Love Apples Stand,valentines_LoveApplesStand_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
4,0,270,individual,recipe,9203,Truffles,valentines_Truffles.png,n/a,0,-1,75,75,-1,-1,-1,-1,-1
5,0,390,individual,building,20207,Kissing Booth,valentines_KissingBooth_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
6,0,600,individual,building,20208,Toss a Clam,valentines_TossAClam_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
7,0,600,individual,recipe,9204,Cotton Candy,valentines_CottonCandy.png,n/a,0,-1,75,75,-1,-1,-1,-1,-1
8,0,1200,individual,building,20209,Glovey Glove Mascot,valentines_GloveyGlove_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
9,0,1800,individual,building,20210,Fun House,valentines_FunHouse_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
10,0,1800,individual,recipe,9205,Candy Heart on Stick,valentines_CandyHeart.png,n/a,0,-1,75,75,-1,-1,-1,-1,-1
11,0,2400,individual,building,20211,Buddy Bounce,valentines_BuddyBounce_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
12,0,3300,individual,building,20212,Saucer Ride,valentines_SaucerRide_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
13,0,4500,individual,building,20213,Merry-Go-Round,valentines_MerryGoRound_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
16,0,14500000,community,building,20301,Ferris Wheel,valentines_FerrisWheel_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
17,0,35100000,community,building,20216,Heart-a-Whirl,valentines_heart-a-whirl_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
18,0,67100000,community,building,20217,Fiery Fist O' Pain,valentines_rollercoaster_Icon.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
19,1,50,individual,building,20404,!!DECO_TETHERBALL,icon_TetherBall.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
20,1,100,individual,building,20405,!!DECO_VOLLEYBALL_COURT,icon_VolleyballCourt.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
21,1,200,individual,building,20406,!!DECO_ANCHOVY_SPIN_CLASS,icon_AnchovySpinClass.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
22,1,300,individual,building,20407,!!DECO_HALF_PIPE,icon_HalfPipe.png,n/a,0,-1,100,100,-1,-1,-1,-1,-1
