i:ID,s:Category Name,i:IAP DID,s:Description,s:Name,s:Display Model Type,i:Display Width,i:Display Height,s:Display Default Texture,s:Display Default Name,s:Result Type,i:Gold Amount,i:Jelly Amount,s:IAP Code
,,,,,,,,,,,,,
54,rmt,-99,!!MARKETLABEL_JJ_OFFER1_DESC,!!MARKETLABEL_JJ_OFFER1_TITLE,sprite,108,120,JellyfishJellyShortStack_Icon.png,default,resource,-1,25,com.mtvn.SBMI.jellybundle1
55,rmt,-98,!!MARKETLABEL_JJ_OFFER2_DESC,!!MARKETLABEL_JJ_OFFER2_TITLE,sprite,56,122,JellyfishJellyCrateTower_Icon.png,default,resource,-1,50,com.mtvn.SBMI.jellybundle2
56,rmt,-97,!!MARKETLABEL_JJ_OFFER3_DESC,!!MARKETLABEL_JJ_OFFER3_TITLE,sprite,116,94,JellyfishJellyCrateTowers_Icon.png,default,resource,-1,150,com.mtvn.SBMI.jellybundle3
57,rmt,-100,!!MARKETLABEL_JJ_OFFER8_DESC,!!MARKETLABEL_JJ_OFFER8_TITLE,sprite,93,97,JellyfishJellyCratePile_Icon.png,default,resource,-1,300,com.mtvn.SBMI.jellybundle8
58,rmt,-96,!!MARKETLABEL_JJ_OFFER4_DESC,!!MARKETLABEL_JJ_OFFER4_TITLE,sprite,118,112,JellyfishJellyCratePyramid_Icon.png,default,resource,-1,450,com.mtvn.SBMI.jellybundle4
59,rmt,-95,!!MARKETLABEL_JJ_OFFER5_DESC,!!MARKETLABEL_JJ_OFFER5_TITLE,sprite,124,62,JellyfishJellyBoat_Icon.png,default,resource,-1,1800,com.mtvn.SBMI.jellybundle5
60,rmt,-94,!!MARKETLABEL_JJ_OFFER6_DESC,!!MARKETLABEL_JJ_OFFER6_TITLE,sprite,94,120,JellyfishJellyTower_Icon.png,default,resource,-1,4000,com.mtvn.SBMI.jellybundle6
61,rmt,-85,!!MARKETLABEL_COIN_OFFER1_DESC,!!MARKETLABEL_COIN_OFFER1_TITLE,sprite,128,128,CoinStack_Portrait.png,default,resource,16250,-1,com.mtvn.SBMI.bag1
62,rmt,-84,!!MARKETLABEL_COIN_OFFER2_DESC,!!MARKETLABEL_COIN_OFFER2_TITLE,sprite,94,124,CoinBarrel_Portrait.png,default,resource,50000,-1,com.mtvn.SBMI.bag2
63,rmt,-83,!!MARKETLABEL_COIN_OFFER3_DESC,!!MARKETLABEL_COIN_OFFER3_TITLE,sprite,122,118,CoinChest_Portrait.png,default,resource,210000,-1,com.mtvn.SBMI.bag3
64,rmt,-82,!!MARKETLABEL_COIN_OFFER4_DESC,!!MARKETLABEL_COIN_OFFER4_TITLE,sprite,126,118,CoinWheelbarrel_Portrait.png,default,resource,550000,-1,com.mtvn.SBMI.bag4
65,rmt,-81,!!MARKETLABEL_JJ_OFFER1_BONUS20_DESC,!!MARKETLABEL_JJ_OFFER1_TITLE,sprite,132,125,JellyfishJellyShortStack_Icon_Bonus20.png,default,resource,-1,30,com.mtvn.SBMI.jellybundle1.discnt1
66,rmt,-80,!!MARKETLABEL_JJ_OFFER2_BONUS20_DESC,!!MARKETLABEL_JJ_OFFER2_TITLE,sprite,113,131,JellyfishJellyCrateTower_Icon_Bonus20.png,default,resource,-1,60,com.mtvn.SBMI.jellybundle2.discnt1
67,rmt,-79,!!MARKETLABEL_JJ_OFFER3_BONUS20_DESC,!!MARKETLABEL_JJ_OFFER3_TITLE,sprite,148,113,JellyfishJellyCrateTowers_Icon_Bonus20.png,default,resource,-1,180,com.mtvn.SBMI.jellybundle3.discnt1
