i:ID,i:DID,s:Name,i:Amount Earned
,,,
1,4,!!RESOURCE_LEVEL,1
2,3,!!RESOURCE_MONEY,100
3,2,!!RESOURCE_JJ,10
4,6,!!FOOD_BUN,7
5,10,!!FOOD_TOMATO,3
6,8,!!FOOD_LETTUCE,1
7,12,!!FOOD_ONION,1
8,1,!!FOOD_KRABBYPATTY,0
9,5,!!RESOURCE_XP,0
10,7,Meat,0
11,9,Cheese,0
12,11,Sauce,0
13,13,!!FOOD_POTATO,0
14,14,!!FOOD_KELP,0
15,15,!!FOOD_CRYJOHNNY,0
16,16,!!FOOD_DUTCHDOUBLE,0
17,17,!!FOOD_6NUGGETS,0
18,18,!!FOOD_KELPFRIES,0
19,19,!!FOOD_KELPCAKE,0
20,20,!!FOOD_KELPRINGS,0
21,21,!!FOOD_KELPDOG,0
22,22,!!FOOD_SEAWEEDSALAD,0
23,23,!!FOOD_KELPKLT,0
24,24,!!FOOD_KELPJERKY,0
25,25,!!FOOD_SAILORS,0
26,26,!!FOOD_GNOCCHI,0
27,27,!!FOOD_BRUSCHETTA,0
28,28,!!FOOD_BISQUE,0
29,29,!!FOOD_SALSATACO,0
30,30,!!FOOD_HUSHPUPPY,0
31,31,!!FOOD_CAESAR_SALAD,0
32,32,!!FOOD_JELLYPATTY,0
33,46,!!FOOD_SALAD,0
34,90,!!FOOD_PATTY,0
35,94,!!FOOD_KETCHUP,0
36,33,AB Tests,100
