i:ID,s:Type,i:DID,s:Name
,,,
1,expansions,1,n/a
2,expansions,9,n/a
3,movies,1,n/a
4,quests,0,n/a
5,recipes,1,!!FOOD_KRABBYPATTY
6,recipes,46,!!FOOD_SALAD
7,recipes,90,!!FOOD_PATTY
8,recipes,94,!!FOOD_KETCHUP
9,recipes,1000,!!FOOD_LETTUCE
10,recipes,1001,!!FOOD_ONION
11,recipes,1003,!!FOOD_TOMATO
12,recipes,1005,!!FOOD_BUN
13,recipes,9002,!!INGREDIENT_BBQ_SAUCE
14,recipes,9003,!!INGREDIENT_DISTILLED_VINEGAR
15,recipes,9004,!!INGREDIENT_DRIFTWOOD
16,recipes,9005,!!INGREDIENT_MUSTARD_SEED
17,recipes,9006,!!INGREDIENT_NATURAL_FLAVORS
18,recipes,9007,!!INGREDIENT_PAPRIKA
19,recipes,9008,!!INGREDIENT_SALT
20,recipes,9009,!!INGREDIENT_SHELLAC
21,recipes,9010,!!INGREDIENT_SPACKLE
22,recipes,9011,!!INGREDIENT_TUMERIC
23,recipes,9107,!!INGREDIENT_SUGAR
24,recipes,9116,!!INGREDIENT_PEPPERMINT
25,recipes,9108,!!INGREDIENT_CINNAMON
