i:ID,s:Name,s:Category Type,s:Item Type,s:Label,s:Display Material,i:Micro Event DID,i:Event Only
,,,,,,,
1,featured,market,building,!!MARKETLABEL_FEATURED,StoreSaleNew_TabIcon,-1,0
2,buildings,market,building,!!MARKETLABEL_RESIDENTS,tab_resident,-1,0
3,costumes,market,costume,!!MARKETLABEL_COSTUMES,Tab_Costumes,-1,0
4,buildings_no_resident,market,building,!!MARKETLABEL_BLDG,tab_non_resident,-1,0
5,production_buildings,market,building,!!MARKETLABEL_PRODBLDG,tab_production,-1,0
6,trees,market,building,!!MARKETLABEL_TREES,tab_trees,-1,0
7,decorations,market,building,!!MARKETLABEL_DECOR,tab_decoration,-1,0
8,rmt,market,rmt,!!MARKETLABEL_JJ,tab_currency,-1,0
9,buildings,inventory,building,!!INVENTORY_BUILDING_TAB,tab_resident,-1,0
10,movies,inventory,movie,!!INVENTORY_MOVIE_TAB,tab_movie,-1,0
