i:ID,s:Category Name,s:Item Name,i:Item DID,i:Cost Gold,i:Cost Jelly,i:Cost Special DID,i:Cost Special Amount,i:Sell Cost Gold,i:Sell Cost Jelly,s:Description,s:Type,s:Name,s:Display Model Type,i:Display Width,i:Display Height,s:Display Default Texture,s:Display Default Name,i:Show in Store,i:Sale Banner,f:Sale Percent,i:New Banner,i:LimitedBanner,i:Can Sell,s:Can't Sell Text,i:Micro Event DID,i:Event Only
empty,,,,,,,,,,,,,,,,,,,,,,,,,,
1,featured,!!BLDG_NAME_MRKRAB,1013,-1,72,-1,-1,-1,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
2,featured,!!DECO_KRUSTYKRAB_TREASURE,20606,-1,17,-1,-1,-1,-1,!!DECO_KRUSTYKRAB_TREASURE_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
3,featured,!!DECO_FOUNTAIN_GOLD,20604,-1,20,-1,-1,-1,-1,!!DECO_FOUNTAIN_GOLD_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,!!CANNOT_SELL_PREMIUM,-1,0
4,featured,!!BLDG_NAME_LUCKY_DIME,21003,-1,50,-1,-1,-1,-1,!!BLDG_LUCKY_DIME_DESC,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
5,featured,!!BLDG_NAME_MONEY_BAG,21002,-1,75,-1,-1,-1,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
6,featured,!!BLDG_NAME_KRABS_LOCKER,21001,900,-1,-1,-1,450,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,1,0.5,0,0,0,!!CANNOT_SELL_LIMITED,-1,0
7,buildings,!!BLDG_NAME_SB,1015,0,-1,-1,-1,0,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
8,buildings,!!BLDG_NAME_TREEDOME,1019,-1,430,-1,-1,-1,43,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
9,buildings,!!BLDG_NAME_1022_DAVES_HOUSE,1022,150,-1,-1,-1,75,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
10,buildings,!!BLDG_NAME_1031_BILLS_HOUSE,1031,150,-1,-1,-1,75,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
11,buildings,!!BLDG_NAME_1023_JUDYS_HOUSE,1023,250,-1,-1,-1,125,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
12,buildings,!!BLDG_NAME_POLICE,1004,600,-1,-1,-1,300,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
13,buildings,!!BLDG_NAME_PATRICK,1017,800,-1,-1,-1,400,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
14,buildings,!!BLDG_NAME_EASTER,1016,1200,-1,-1,-1,600,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
15,buildings,!!BLDG_NAME_MSPUFF,1003,-1,155,-1,-1,-1,21,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
16,buildings,!!BLDG_NAME_THEREEF,1007,1600,-1,-1,-1,800,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
17,buildings,!!BLDG_NAME_9009_FRANKS_HOUSE,9009,1300,-1,-1,-1,650,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
18,buildings,!!BLDG_NAME_PLANKTONS_WORKSHOP,1052,500,-1,-1,-1,250,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
19,buildings,!!BLDG_NAME_9006_MARTHAS_HOUSE,9006,1400,-1,-1,-1,700,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
20,buildings,!!BLDG_NAME_HOSPITAL,1010,-1,345,-1,-1,-1,34,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
21,buildings,!!BLDG_NAME_9000_TOMMYS_HOUSE,9000,1500,-1,-1,-1,750,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
22,buildings,!!BLDG_NAME_9001_JOHNS_HOUSE_LIGHTBLUE,9001,2400,-1,-1,-1,1200,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
23,buildings,!!BLDG_NAME_SHOALS,1026,8500,-1,-1,-1,4250,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
24,buildings,!!BLDG_NAME_GYM,1009,-1,290,-1,-1,-1,29,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
25,buildings,!!BLDG_NAME_9002_HARRYS_HOUSE_GREEN,9002,9000,-1,-1,-1,4500,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
26,buildings,!!BLDG_NAME_9003_SUSIES_HOUSE_ORANGE,9003,11000,-1,-1,-1,5500,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
27,buildings,!!BLDG_NAME_JAIL,1002,12000,-1,-1,-1,6000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
28,buildings,!!BLDG_NAME_9004_TYLERS_HOUSE_LIGHTBLUE,9004,16000,-1,-1,-1,8000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
29,buildings,!!BLDG_NAME_SQUILL,1025,-1,250,-1,-1,-1,8,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
30,buildings,!!BLDG_NAME_SPITOON,1014,28000,-1,-1,-1,14000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
31,buildings,!!BLDG_NAME_9005_SOPHIES_HOUSE,9005,32000,-1,-1,-1,16000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
32,buildings,!!BLDG_NAME_1050_LENNYS_HOUSE_YELLOW,1050,65000,-1,-1,-1,32500,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
33,buildings,!!BLDG_NAME_JELLYSTD,1012,80000,-1,-1,-1,40000,-1,n/a,n/a,n/a,n/a,-1,-1,n/a,n/a,1,0,0.33,0,0,0,!!CANNOT_SELL_HOUSE,-1,0
