i:ID,i:Slot DID,i:Landmark DID,s:Label,i:Position X,i:Position Y
,,,,,
1,42,7000,96f439b2-3dcd-4200-7000-4ec4bed146d2,1325,234
2,42,7000,96f439b2-3dcd-4201-7000-4ec4bed146d2,1325,258
3,42,7000,96f439b2-3dcd-4202-7000-4ec4bed146d2,1325,282
4,42,7000,96f439b2-3dcd-4203-7000-4ec4bed146d2,1325,306
5,42,7000,96f439b2-3dcd-4204-7000-4ec4bed146d2,1325,330
6,43,7000,96f439b2-3dcd-4300-7000-4ec4bed146d2,1325,354
7,43,7000,96f439b2-3dcd-4301-7000-4ec4bed146d2,1325,378
8,43,7000,96f439b2-3dcd-4302-7000-4ec4bed146d2,1325,402
9,43,7000,96f439b2-3dcd-4303-7000-4ec4bed146d2,1325,426
10,43,7000,96f439b2-3dcd-4304-7000-4ec4bed146d2,1325,450
11,44,7000,96f439b2-3dcd-4400-7000-4ec4bed146d2,1325,474
12,44,7000,96f439b2-3dcd-4401-7000-4ec4bed146d2,1325,498
13,44,7000,96f439b2-3dcd-4402-7000-4ec4bed146d2,1325,522
14,44,7000,96f439b2-3dcd-4403-7000-4ec4bed146d2,1325,546
15,44,7000,96f439b2-3dcd-4404-7000-4ec4bed146d2,1325,570
16,45,7000,96f439b2-3dcd-4500-7000-4ec4bed146d2,1325,594
17,45,7000,96f439b2-3dcd-4501-7000-4ec4bed146d2,1325,618
18,45,7000,96f439b2-3dcd-4502-7000-4ec4bed146d2,1325,642
19,45,7000,96f439b2-3dcd-4503-7000-4ec4bed146d2,1325,666
20,45,7000,96f439b2-3dcd-4504-7000-4ec4bed146d2,1325,690
21,46,7000,96f439b2-3dcd-4600-7000-4ec4bed146d2,1325,714
22,46,7000,96f439b2-3dcd-4601-7000-4ec4bed146d2,1325,738
23,46,7000,96f439b2-3dcd-4602-7000-4ec4bed146d2,1325,762
24,46,7000,96f439b2-3dcd-4603-7000-4ec4bed146d2,1325,786
25,46,7000,96f439b2-3dcd-4604-7000-4ec4bed146d2,1325,810
26,47,7000,96f439b2-3dcd-4700-7000-4ec4bed146d2,1325,834
27,47,7000,96f439b2-3dcd-4701-7000-4ec4bed146d2,1325,858
28,47,7000,96f439b2-3dcd-4702-7000-4ec4bed146d2,1325,882
29,47,7000,96f439b2-3dcd-4703-7000-4ec4bed146d2,1325,906
30,47,7000,96f439b2-3dcd-4704-7000-4ec4bed146d2,1325,930
31,1000,7001,96f439b2-3dcd-100000-7001-4ec4bed146d2,1345,324
32,1000,7001,96f439b2-3dcd-100001-7001-4ec4bed146d2,1455,618
33,1000,7001,96f439b2-3dcd-100002-7001-4ec4bed146d2,1385,859
34,1000,7001,96f439b2-3dcd-100003-7001-4ec4bed146d2,1285,105
35,1000,7001,96f439b2-3dcd-100004-7001-4ec4bed146d2,1425,1000
36,1000,7002,96f439b2-3dcd-100005-7002-4ec4bed146d2,1475,127
37,1000,7002,96f439b2-3dcd-100006-7002-4ec4bed146d2,1395,288
38,1000,7002,96f439b2-3dcd-100007-7002-4ec4bed146d2,1405,523
39,1000,7002,96f439b2-3dcd-100008-7002-4ec4bed146d2,1375,776
40,1000,7002,96f439b2-3dcd-100009-7002-4ec4bed146d2,1333,985
41,1000,7003,96f439b2-3dcd-100010-7003-4ec4bed146d2,1333,473
42,1000,7003,96f439b2-3dcd-100011-7003-4ec4bed146d2,1433,562
43,1000,7003,96f439b2-3dcd-1000012-7003-4ec4bed146d2,1355,696
44,1000,7003,96f439b2-3dcd-100013-7003-4ec4bed146d2,1325,735
45,1000,7003,96f439b2-3dcd-100014-7003-4ec4bed146d2,1358,733
46,1000,7003,96f439b2-3dcd-100015-7003-4ec4bed146d2,1458,822
47,1000,7003,96f439b2-3dcd-1000016-7003-4ec4bed146d2,1330,956
48,1000,7003,96f439b2-3dcd-100017-7003-4ec4bed146d2,1300,1025
49,1000,7003,96f439b2-3dcd-100018-7003-4ec4bed146d2,1308,213
50,1000,7003,96f439b2-3dcd-100019-7003-4ec4bed146d2,1438,302
51,1000,7003,96f439b2-3dcd-1000020-7003-4ec4bed146d2,1380,436
52,1000,7003,96f439b2-3dcd-100021-7003-4ec4bed146d2,1350,505
53,1000,7003,96f439b2-3dcd-100022-7003-4ec4bed146d2,1548,13
54,1000,7003,96f439b2-3dcd-100023-7003-4ec4bed146d2,1678,102
55,1000,7003,96f439b2-3dcd-1000024-7003-4ec4bed146d2,1620,236
56,1000,7003,96f439b2-3dcd-100025-7003-4ec4bed146d2,1590,305
57,1000,7004,96f439b2-3dcd-100026-7004-4ec4bed146d2,1550,150
58,1000,7004,96f439b2-3dcd-100027-7004-4ec4bed146d2,1435,350
59,1000,7004,96f439b2-3dcd-100028-7004-4ec4bed146d2,1480,720
60,1000,7004,96f439b2-3dcd-100029-7004-4ec4bed146d2,1590,335
61,1000,7004,96f439b2-3dcd-100030-7004-4ec4bed146d2,1420,580
62,1000,7003,96f439b2-3dcd-1001-7003-4ec4bed146d2,1428,1093
63,1000,7003,96f439b2-3dcd-1002-7003-4ec4bed146d2,1558,1182
64,1000,7001,96f439b2-3dcd-1001-7001-4ec4bed146d2,1220,1185
65,1000,7002,96f439b2-3dcd-1001-7002-4ec4bed146d2,1355,1207
66,1000,7004,96f439b2-3dcd-1001-7004-4ec4bed146d2,1430,1230
67,1000,7003,96f439b2-3dcd-1003-7003-4ec4bed146d2,1210,1293
68,1000,7003,96f439b2-3dcd-1004-7003-4ec4bed146d2,1500,1316
