i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Is Waypoint,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y
id,type,name,did,height,width,is_waypoint,point_of_interest|facing,point_of_interest|x,point_of_interest|y
1,landmark,!!LANDMARK_JF_HIVE,5001,40,40,-1,southeast,1,1
2,landmark,!!LANDMARK_BLUEROCK_LARGE,5002,40,40,-1,southeast,-1,-1
3,landmark,!!LANDMARK_BLUEROCK_MEDIUM,5003,20,20,-1,southeast,-1,-1
4,landmark,!!LANDMARK_BLUEROCK_SMALL,5004,20,20,-1,southeast,-1,-1
5,landmark,!!LANDMARK_PURPLEROCK_LARGE,5005,20,20,-1,southeast,-1,-1
6,landmark,!!LANDMARK_PURPLEROCK_MEDIUM,5006,20,20,-1,southeast,-1,-1
7,landmark,!!LANDMARK_PURPLEROCK_SMALL,5007,20,20,-1,southeast,-1,-1
8,landmark,!!LANDMARK_WHITEFLOWER_LARGE,5008,20,20,-1,southeast,-1,-1
9,landmark,!!LANDMARK_WHITEFLOWER_MEDIUM,5009,20,20,-1,southeast,-1,-1
10,landmark,!!LANDMARK_WHITEFLOWER_SMALL,5010,20,20,-1,southeast,-1,-1
11,landmark,!!LANDMARK_HILL_DOUBLE,5011,40,40,-1,southeast,-1,-1
12,landmark,!!LANDMARK_HILL_SINGLE,5012,40,40,-1,southeast,-1,-1
13,landmark,!!LANDMARK_HILL_TALL,5013,40,40,-1,southeast,-1,-1
14,landmark,!!LANDMARK_JFF_SIGN,5014,20,20,-1,southeast,-1,-1
15,landmark,!!LANDMARK_RAILING,7000,20,20,-1,southeast,-1,-1
16,landmark,!!LANDMARK_RAILING,7001,20,20,-1,southeast,-1,-1
17,landmark,!!LANDMARK_RAILING,7002,20,20,-1,southeast,-1,-1
18,landmark,!!LANDMARK_RAILING,7003,20,20,-1,southeast,-1,-1
19,landmark,!!LANDMARK_RAILING,7004,20,20,-1,southeast,-1,-1
