i:ID,i:Level,i:XP,i:Reward Jelly,i:Reward Gold,s:Reward Special Type,i:Reward Special DID,i:Reward Special Amount,s:Headline,s:Texture,s:Voice Over,i:Max AutoQuest Length,s:Daily Bonus Jelly Days,i:Daily Bonus Min Gold,i:Daily Bonus Gold Increment,i:Daily Bonus Max Gold,i:Daily Bonus Min Jelly,i:Daily Bonus Jelly Increment,i:Daily Bonus Max Jelly
,,,,,,,,,,,,,,,,,,
1,1,0,-1,-1,n/a,-1,-1,n/a,n/a,n/a,3600,4,30,6,60,1,0,1
2,2,155,10,115,n/a,-1,-1,!!LEVEL_UP_HEADLINE_2,Textures/GUI/LevelUpScreen/headlines/level_02,Dialog_LevelUp_SB01,6035,-1,75,16,155,1,0,1
3,3,300,10,200,n/a,-1,-1,!!LEVEL_UP_HEADLINE_3,Textures/GUI/LevelUpScreen/headlines/level_03,Dialog_LevelUp_SB01,8470,-1,120,25,245,1,0,1
4,4,475,10,250,n/a,-1,-1,!!LEVEL_UP_HEADLINE_4,Textures/GUI/LevelUpScreen/headlines/level_04,Dialog_LevelUp_SB01,10905,-1,160,34,330,1,0,1
5,5,800,5,250,n/a,-1,-1,!!LEVEL_UP_HEADLINE_5,Textures/GUI/LevelUpScreen/headlines/level_05,Dialog_LevelUp_SB01,13340,-1,200,42,410,1,0,1
6,6,1150,5,250,n/a,-1,-1,!!LEVEL_UP_HEADLINE_6,Textures/GUI/LevelUpScreen/headlines/level_02,Dialog_LevelUp_SB01,15775,-1,240,50,490,1,0,1
7,7,1500,5,250,n/a,-1,-1,!!LEVEL_UP_HEADLINE_7,Textures/GUI/LevelUpScreen/headlines/level_07,Dialog_LevelUp_SB01,18210,-1,275,57,560,1,0,1
8,8,1875,5,250,n/a,-1,-1,!!LEVEL_UP_HEADLINE_8,Textures/GUI/LevelUpScreen/headlines/level_08,Dialog_LevelUp_SB01,20645,-1,305,62,615,1,0,1
9,9,2325,5,250,n/a,-1,-1,!!LEVEL_UP_HEADLINE_9,Textures/GUI/LevelUpScreen/headlines/level_06,Dialog_LevelUp_SB01,23080,-1,335,67,670,1,0,1
10,10,2925,5,250,n/a,-1,-1,!!LEVEL_UP_HEADLINE_10,Textures/GUI/LevelUpScreen/headlines/level_10,Dialog_LevelUp_SB01,25515,-1,365,72,725,1,0,1
11,11,3725,5,500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_11,Textures/GUI/LevelUpScreen/headlines/level_02,Dialog_LevelUp_SB01,27950,-1,390,76,770,1,0,1
12,12,4775,5,500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_12,Textures/GUI/LevelUpScreen/headlines/level_12,Dialog_LevelUp_SB01,30385,-1,415,80,815,1,0,1
13,13,6150,5,500,recipes,60002,1,!!LEVEL_UP_HEADLINE_13,Textures/GUI/LevelUpScreen/headlines/level_13,Dialog_LevelUp_SB01,32820,-1,435,84,855,1,0,1
14,14,7975,5,500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_14,Textures/GUI/LevelUpScreen/headlines/level_14,Dialog_LevelUp_SB01,35255,-1,455,87,890,1,0,1
15,15,10375,5,500,n/a,-1,-1,!!LEVEL_UP_HEADLINE_15,Textures/GUI/LevelUpScreen/headlines/level_15,Dialog_LevelUp_SB01,37690,-1,475,90,925,1,0,1
16,16,13575,5,1000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_16,Textures/GUI/LevelUpScreen/headlines/level_16,Dialog_LevelUp_SB01,40125,-1,495,93,960,1,0,1
17,17,17775,5,1000,n/a,-1,-1,!!LEVEL_UP_HEADLINE_17,Textures/GUI/LevelUpScreen/headlines/level_17,Dialog_LevelUp_SB01,42560,-1,515,96,995,1,0,1
