i:id,i:DID,s:Name,s:Start Date,s:End Date,i:Closed event,i:Closing Dialog Sequence
,,,,,,
1,1,Test Closed 1,9/29/2014,10/2/2014,1,9994
2,2,Test Closed 2,10/2/2014,10/4/2014,1,9995
3,3,Test Open 1,10/4/2014,10/6/2014,0,-1
4,4,Test Open 2,10/6/2014,10/8/2014,0,-1
5,5,Patrick's Barnacleboy Costume,10/11/2014,10/29/2014,1,2632
6,6,Squidward's Fancy Feast,10/11/2014,10/29/2014,1,2722
7,7,Holiday 1,10/26/2014,11/18/2015,1,2848
8,8,Holiday 2,10/26/2014,11/18/2015,1,2848
9,9,Holiday 3,10/26/2014,11/18/2015,1,2848
10,10,Plankton Return,11/11/2014,1/1/2017,0,-1
11,11,Plankton Return Deux,11/11/2014,1/1/2017,0,-1
12,12,Jellyfish Fields,11/11/2014,1/1/2017,0,-1
13,13,Pearl School Party,11/11/2014,5/13/2015,0,-1
14,14,Summer Bummer,11/11/2014,7/1/2015,0,-1
15,15,Boating License Lunacy,11/11/2014,8/8/2015,0,-1
16,16,Krabs Navy Dayz,11/11/2014,9/7/2015,0,-1
17,17,Invasion of the Bottomite Snatchers,11/11/2014,9/24/2015,1,3730
18,18,Snow Wars Xmas,11/11/2014,11/30/2015,1,3840
