i:id,i:Building DID,s:Building Name,i:Starting Slots,i:Total Slots,i:Slot Cost 1,i:Slot Cost 2,i:Slot Cost 3,i:Slot Cost 4,i:Slot Cost 5,i:Slot Cost 6,i:Slot Cost 7,i:Currency Type 1,i:Currency Type 2,i:Currency Type 3,i:Currency Type 4,i:Currency Type 5,i:Currency Type 6,i:Currency Type 7
,,,,,,,,,,,,,,,,,,
1,1018,!!BLDG_NAME_KK,2,7,-1,-1,5,25,25,25,25,-1,-1,2,2,2,2,2
2,1021,!!BLDG_NAME_BARGN,1,-1,-1,25,25,25,25,25,25,-1,2,2,2,2,2,2
3,1024,!!BLDG_NAME_BAKERY,3,-1,-1,-1,-1,25,25,25,25,-1,-1,-1,2,2,2,2
4,1027,!!BLDG_NAME_GARDEN,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1054,!!BLDG_NAME_JUICEBAR,1,-1,-1,25,25,25,25,25,25,-1,2,2,2,2,2,2
6,1055,!!BLDG_NAME_FLOWERSHOP,1,-1,-1,25,25,25,25,25,25,-1,2,2,2,2,2,2
7,1056,!!BLDG_NAME_ICECREAMSHOP,1,-1,-1,25,25,25,25,25,25,-1,2,2,2,2,2,2
8,1057,!!BLDG_NAME_PERFUMESHOP,1,-1,-1,25,25,25,25,25,25,-1,2,2,2,2,2,2
9,1102,!!BLDG_NAME_SEEDSTORE,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1104,!!BLDG_NAME_FLOWERPOT,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,9035,!!BLDG_NAME_RUSTYS_RIB_EYE,2,-1,-1,-1,25,25,25,25,25,-1,-1,2,2,2,2,2
12,9046,!!BLDG_NAME_TREAT_SHOP,2,-1,-1,-1,25,25,25,25,25,-1,-1,2,2,2,2,2
13,20400,!!BLDG_NAME_WHOLEBROWFOODS,2,-1,-1,-1,25,25,25,25,25,-1,-1,2,2,2,2,2
14,1058,!!BLDG_NAME_CHUMBUCKET,1,-1,-1,25,25,25,25,25,25,-1,2,2,2,2,2,2
15,1059,!!BLDG_NAME_CHUMINATOR,2,-1,-1,-1,25,25,25,25,25,-1,-1,2,2,2,2,2
