i:id,s:Name,s:Tag,s:Craft  Description,i:DID,i:Product ID,i:Building ID,s:Building Name,i:Minimum Level,i:Craft Time,i:XP Reward,i:Amount Crafted,i:Ingredient ID 1,i:Ingredient ID 2,i:Ingredient ID 3,i:Ingredient ID 4,i:Ingredient ID 5,i:Ingredient ID 6,i:Ingredient Amount 1,i:Ingredient Amount 2,i:Ingredient Amount 3,i:Ingredient Amount 4,i:Ingredient Amount 5,i:Ingredient Amount 6,s:Start Sound,s:Ready Sound,s:Product Group,i:Group Order,s:Garden Display Started,s:Garden Display Half,s:Garden Display Done,i:Ignore Recipe Cap,s:Touch Sound,s:Start Sound Beat,s:Ready Sound Beat,i:Ignore Random Recipe Quest,i:Coral Bits Amount 1,i:Coral Bits Amount 2,i:Coral Bits Amount 3,f:Coral Bits Odds 1,f:Coral Bits Odds 2,f:Coral Bits Odds 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,!!FOOD_KRABBYPATTY,krabbypatty,!!CRAFT_MAKING,1,1,1018,!!BLDG_NAME_KK,1,120,12,1,6,8,12,10,90,94,1,1,1,1,1,1,KP_GrilledItemStarted,KP_GrilledItemReady,krabbypatty,10,n/a,n/a,n/a,0,SB_KrabbyPatty,Silence,Silence,0,-1,-1,-1,-1,-1,-1
2,!!FOOD_CRYJOHNNY,cryingjohnny,!!CRAFT_MAKING,15,15,1018,!!BLDG_NAME_KK,1,240,12,1,6,8,10,12,90,94,1,1,1,3,1,1,Global_GrilledItemStarted,Global_GrilledItemReady,cryingjohnny,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
3,!!FOOD_DUTCHDOUBLE,dutchmansdouble,!!CRAFT_MAKING,16,16,1018,!!BLDG_NAME_KK,1,600,16,1,8,10,14,94,90,6,2,2,2,2,2,1,Global_GrilledItemStarted,Global_GrilledItemReady,dutchmansdouble,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
4,!!FOOD_KELPFRIES,kelpfries,!!CRAFT_MAKING,18,18,1018,!!BLDG_NAME_KK,1,3600,20,1,13,14,-1,-1,-1,-1,5,3,-1,-1,-1,-1,FriedItemStarted,FriedItemReady,kelpfries,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
5,!!FOOD_KELPCAKE,kelpcakes,!!CRAFT_MAKING,19,19,1018,!!BLDG_NAME_KK,1,43200,39,1,12,14,13,-1,-1,-1,5,12,3,-1,-1,-1,FriedItemStarted,FriedItemReady,kelpcakes,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
6,!!FOOD_KELPDOG,kelpdog,!!CRAFT_MAKING,21,21,1018,!!BLDG_NAME_KK,1,14400,20,1,1008,12,14,-1,-1,-1,1,2,4,-1,-1,-1,Global_GrilledItemStarted,Global_GrilledItemReady,kelpdog,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
7,!!FOOD_SEAWEEDSALAD,seaweedsalad,!!CRAFT_MAKING,22,22,1018,!!BLDG_NAME_KK,1,300,12,1,8,10,12,14,-1,-1,3,1,1,3,-1,-1,VeggieItemStarted,VeggieItemReady,seaweedsalad,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
8,!!FOOD_KELPKLT,klt,!!CRAFT_MAKING,23,23,1018,!!BLDG_NAME_KK,1,21600,22,1,92,8,10,14,-1,-1,2,2,2,4,-1,-1,Global_GrilledItemStarted,Global_GrilledItemReady,klt,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
9,!!FOOD_BRUSCHETTA,bruschetta,!!CRAFT_MAKING,27,27,1018,!!BLDG_NAME_KK,1,900,16,1,10,92,-1,-1,-1,-1,6,1,-1,-1,-1,-1,BakedItemStarted,BakedItemReady,bruschetta,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
10,!!FOOD_BISQUE,tomatobisque,!!CRAFT_MAKING,28,28,1018,!!BLDG_NAME_KK,1,86400,43,1,10,12,-1,-1,-1,-1,30,8,-1,-1,-1,-1,SoupItemStarted,SoupItemReady,tomatobisque,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
11,!!FOOD_CAESAR_SALAD,caesarsalad,!!CRAFT_MAKING,31,31,1018,!!BLDG_NAME_KK,1,900,16,1,8,93,-1,-1,-1,-1,12,12,-1,-1,-1,-1,VeggieItemStarted,VeggieItemReady,caesarsalad,10,n/a,n/a,n/a,1,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
12,!!FOOD_JELLYPATTY,jellypatty,!!CRAFT_MAKING,32,32,1018,!!BLDG_NAME_KK,1,30,10,1,1,2,-1,-1,-1,-1,1,1,-1,-1,-1,-1,Global_GrilledItemStarted,Global_GrilledItemReady,jellypatty,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
13,!!FOOD_VEGGIEPATTY,veggiepatty,!!CRAFT_MAKING,40,40,1018,!!BLDG_NAME_KK,1,90,10,1,8,10,6,94,-1,-1,2,2,1,1,-1,-1,VeggieItemStarted,VeggieItemReady,veggiepatty,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
14,!!FOOD_SALAD,salad,!!CRAFT_MAKING,46,46,1018,!!BLDG_NAME_KK,1,45,7,1,8,10,-1,-1,-1,-1,1,1,-1,-1,-1,-1,VeggieItemStarted,VeggieItemReady,salad,10,n/a,n/a,n/a,0,n/a,n/a,n/a,0,-1,-1,-1,-1,-1,-1
15,!!FOOD_PATTY,patty,!!CRAFT_MAKING,90,90,1018,!!BLDG_NAME_KK,1,30,1,1,3,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,KP_GrilledItemStarted,Global_GrilledItemReady,patty,10,n/a,n/a,n/a,0,SB_KrabbyPatty,Silence,Silence,0,-1,-1,-1,-1,-1,-1
