i:ID,s:Type,s:Name,i:DID,i:Height,i:Width,i:Level Min,s:Portrait,i:Build Time,i:Build Timer Duration,i:Rent Time,i:Rent Timer Duration,i:Product Resources Gold,i:Product Resources XP,i:Flippable,s:Completion Sound,s:Sound On Select,i:Has Move In,i:Rent Rushable,i:Stashable,i:Worker Spawner,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward Resources XP,i:Completion Reward Movie,s:Completion Reward Thought Icon,i:Product Special DID,i:Product Special Amount,i:Instance Limits,i:Instance Limit Level 1,i:Instance Limit Level 2,i:Instance Limit Level 3,i:Instance Limit Level 4,i:Instance Limit Level 5,i:Instance Limit Level 6,i:Instance Limit Level 7,i:Instance Limit Level 8,i:Instance Limit Level 9,i:Instance Limit Level 10,i:Instance Limit Level 11,i:Instance Limit Level 12,i:Instance Limit Level 13,i:Instance Limit Level 14,i:Instance Limit Level 15,i:Instance Limit Level 16,i:Instance Limit Level 17,i:Instance Limit Level 18,i:Instance Limit Level 19,i:Instance Limit Level 20,i:Instance Limit Level 21,i:Instance Limit Level 22,i:Instance Limit Level 23,i:Instance Limit Level 24,i:Instance Limit Level 25,i:Instance Limit Level 26,i:Instance Limit Level 27,i:Instance Limit Level 28,i:Instance Limit Level 29,i:Instance Limit Level 30,i:Instance Limit Level 31,i:Instance Limit Level 32
id,type,name,did,height,width,level_min,portrait,build_time,build_timer_duration,rent_time,rent_timer_duration,product|resources|3,product|resources|5,flippable,completion_sound,sound_on_select,has_move_in,rent_rushable,stashable,worker_spawner,point_of_interest|facing,point_of_interest|x,point_of_interest|y,completion_reward|resources|5,,,,,,instance_limit|1,,instance_limit|3,instance_limit|4,instance_limit|5,instance_limit|6,instance_limit|7,instance_limit|8,instance_limit|9,instance_limit|10,instance_limit|11,instance_limit|12,instance_limit|13,instance_limit|14,instance_limit|15,instance_limit|16,instance_limit|17,instance_limit|18,instance_limit|19,instance_limit|20,instance_limit|21,instance_limit|22,instance_limit|23,instance_limit|24,instance_limit|25,instance_limit|26,instance_limit|27,instance_limit|28,instance_limit|29,instance_limit|30,instance_limit|31,instance_limit|32
1,building,!!BLDG_NAME_FORTUNE_TELLER_TENT,9036,40,40,1,FortuneTellersTent_Portrait.png,86400,5,86400,5,180,10,1,SB_Sweet,n/a,1,1,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,building,!!BLDG_NAME_HAUNTED_HOUSE,9037,60,60,1,HauntedHouse_Portrait.png,86400,5,86400,5,180,10,1,SB_Sweet,n/a,1,1,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,building,!!BLDG_NAME_LOADING_DOCK,9047,40,40,1,LoadingDockAndVechicle_Origin.png,86400,5,86400,5,180,10,0,SB_SendFriendsGifts,n/a,1,1,1,0,southeast,-10,10,25,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,building,!!BLDG_NAME_CHRISTMAS_CAFE,9044,60,60,1,MilkCookieCafe_Portrait.png,21600,5,43200,5,105,6,0,SB_LookingFestive,n/a,1,1,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,building,!!BLDG_NAME_WORKSHACK,1029,40,40,1,ConeHouse.png,3,5,300,5,20,1,1,n/a,n/a,0,1,1,1,southwest,-30,10,25,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,building,!!BLDG_NAME_GOLDENSPATULA,9010,40,40,1,GoldenSpatula_Portrait.png,1,5,86400,5,180,10,1,SB_Sweet,n/a,1,0,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,building,!!BLDG_NAME_BOOTYSHIP,9011,60,60,1,PirateBootyShip_Portrait.png,1,5,86400,5,180,10,1,SB_Sweet,n/a,1,0,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,building,!!BLDG_NAME_HAUNTED_FISH_HOUSE,9041,40,40,1,HauntedFishHouse_Portrait.png,86400,5,86400,5,180,10,1,SB_Sweet,n/a,1,1,1,0,southeast,-10,10,5,-1,IconXP_1.png,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,building,!!BLDG_NAME_9015_GREEN_HOUSE,9015,20,40,5,FishHome1_Green_Portrait.png,3600,5,1800,5,40,2,1,SB_Neighbor,n/a,0,1,1,0,southeast,-20,10,10,-1,IconXP_1.png,-1,-1,-1,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
