i:ID,s:Name,i:DID,i:Reward Gold,i:Reward XP,i:Fullness Time,f:Jelly Conversion,i:Consumable,s:Type,i:Special Currency HUD Display,i:Currency Display Quest Trigger,s:Texture,i:Ignore Wish Duration,i:Force Wish Match,i:Force No Wish Payout,i:Expected Order,i:Max Amount,s:Tag,s:Tap Sound,s:Collected Sound,s:Eaten Sound,i:Micro Event DID
empty,,,,,,,,,,,,,,,,,,,,,
2,!!RESOURCE_JJ,2,-1,-1,-1,1,0,hard_currency,0,-1,IconJellyfishJelly.png,0,0,0,-1,9999999,rez_jj,TapFallenItem,JellyFishJuiceCollected,JellyFishJuiceEaten,-1
3,!!RESOURCE_MONEY,3,-1,-1,-1,250,0,soft_currency,0,-1,IconMoney_1.png,0,0,0,-1,9999999,rez_gold,TapFallenItem,MoneyCollected,MoneyEaten,-1
4,!!RESOURCE_LEVEL,4,-1,-1,-1,0.001,0,level,0,-1,n/a,0,0,0,-1,35,rez_level,n/a,n/a,n/a,-1
5,!!RESOURCE_XP,5,-1,-1,-1,0.001,0,xp,0,-1,IconXP_1.png,0,0,0,-1,9999999,rez_xp,TapFallenItem,XPCollected,n/a,-1
6,!!RESOURCE_ECTOPLASM,51,-1,-1,-1,1,0,halloween_currency,0,-1,IconEctoplasm.png,0,0,0,-1,9999999,rez_ecto,TapFallenItem,JellyFishJuiceCollected,JellyFishJuiceEaten,-1
7,!!RESOURCE_TOYS,52,-1,-1,-1,1,0,christmas_currency,0,-1,ChristmasCoins_ThinBranches_Origin.png,0,0,0,-1,9999999,rez_toy,TapFallenItem,ChristmasCurrencyCollected,JellyFishJuiceEaten,-1
8,!!RESOURCE_HEARTS,53,-1,-1,-1,10,0,valentines_currency,0,-1,valentine_heartIcon.png,0,0,0,-1,9999999,rez_hearts,TapFallenItem,ChristmasCurrencyCollected,JellyFishJuiceEaten,-1
9,!!RESOURCE_SQUILLIAMS,54,-1,-1,-1,10,0,squilliams_currency,0,-1,GildedDoorknobs_scaled.png,0,0,0,-1,9999999,rez_squilliams,TapFallenItem,ChristmasCurrencyCollected,JellyFishJuiceEaten,-1
10,!!RESOURCE_BONES,55,-1,-1,-1,10,0,halloween_bones_currency,0,-1,Bones.png,0,0,0,-1,9999999,rez_bones,TapFallenItem,ChristmasCurrencyCollected,JellyFishJuiceEaten,-1
11,!!RESOURCE_BOTTLES,56,-1,-1,-1,10,0,christmas_bottles_currency,0,2826,HolidayWishes_UI.png,0,0,0,-1,9999999,rez_bottles,TapFallenItem,ChristmasCurrencyCollected,JellyFishJuiceEaten,-1
12,!!RESOURCE_HEARTS_2015,57,-1,-1,-1,10,0,valentines_2015_currency,0,3100,valentine_heartIcon.png,0,0,0,-1,9999999,rez_hearts_2015,TapFallenItem,ChristmasCurrencyCollected,JellyFishJuiceEaten,-1
13,!!INGREDIENT_BBQ_SAUCE,9002,15,1,-1,0.1112,0,n/a,0,-1,BarbecueSauce.png,0,0,0,170,-1,rez_bbq_sauce,n/a,GardenCropCollected,GardenCropEaten,-1
14,!!INGREDIENT_CHOCOLATE,9109,10,1,-1,0.5,0,n/a,0,-1,sb_item_chocolate.png,0,0,0,14,-1,cocoa_brick,n/a,GardenCropCollected,GardenCropEaten,-1
15,!!INGREDIENT_CINNAMON,9108,7,1,-1,0.5,0,n/a,0,-1,sb_item_cinnamon.png,0,0,0,14,-1,cinnamon,n/a,GardenCropCollected,GardenCropEaten,-1
16,!!INGREDIENT_CLOVES,9110,7,1,-1,0.5,0,n/a,0,-1,sb_item_cloves.png,0,0,0,14,-1,cloves,n/a,GardenCropCollected,GardenCropEaten,-1
17,!!INGREDIENT_CORN,9200,32,1,-1,0.5,0,n/a,0,-1,valentines_Ready_Corn.png,0,0,0,14,-1,corn,n/a,GardenCropCollected,GardenCropEaten,-1
18,!!INGREDIENT_CRANBERRIES,10011,15,1,-1,0.11112,0,n/a,0,-1,sb_item_cranberries.png,0,0,0,999,-1,rez_cranberry,n/a,GardenCropCollected,GardenCropEaten,-1
19,!!INGREDIENT_DISTILLED_VINEGAR,9003,15,1,-1,0.1112,0,n/a,0,-1,DistilledVinegar.png,0,0,0,170,-1,rez_distilled_vinegar,n/a,GardenCropCollected,GardenCropEaten,-1
20,!!INGREDIENT_DOUGH,9106,19,1,-1,0.5,0,n/a,0,-1,sb_item_dough.png,0,0,0,14,-1,dough,n/a,GardenCropCollected,GardenCropEaten,-1
21,!!INGREDIENT_GINGER,9111,7,1,-1,0.5,0,n/a,0,-1,sb_item_ginger.png,0,0,0,14,-1,ginger,n/a,GardenCropCollected,GardenCropEaten,-1
22,!!INGREDIENT_ICING,9112,20,1,-1,0.5,0,n/a,0,-1,sb_item_icing.png,0,0,0,14,-1,icing,n/a,GardenCropCollected,GardenCropEaten,-1
23,!!INGREDIENT_MARSHMALLOW,9113,52,1,-1,0.5,0,n/a,0,-1,sb_item_marshmallow.png,0,0,0,14,-1,marshmallow,n/a,GardenCropCollected,GardenCropEaten,-1
24,!!INGREDIENT_MUSTARD_SEED,9005,15,1,-1,0.1112,0,n/a,0,-1,MustardSeed.png,0,0,0,170,-1,rez_mustard_seed,n/a,GardenCropCollected,GardenCropEaten,-1
25,!!INGREDIENT_NATURAL_FLAVORS,9006,15,1,-1,0.1112,0,n/a,0,-1,NaturalFlavors.png,0,0,0,170,-1,rez_natural_flavors,n/a,GardenCropCollected,GardenCropEaten,-1
26,!!INGREDIENT_NUTMEG,9114,7,1,-1,0.5,0,n/a,0,-1,sb_item_nutmeg.png,0,0,0,14,-1,nutmeg,n/a,GardenCropCollected,GardenCropEaten,-1
27,!!INGREDIENT_PAPRIKA,9007,15,1,-1,0.1112,0,n/a,0,-1,Paprika.png,0,0,0,170,-1,rez_paprika,n/a,GardenCropCollected,GardenCropEaten,-1
28,!!INGREDIENT_PEANUTS,9115,31,1,-1,0.5,0,n/a,0,-1,sb_item_peanuts.png,0,0,0,14,-1,peanuts,n/a,GardenCropCollected,GardenCropEaten,-1
29,!!INGREDIENT_PEPPERMINT,9116,7,1,-1,0.5,0,n/a,0,-1,sb_item_peppermint.png,0,0,0,14,-1,peppermint,n/a,GardenCropCollected,GardenCropEaten,-1
30,!!INGREDIENT_SALT,9008,15,1,-1,0.1112,0,n/a,0,-1,Salt.png,0,0,0,170,-1,rez_salt,n/a,GardenCropCollected,GardenCropEaten,-1
31,!!INGREDIENT_SHELLAC,9009,15,1,-1,0.1112,0,n/a,0,-1,Shellac.png,0,0,0,170,-1,rez_shellac,n/a,GardenCropCollected,GardenCropEaten,-1
32,!!INGREDIENT_SPACKLE,9010,15,1,-1,0.1112,0,n/a,0,-1,Spackle.png,0,0,0,170,-1,rez_spackle,n/a,GardenCropCollected,GardenCropEaten,-1
33,!!INGREDIENT_SUGAR,9107,7,1,-1,0.5,0,n/a,0,-1,sb_item_sugar.png,0,0,0,14,-1,sugar,n/a,GardenCropCollected,GardenCropEaten,-1
34,!!INGREDIENT_TUMERIC,9011,15,1,-1,0.1112,0,n/a,0,-1,Tumeric.png,0,0,0,170,-1,rez_tumeric,n/a,GardenCropCollected,GardenCropEaten,-1
35,!!INGREDIENT_VANILLA,9117,7,1,-1,0.5,0,n/a,0,-1,sb_item_vanilla.png,0,0,0,14,-1,vanilla,n/a,GardenCropCollected,GardenCropEaten,-1
36,!!INGREDIENT_WHIPPED_CREAM,9118,60,1,-1,0.5,0,n/a,0,-1,sb_item_whippedcream.png,0,0,0,14,-1,whipped_cream,n/a,GardenCropCollected,GardenCropEaten,-1
37,!!INGREDIENT_CAN,9300,10,1,-1,0.33,0,n/a,0,-1,Can.png,0,0,0,999,-1,can,n/a,SoupItemCollected,SoupItemEaten,-1
38,!!INGREDIENT_MILK,9301,15,1,-1,0.2,0,n/a,0,-1,Milk.png,0,0,0,999,-1,milk,n/a,SoupItemCollected,SoupItemEaten,-1
39,!!INGREDIENT_MARBLES,9021,-1,1,-1,0.1112,0,n/a,0,-1,Marbles.png,0,0,0,170,-1,marbles,n/a,GardenCropCollected,GardenCropEaten,-1
40,!!INGREDIENT_PAINT,9022,-1,1,-1,0.1112,0,n/a,0,-1,Paint.png,0,0,0,170,-1,paint,n/a,GardenCropCollected,GardenCropEaten,-1
41,!!INGREDIENT_ELASTIC,9400,-1,1,-1,0.1112,0,n/a,0,-1,Elastic.png,0,0,0,170,-1,paint,n/a,GardenCropCollected,GardenCropEaten,-1
42,!!INGREDIENT_SEQUINS,9401,-1,1,-1,0.1112,0,n/a,0,-1,Sequins.png,0,0,0,170,-1,paint,n/a,GardenCropCollected,GardenCropEaten,-1
43,!!INGREDIENT_SPIRIT_GUM,9402,-1,1,-1,0.1112,0,n/a,0,-1,SpiritGum.png,0,0,0,170,-1,paint,n/a,GardenCropCollected,GardenCropEaten,-1
44,!!INGREDIENT_TERRYCLOTH,9403,-1,1,-1,0.1112,0,n/a,0,-1,TerryCloth.png,0,0,0,170,-1,paint,n/a,GardenCropCollected,GardenCropEaten,-1
45,!!FOOD_CANNED_MILK,9302,20,1,240,0.1,1,n/a,0,-1,CannedMilk.png,0,0,0,999,-1,canned_milk,n/a,SoupItemCollected,SoupItemEaten,-1
46,!!FOOD_CANNED_BREAD,9303,25,1,240,0.1,1,n/a,0,-1,CannedBread.png,0,0,0,999,-1,canned_bread,n/a,SoupItemCollected,SoupItemEaten,-1
47,!!FOOD_SQUIDFLAKES,9304,32,1,420,0.1,1,n/a,0,-1,Squidflakes.png,0,0,0,999,-1,squidflakes,n/a,SoupItemCollected,SoupItemEaten,-1
48,!!FOOD_KRABBY_NEWBURG,9404,100,1,21600,0.1,1,n/a,0,-1,KrabbyNewburg.png,0,0,0,999,-1,rez_krabby_newburg,n/a,SoupItemCollected,SoupItemEaten,-1
49,!!FOOD_APPLE,10001,70,1,-1,0.04546,0,n/a,0,-1,Apple.png,0,0,0,999,-1,rez_apple,n/a,GardenCropCollected,GardenCropEaten,-1
50,!!FOOD_APPLE_CIDER,9120,147,1,22680,0.1112,1,n/a,0,-1,sb_item_applecider.png,0,0,0,170,-1,apple_cider,n/a,GrilledItemCollected,GrilledItemEaten,-1
51,!!FOOD_BAKED_BANANABANANABREAD,80000,118,1,600,0.01887,1,n/a,0,-1,BananaBananaBread.png,0,0,0,999,-1,rez_baked_bananabananabread,n/a,BakedItemCollected,BakedItemEaten,-1
52,!!FOOD_BAKED_CHERRIESGARY,80001,231,1,1620,0.00488,1,n/a,0,-1,CherriesGary.png,0,0,0,999,-1,rez_baked_cherriesgary,n/a,BakedItemCollected,BakedItemEaten,-1
53,!!FOOD_BAKED_COCONUTCOBBLER,80002,472,1,43200,0.00234,1,n/a,0,-1,CoconutCobbler.png,0,0,0,999,-1,rez_baked_coconutcobbler,n/a,BakedItemCollected,BakedItemEaten,-1
54,!!FOOD_BAKED_CORALCRUMBLE,80003,111,1,600,0.01137,0,n/a,0,-1,CoralCrumbleCake.png,0,0,0,999,-1,rez_baked_coralcrumble,n/a,BakedItemCollected,BakedItemEaten,-1
55,!!FOOD_BAKED_DUTCHMANSDUTCHAPPLEPIE,80004,96,1,3240,0.01539,1,n/a,0,-1,Dutchman'sDutchPie.png,0,0,0,999,-1,rez_baked_dutchmansdutchapplepie,n/a,BakedItemCollected,BakedItemEaten,-1
56,!!FOOD_BAKED_EVERYVILLAINISLEMONBAR,80005,194,1,3240,0.00439,1,n/a,0,-1,EveryVillianIsLemonBar.png,0,0,0,999,-1,rez_baked_everyvillainislemonbar,n/a,BakedItemCollected,BakedItemEaten,-1
57,!!FOOD_BAKED_FERRYCHERRYCHEESECAKE,80006,260,1,5400,0.00433,1,n/a,0,-1,FerryCherryCheesecake.png,0,0,0,999,-1,rez_baked_ferrycherrycheesecake,n/a,BakedItemCollected,BakedItemEaten,-1
58,!!FOOD_BAKED_KELPYCRUST,80007,74,1,1080,0.03125,0,n/a,0,-1,KelpyCrust.png,0,0,0,999,-1,rez_baked_kelpycrust,n/a,BakedItemCollected,BakedItemEaten,-1
59,!!FOOD_BAKED_LIFESABEACHPEACHCOBBLER,80008,442,1,5400,0.00203,1,n/a,0,-1,PeachCobbler.png,0,0,0,999,-1,rez_baked_lifesabeachoeachcobbler,n/a,BakedItemCollected,BakedItemEaten,-1
60,!!FOOD_BAKED_MAROONEDMACAROONS,80009,139,1,10800,0.00521,1,n/a,0,-1,MaroonedMacaroon.png,0,0,0,999,-1,rez_baked_maroonedmacaroons,n/a,BakedItemCollected,BakedItemEaten,-1
61,!!FOOD_BAKED_MERINGUELEMANRAY,80010,314,1,21600,0.00263,1,n/a,0,-1,MeringueLeManRayPie.png,0,0,0,999,-1,rez_baked_meringuelemanray,n/a,BakedItemCollected,BakedItemEaten,-1
62,!!FOOD_BAKED_PUFFERPASTRYTART,80011,252,1,21600,0.00572,1,n/a,0,-1,PufferPastryTart.png,0,0,0,999,-1,rez_baked_pufferpastrytart,n/a,BakedItemCollected,BakedItemEaten,-1
63,!!FOOD_BAKED_SANDYSTEXASTWOBERRYTART,80012,206,1,21600,0.00962,1,n/a,0,-1,SandysTexasTwoBerryTart.png,0,0,0,999,-1,rez_baked_sandystexastwoberrytart,n/a,BakedItemCollected,BakedItemEaten,-1
64,!!FOOD_BAKED_SEALIMEPIE,80013,153,1,10800,0.00618,1,n/a,0,-1,SeaLimePie.png,0,0,0,999,-1,rez_baked_sealimepie,n/a,BakedItemCollected,BakedItemEaten,-1
65,!!FOOD_BAKED_SHELDONSSTRAWBERRYSHORTCAKE,80014,238,1,21600,0.01334,1,n/a,0,-1,Sheldon'sStrawberryShortcake.png,0,0,0,999,-1,rez_baked_sheldonsstrawberryshortcake,n/a,BakedItemCollected,BakedItemEaten,-1
66,!!FOOD_BAKED_SPONGECAKESQUAREBAKE,80015,70,1,-1,0.07693,0,n/a,0,-1,SpongeCakeSquareBake.png,0,0,0,999,-1,rez_baked_spongecakesquarebake,n/a,BakedItemCollected,BakedItemEaten,-1
67,!!FOOD_BAKED_THEAPPLEFANCYSON,80016,658,1,21600,0.00145,1,n/a,0,-1,AppleFancyson.png,0,0,0,999,-1,rez_baked_theapplefancyson,n/a,BakedItemCollected,BakedItemEaten,-1
68,!!FOOD_BANANA,10000,50,1,-1,0.112,0,n/a,0,-1,Banana.png,0,0,0,999,-1,rez_banana,n/a,GardenCropCollected,GardenCropEaten,-1
69,!!FOOD_BISQUE,28,231,1,43200,0.00926,1,n/a,0,-1,TomatoBisque.png,0,0,0,80,-1,rez_bisque,n/a,SoupItemCollected,SoupItemEaten,-1
70,!!FOOD_BLUEBERRY,10009,60,1,-1,0.11112,0,n/a,0,-1,Blueberry.png,0,0,0,999,-1,rez_blueberry,n/a,GardenCropCollected,GardenCropEaten,-1
71,!!FOOD_BREAD_PUDDING,9104,212,1,43200,0.1112,1,n/a,0,-1,sb_item_breadpudding.png,0,0,0,170,-1,bread_pudding,n/a,GrilledItemCollected,GrilledItemEaten,-1
72,!!FOOD_BRUSCHETTA,27,56,1,1620,0.077,1,n/a,0,-1,Bruschetta.png,0,0,0,100,-1,rez_brushcetta,n/a,BakedItemCollected,BakedItemEaten,-1
73,!!FOOD_BUN,6,32,1,-1,0.25,0,n/a,0,-1,Bun.png,0,0,0,10,-1,rez_bun,n/a,BakedItemCollected,BakedItemEaten,-1
74,!!FOOD_CAESAR_SALAD,31,78,1,1620,0.02273,1,n/a,0,-1,CaesarSalad.png,0,0,0,50,-1,rez_caesar_salad,n/a,VeggieItemCollected,VeggieItemEaten,-1
75,!!FOOD_CANDY_CANE,9124,134,1,21600,0.1112,1,n/a,0,-1,sb_item_candycane.png,0,0,0,170,-1,candy_cane,n/a,GrilledItemCollected,GrilledItemEaten,-1
76,!!FOOD_CANDY_HEART_ON_STICK,9205,94,1,21600,0.1112,1,n/a,0,-1,valentines_CandyHeart.png,0,0,0,170,-1,candy_heart_on_stick,n/a,GrilledItemCollected,GrilledItemEaten,-1
77,!!FOOD_CHERRY,10002,60,1,-1,0.0625,0,n/a,0,-1,Cherry.png,0,0,0,999,-1,rez_cherry,n/a,GardenCropCollected,GardenCropEaten,-1
78,!!FOOD_CHESTNUT,10010,15,1,-1,0.11112,0,n/a,0,-1,sb_item_chestnut.png,0,0,0,999,-1,rez_chestnut,n/a,GardenCropCollected,GardenCropEaten,-1
79,!!FOOD_CHOCOLATES,9201,10,1,240,0.1112,1,n/a,0,-1,valentines_Chocolates.png,0,0,0,170,-1,chocolates,n/a,GrilledItemCollected,GrilledItemEaten,-1
80,!!FOOD_CHRISTMAS_COOKIE,9119,121,1,21600,0.1112,1,n/a,0,-1,sb_item_christmas_cookie.png,0,0,0,170,-1,christmas_cookie,n/a,GrilledItemCollected,GrilledItemEaten,-1
81,!!FOOD_COCONUT,10003,150,1,-1,0.0345,0,n/a,0,-1,Coconut.png,0,0,0,999,-1,rez_coconut,n/a,GardenCropCollected,GardenCropEaten,-1
82,!!FOOD_CORALBITS,2001,55,1,-1,0.04762,0,n/a,0,-1,CoralBits.png,0,0,0,170,-1,rez_coralbits,n/a,GardenCropCollected,GardenCropEaten,-1
83,!!FOOD_COTTON_CANDY,9204,76,1,18720,0.1112,1,n/a,0,-1,valentines_CottonCandy.png,0,0,0,170,-1,cotton_candy,n/a,GrilledItemCollected,GrilledItemEaten,-1
84,!!FOOD_CRANBERRY_SAUCE,9122,108,1,15120,0.1112,1,n/a,0,-1,sb_item_cranberry_sauce.png,0,0,0,170,-1,cranberry_sauce,n/a,GrilledItemCollected,GrilledItemEaten,-1
85,!!FOOD_CROUTONS,93,17,1,480,1,0,n/a,0,-1,Crutons.png,0,0,0,16,-1,rez_croutons,n/a,BakedItemCollected,n/a,-1
86,!!FOOD_CRYJOHNNY,15,61,1,480,0.04,1,n/a,0,-1,CryingJohnny.png,0,0,0,70,-1,rez_cryjohnny,n/a,GrilledItemCollected,n/a,-1
87,!!FOOD_CUBEDKETCHUPKABOBS,95,50,1,3240,0.0278,1,n/a,0,-1,KetchupCubeSkewer.png,0,0,0,58,-1,rez_cubedketchupkabobs,n/a,GardenCropCollected,GardenCropEaten,-1
88,!!FOOD_DUTCHDOUBLE,16,79,1,1080,0.02326,1,n/a,0,-1,Dutchman'sDouble.png,0,0,0,140,-1,rez_dutchdouble,n/a,GrilledItemCollected,GrilledItemEaten,-1
89,!!FOOD_ENGLISH_TOFFEE,9125,125,1,23040,0.1112,1,n/a,0,-1,sb_item_english_toffee.png,0,0,0,170,-1,english_toffee,n/a,GrilledItemCollected,GrilledItemEaten,-1
90,!!FOOD_FUDGE,9126,147,1,22680,0.1112,1,n/a,0,-1,sb_item_fudge.png,0,0,0,170,-1,fudge,n/a,GrilledItemCollected,GrilledItemEaten,-1
91,!!FOOD_GARLIC,2002,58,1,-1,0.1112,0,n/a,0,-1,GarlicClove.png,0,0,0,170,-1,rez_garlic,n/a,GardenCropCollected,GardenCropEaten,-1
92,!!FOOD_GARLICBREAD,41,59,1,600,0.0625,1,n/a,0,-1,GarlicBread.png,0,0,0,120,-1,rez_garlicbread,n/a,BakedItemCollected,BakedItemEaten,-1
93,!!FOOD_GINGERBREAD_ELF,9121,126,1,21600,0.1112,1,n/a,0,-1,sb_item_gingerbreadman.png,0,0,0,170,-1,gingerbread_elf,n/a,GrilledItemCollected,GrilledItemEaten,-1
94,!!FOOD_HOLIDAY_CHEER,9100,6,1,0,0.1112,0,n/a,0,-1,HolidayCheer_Origin.png,1,1,1,170,-1,rez_holiday_cheer,n/a,GrilledItemCollected,GrilledItemEaten,-1
95,!!FOOD_HOT_CHOCOLATE,9123,114,1,18720,0.1112,1,n/a,0,-1,sb_item_hotchocolate.png,0,0,0,170,-1,hot_chocolate,n/a,GrilledItemCollected,GrilledItemEaten,-1
96,!!FOOD_HOTDOGROLL,1008,33,1,-1,0.25,0,n/a,0,-1,HotDogRoll.png,0,0,0,200,-1,rez_hotdogroll,n/a,BakedItemCollected,BakedItemEaten,-1
97,!!FOOD_HOT_KABOB_DOG,9600,132,1,5400,0.1112,1,n/a,0,-1,HotKabobDog.png,0,0,0,200,-1,rez_hot_kabob_dog,n/a,BakedItemCollected,BakedItemEaten,-1
98,!!FOOD_JELLIEDTOAST,96,50,1,240,0.2,1,n/a,0,-1,Toast_Jam.png,0,0,0,90,-1,rez_jelliedtoast,n/a,BakedItemCollected,BakedItemEaten,-1
99,!!FOOD_JELLYPATTY,32,50,1,240,0.0527,1,n/a,0,-1,JellyPatty.png,0,0,0,60,-1,rez_jellypatty,n/a,GrilledItemCollected,GrilledItemEaten,-1
100,!!FOOD_KELP,14,38,1,-1,0.2,0,n/a,0,-1,kelp.png,0,0,0,130,-1,rez_kelp,n/a,GardenCropCollected,GardenCropEaten,-1
101,!!FOOD_KELPCAKE,19,295,1,21600,0.00841,1,n/a,0,-1,Captain'sCajunKelpCakes.png,0,0,0,180,-1,rez_kelpcake,n/a,FriedItemCollected,FriedItemEaten,-1
102,!!FOOD_KELPDOG,21,119,1,18720,0.02,1,n/a,0,-1,KrustyDog.png,0,0,0,210,-1,rez_kelpdog,n/a,GrilledItemCollected,GrilledItemEaten,-1
103,!!FOOD_KELPFRIES,18,132,1,5400,0.015385,1,n/a,0,-1,KelpFries.png,0,0,0,190,-1,rez_kelpfries,n/a,FriedItemCollected,FriedItemEaten,-1
104,!!FOOD_KELPKLT,23,154,1,21600,0.01725,1,n/a,0,-1,KLT.png,0,0,0,160,-1,rez_kelpklt,n/a,GrilledItemCollected,GrilledItemEaten,-1
105,!!FOOD_KETCHUP,94,8,1,40,0.2,0,n/a,0,-1,KetchupPacket.png,0,0,0,17,-1,rez_ketchup,n/a,GardenCropCollected,n/a,-1
106,!!FOOD_KRABBYPATTY,1,47,1,360,0.05883,1,n/a,0,-1,KrabbyPatty.png,0,0,0,40,-1,rez_krabby_patty,n/a,GrilledItemCollected,GrilledItemEaten,-1
107,!!FOOD_LEMON,10004,100,1,-1,0.04,0,n/a,0,-1,Lemon.png,0,0,0,999,-1,rez_lemon,n/a,GardenCropCollected,GardenCropEaten,-1
108,!!FOOD_LETTUCE,8,7,1,-1,0.5,0,n/a,0,-1,Ready_Lettuce.png,0,0,0,12,-1,rez_lettuce,n/a,GardenCropCollected,GardenCropEaten,-1
109,!!FOOD_LIME,10005,140,1,-1,0.03572,0,n/a,0,-1,Lime.png,0,0,0,999,-1,rez_lime,n/a,GardenCropCollected,GardenCropEaten,-1
110,!!FOOD_MUSTARD,9020,128,1,5400,0.1112,0,n/a,0,-1,Mustard.png,0,0,0,170,-1,rez_mustard,n/a,GardenCropCollected,GardenCropEaten,-1
111,!!FOOD_ONION,12,27,1,-1,0.5,0,n/a,0,-1,onion.png,0,0,0,14,-1,rez_onion,n/a,GardenCropCollected,GardenCropEaten,-1
112,!!FOOD_ORANGE,10006,48,1,-1,0.07693,0,n/a,0,-1,Orange.png,0,0,0,999,-1,rez_orange,n/a,GardenCropCollected,GardenCropEaten,-1
113,!!FOOD_PATTY,90,12,1,120,0.5,0,n/a,0,-1,Patty.png,0,0,0,11,-1,rez_patty,n/a,GrilledItemCollected,GrilledItemEaten,-1
114,!!FOOD_PEACH,10007,160,1,-1,0.03125,0,n/a,0,-1,Peach.png,0,0,0,999,-1,rez_peach,n/a,GardenCropCollected,GardenCropEaten,-1
115,!!FOOD_PEANUT_BRITTLE,9103,83,1,10800,0.1112,1,n/a,0,-1,sb_item_peanutbrittle.png,0,0,0,170,-1,peanut_brittle,n/a,GrilledItemCollected,GrilledItemEaten,-1
116,!!FOOD_PICODEGALLO,97,63,1,600,0.03572,1,n/a,0,-1,PicoDeGallo.png,0,0,0,110,-1,rez_picodegallo,n/a,GardenCropCollected,GardenCropEaten,-1
117,!!FOOD_PIPSQUEAKPATTY,99,31,1,360,0.1,1,n/a,0,-1,PipsqueakPatty.png,0,0,0,20,-1,rez_pipsqueak_patty,n/a,GrilledItemCollected,GrilledItemEaten,-1
118,!!FOOD_POPCORN,9202,59,1,600,0.1112,1,n/a,0,-1,valentines_popcorn.png,0,0,0,170,-1,popcorn,n/a,GrilledItemCollected,GrilledItemEaten,-1
119,!!FOOD_POTATO,13,47,1,-1,0.1429,0,n/a,0,-1,potato.png,0,0,0,170,-1,rez_potato,n/a,GardenCropCollected,GardenCropEaten,-1
120,!!FOOD_ROASTED_CHESTNUT,9102,89,1,5400,0.1112,1,n/a,0,-1,sb_item_roasted_chestnuts.png,0,0,0,170,-1,roasted_chestnut,n/a,GrilledItemCollected,GrilledItemEaten,-1
121,!!FOOD_RUSTYS_SPICY_SPACKLE_SAUCE,9017,87,1,10800,0.1112,0,n/a,0,-1,SpiceySpackleSauce.png,0,0,0,170,-1,rez_spicy_spackle_sauce,n/a,GardenCropCollected,GardenCropEaten,-1
122,!!INGREDIENT_DRIFTWOOD,9004,15,1,300,0.1112,1,n/a,0,-1,Driftwood.png,0,0,0,170,-1,rez_driftwood,n/a,GardenCropCollected,GardenCropEaten,-1
