i:ID,s:Type,s:Name,i:DID,i:Level Min,i:Height,i:Width,i:Is Waypoint,s:Portrait,i:Build Time,i:Build Timer Duration,i:Rent Time,i:Rent Timer Duration,i:Flippable,s:Completion Sound,i:Num Residents,i:Resident 1,i:Crafting Menu,i:Crafting Timer Duration,s:Blueprint,s:Crafted Icon,s:Sound On Select,i:Vendor ID,i:Has Move In,i:Shunts Crafting,i:Stashable,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward Resources XP,i:Completion Reward Movie,s:Completion Reward Thought Icon
id,type,name,did,level_min,height,width,is_waypoint,portrait,build_time,build_timer_duration,rent_time,rent_timer_duration,flippable,completion_sound,,resident,crafting_menu,crafting_timer_duration,blueprint,crafted_icon,sound_on_select,vendor_id,has_move_in,shunts_crafting,stashable,point_of_interest|facing,point_of_interest|x,point_of_interest|y,completion_reward|resources|5,,
1,building,!!BLDG_NAME_SEEDSTORE,1102,1,100,60,-1,SeedStore_Portrait.png,7200,5,-1,-1,0,n/a,1,-1,2,5,n/a,VeggieCarton.png,SeedshopSelect,-1,0,1,0,southeast,0,0,5,-1,IconXP_1.png
2,building,!!BLDG_NAME_KK,1018,1,100,60,-1,KrustyKrab_Portrait.png,45,5,-1,-1,0,n/a,-1,3005,1,5,n/a,KrustyKrabHappyMeal.png,KK_Select,-1,1,0,0,southeast,-20,40,25,-1,IconXP_1.png
3,building,!!BLDG_NAME_BAKERY,1024,-1,60,60,-1,Bakery_Portrait.png,600,5,-1,-1,0,SB_OpenForBusiness,-1,-1,3,5,Bakery,BreadBasket.png,BakerySelect,-1,0,0,1,southeast,-20,10,25,7,IconXP_1.png
4,building,!!BLDG_NAME_JUICEBAR,1054,8,60,60,-1,JuiceBar_Portrait.png,86400,5,-1,-1,0,n/a,-1,-1,5,5,n/a,JuiceBarBox.png,n/a,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
5,building,!!BLDG_NAME_BARGN,1021,9,80,60,-1,BargNMart_Portrait.png,10800,5,1200,5,0,SB_Establishment,-1,-1,-1,-1,n/a,n/a,BargnmartSelect,1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
6,building,!!BLDG_NAME_SPICE_SHACK,9045,12,60,60,-1,SpiceShackSnowy_Portrait.png,43200,5,3600,5,0,SB_Establishment,-1,-1,-1,-1,n/a,n/a,SpiceShackSelect,2,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
7,building,!!BLDG_NAME_TREAT_SHOP,9046,13,40,40,-1,TreatShop_Portrait.png,21600,5,-1,-1,0,n/a,-1,-1,11,5,n/a,TreatShopIcon.png,TreatShopSelect,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
8,building,!!BLDG_NAME_RUSTYS_RIB_EYE,9035,-1,60,40,-1,RustysRibEye_Portrait.png,43200,5,-1,-1,1,n/a,-1,3040,9,5,n/a,TakeOutBag.png,n/a,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
9,building,!!BLDG_NAME_ICECREAMSHOP,1056,23,40,40,-1,IceCreamStore_Portrait.png,86400,5,-1,-1,0,n/a,-1,-1,7,5,n/a,IceCreamShopHolder.png,n/a,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
10,building,!!BLDG_NAME_FLOWERSHOP,1055,27,60,40,-1,FlowerShop_Portrait.png,86400,5,-1,-1,0,n/a,-1,-1,6,5,n/a,FlowerShopBasket.png,n/a,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
11,building,!!BLDG_NAME_PERFUMESHOP,1057,30,40,40,-1,PerfumeShop_Portrait.png,86400,5,-1,-1,0,n/a,-1,-1,8,5,n/a,PerfumeShopBag.png,n/a,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
12,building,!!BLDG_NAME_WHOLE_BROW_FOODS,20400,36,60,60,-1,icon_FullOfHealth.png,14400,5,-1,-1,0,n/a,-1,-1,12,5,n/a,FullOfHealthIcon.png,n/a,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
13,building,!!BLDG_NAME_CHUMBUCKET,1058,-1,40,40,-1,ChumBucket_Portrait.png,10800,5,-1,-1,0,n/a,-1,3052,13,5,n/a,ChumBucket_CollectIcon.png,BargnmartSelect,-1,0,0,1,southeast,-10,-5,10,5,IconXP_1.png
14,building,!!BLDG_NAME_CHUMINATOR,1059,-1,60,40,-1,icon_Chuminator.png,10800,5,-1,-1,0,n/a,-1,-1,14,5,n/a,Chuminator_CollectIcon.png,BargnmartSelect,-1,0,0,1,southeast,-10,20,10,-1,IconXP_1.png
