i:ID,s:Type,s:Name,s:File,s:Character,i:Set Sounds,s:Set Sound 1,s:Set Sound 2,s:Set Sound 3,s:Set Sound 4,s:Set Sound 5,s:Set Sound 6,s:Set Sound 7,s:Set Sound 8,s:Set Sound 9,s:Set Sound 10,s:Set Sound 11,s:Set Sound 12,s:Set Sound 13,s:Set Sound 14,s:Set Sound 15,s:Set Sound 16,s:Set Sound 17,s:Set Sound 18,s:Set Sound 19
,,,,,,,,,,,,,,,,,,,,,,,,
3,music,InGame,Music/MUSIC_InGame_MultiMix,n/a,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2,music,Credits,Music/MUSIC_Menu_AmbientOnly,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,music,GalleyGrub,Music/MUSIC_Menu_AmbientOnly,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1,music,Intro,Music/MUSIC_Menu_AmbientOnly,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,music,Menu,Music/MUSIC_Menu_AmbientOnly,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,music,Minigame,Music/MUSIC_Menu_AmbientOnly,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,music,SeedStore,Music/MUSIC_Menu_AmbientOnly,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
42,sound_effects,Bell_Bakery,SoundEffects/Bell_Bakery,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
48,sound_effects,Bell_Seedshop,SoundEffects/Bell_Seedshop,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
140,sound_effects,RecipeDropExplodeInPlace,SoundEffects/BottleBreak,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
40,sound_effects,Bwoop,SoundEffects/Bwoop,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
106,sound_effects,FriedItemStarted,SoundEffects/Bwoop,n/a,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
