i:ID,s:Category,i:Num Items,s:Item 1,s:Item 2,s:Item 3,s:Item 4,s:Item 5,s:Item 6,s:Item 7,s:Item 8,s:Item 9,s:Item 10,s:Item 11,s:Item 12,s:Item 13,s:Item 14,s:Item 15,s:Item 16,s:Item 17,s:Item 18,s:Item 19,s:Item 20,s:Item 21,s:Item 22,s:Item 23,s:Item 24,s:Item 25,s:Item 26,s:Item 27,s:Item 28,s:Item 29,s:Item 30,s:Item 31,s:Item 32,s:Item 33,s:Item 34,s:Item 35,s:Item 36,s:Item 37,s:Item 38,s:Item 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,vegetable,39,lettuce,tomato,onion,potato,kelp,ketchup,cubedketchupkabobs,picodegallo,vanilla,garlic,mustard,corn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2,bread,-1,bun,deliroll,hotdogroll,frenchbread,garlicbread,bruschetta,breadbowl,toast,croutons,jelliedtoast,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3,burger,-1,patty,pipsqueakpatty,krabbypatty,veggiepatty,jellypatty,cryingjohnny,dutchmansdouble,carpfreekp,krabby_newburg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,pasta,-1,gnocchi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,salad,-1,salad,caesarsalad,seaweedsalad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,deep_fried,-1,kelpfries,hushpuppies,neptunesnuggets,kelpcakes,ultimateanemone,kelprings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,soup,-1,tomatobisque,sailors,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8,mexican,-1,tostada,salsatacos,tortilla,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
9,hotdog,-1,kelpdog,footlong,sauerkraut,hot_kabob_dog,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10,jerky,-1,kelpjerky,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
11,sandwich,-1,klt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,wrap,-1,veggiewrap,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
13,fruit,-1,apple,banana,cherry,coconut,lemon,lime,orange,peach,strawberry,blueberry,chestnut,roasted_chestnut,cranberry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
14,juice,-1,orangejuice,applejuice,lemonade,limeade,peachnectar,apple_cider,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
15,smoothies,-1,bananabreaker,berryblast,cherryslurvey,cherryadechiller,citrusslurvey,hang8,liquidcobbler,nannascsernade,orangenut,straberrysqueeze,strawnanatsunami,wannanana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
16,icecream,-1,bananaicecream,bananasplit,berryscoops,caramelicecream,coralbitsicecream,lemongelato,seasalticecream,strawberryicecream,vanillaicecream,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
17,shakes,-1,bananasnbits,berrybliss,coralcrush,fruitybreeze,saltybanana,strawberryriptide,tartberrytwist,vanillablast,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
18,flowercoral,-1,branchcoral,cupcoral,seaflower,stinkysearose,tubecoral,blissgarden,branchcoralbouquet,coralcastle,cupcoralbed,flowerbed,reefpatch,smellymedly,stinkyseacollection,tubesquare,coralbits,friendlyflower,cupn2flowers,bunchobranches,cupcoraltree,coralparadise,peanuts,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
19,perfume,-1,4ofcups,capsizeforher,capsizeforhim,chumoderant,chumsniff,coralbreeze,fishermansflowers,lampreyaway,scentosailor,seashanty,thatssocoral,thedump,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
20,baked_desserts,-1,bananabananabread,cherriesgary,coconutcobbler,coralcrumble,dutchmansdutchapplepie,everyvillainislemonbar,ferrycherrycheesecake,kelpycrust,lifesabeachpeachcobbler,maroonedmacaroons,meringuelemanray,pufferpastrytart,sandystexastwoberrytart,sealimepie,sheldonsstrawberryshortcake,spongecakesquarebake,theapplefancyson,snickerdoodle,peanut_brittle,bread_pudding,yule_log_cake,sugar_plum,candy_cane,christmas_cookie,english_toffee,fudge,gingerbread_elf,hot_chocolate,cranberry_sauce,dough,chocolate,icing,marshmallow,whipped_cream,chocolates,popcorn,truffles,cotton_candy,candy_heart_on_stick
21,rusty_ribeye,-1,rustyonrye,spicyspacklesauce,barkchopsandwich,barkingbrisket,krabbyonrye,mesquiteribs,pulledpulpsandwich,ribeyesandwich,splinteredslaw,eyeballs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
