i:ID,i:DID,i:Sort Order,s:Name,i:Source Unit DID,i:Partner Unit DID,s:Target Type,i:Target DID,i:Duration,i:Reward Gold,i:Reward Special DID,i:Reward Special Amount,i:Reward XP,s:Paytable Reward Icon,i:Min Level,i:Repeatable,i:Hidden Until Unlocked,i:Quest Unlock DID,i:Quest Relock DID,i:Quest Re-Unlock DID,i:Active During Quest DID,i:Micro Event DID,i:Event Only,i:Source Unit Required Costume,i:Partner Required Costume,s:Source Unit Display State Walk,s:Partner Display State Walk,s:Source Unit Display State Idle,s:Partner Display State Idle,f:Wander Time,f:Idle Time,s:Movement Type,f:Movement Speed,s:Target Display State,i:Position Offset from Target X,i:Position Offset from Target Y,i:Partner Position Offset from Target X,i:Partner Position Offset from Target Y,i:Source Facing,i:Partner Facing,s:Reward Thought Icon,s:Start VO,s:Finish VO,s:Start Sound,s:Finish Sound
empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10,!!TASK_SB_BLOW_BUBBLES,1,-1,n/a,-1,10,6,-1,-1,1,n/a,1,1,0,-1,-1,-1,-1,-1,0,1,-1,bubbles_idle,n/a,idle,n/a,8,-1,wander,25,default,0,0,0,0,0,0,RentIcon.png,SB_BubbleTime,SB_Sweet,SeedshopSelect,SeedshopSelect
2,2,300,!!TASK_SB_FLY_KITE,1,-1,n/a,-1,300,11,-1,-1,5,n/a,4,1,1,-1,-1,-1,-1,-1,0,1,-1,fly_kite,n/a,fly_kite_idle,n/a,8,2,wander,40,default,0,0,0,0,0,0,RentIcon.png,SB_ImReady_1,SB_Sweet,SeedshopSelect,SeedshopSelect
3,589,1800,!!TASK_SB_CONVENTION,1,-1,building,21000,1800,20,-1,-1,8,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
4,604,1800,!!TASK_SB_TALK_JUNKERS,1,-1,building,1018,1800,20,-1,-1,8,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
5,594,3600,!!TASK_SB_EXPAND_LOCKER,1,-1,building,21001,3600,40,-1,-1,10,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
6,578,3600,!!TASK_SB_BOATING_SIM,1,-1,building,20900,3600,40,-1,-1,10,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
7,605,3600,!!TASK_SB_WATCH_TV,1,-1,building,1015,3600,40,-1,-1,10,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
8,607,3600,!!TASK_SB_SANDY_ROCKET,1,-1,building,22000,3600,40,-1,-1,10,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
9,872,3600,!!TASK_SPONGEBOB_SOAK_UP_MILK,1,-1,building,9044,3600,40,-1,-1,10,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
10,590,7200,!!TASK_SB_KRABS_HOARD,1,-1,building,1018,7200,50,-1,-1,11,n/a,6,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
11,579,7200,!!TASK_SB_BOAT_TEST_WRITTEN,1,-1,building,20900,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
12,3,7200,!!TASK_SB_SEANCE,1,-1,building,20601,7200,50,-1,-1,11,n/a,1,1,1,2508,-1,-1,-1,-1,0,1,-1,walk,n/a,gimme,n/a,-1,8,stand,30,default,20,15,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
13,4,7200,!!TASK_SB_SCARY_MOVIE,1,-1,building,1007,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
14,213,7200,!!TASK_SB_WATCH_MM_MOVIE,1,-1,building,1007,7200,50,-1,-1,11,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
15,595,14400,!!TASK_SB_CLARINET_SAFE,1,-1,building,21001,14400,65,-1,-1,14,n/a,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,walk,n/a,idle,n/a,-1,-1,enter,40,default,0,0,0,0,0,0,RentIcon.png,n/a,SB_Sweet,SeedshopSelect,SeedshopSelect
