i:ID,i:Terrain Type DID,i:Position X,i:Position Y
1,4,48,36
2,4,49,36
3,4,50,36
4,4,51,36
5,4,52,36
6,4,53,36
7,4,54,36
8,4,55,36
9,4,56,36
10,4,57,36
11,4,58,36
12,4,59,36
13,4,48,37
14,4,49,37
15,4,50,37
16,4,51,37
17,4,52,37
18,4,53,37
19,4,54,37
20,4,55,37
21,4,56,37
22,4,57,37
23,4,58,37
24,4,59,37
25,4,48,38
26,4,49,38
27,4,50,38
28,4,51,38
29,4,52,38
30,4,53,38
31,4,54,38
32,4,55,38
33,4,56,38
34,4,57,38
35,4,58,38
36,4,59,38
37,4,48,39
38,4,49,39
39,4,50,39
40,4,51,39
41,4,52,39
42,4,53,39
43,4,54,39
44,4,55,39
45,4,56,39
46,4,57,39
47,4,58,39
48,4,59,39
49,4,48,40
50,4,49,40
51,4,50,40
52,4,51,40
53,4,52,40
54,4,53,40
55,4,54,40
56,4,55,40
57,4,56,40
58,4,57,40
59,4,58,40
60,4,59,40
61,4,48,41
62,4,49,41
63,4,50,41
64,4,51,41
65,4,52,41
66,4,53,41
67,4,54,41
68,4,55,41
69,4,56,41
70,4,57,41
71,4,58,41
72,4,59,41
73,4,48,42
74,4,49,42
75,4,50,42
76,4,51,42
77,4,52,42
78,4,53,42
79,4,54,42
80,4,55,42
81,4,56,42
82,4,57,42
83,4,58,42
84,4,59,42
85,4,48,43
86,4,49,43
87,4,50,43
88,4,51,43
89,4,52,43
90,4,53,43
91,4,54,43
92,4,55,43
93,4,56,43
94,4,57,43
95,4,58,43
96,4,59,43
97,4,48,44
98,4,49,44
99,4,50,44
100,4,51,44
101,4,52,44
102,4,53,44
103,4,54,44
104,4,55,44
105,4,56,44
106,4,57,44
107,4,58,44
108,4,59,44
109,4,48,45
110,4,49,45
111,4,50,45
112,4,51,45
113,4,52,45
114,4,53,45
115,4,54,45
116,4,55,45
117,4,56,45
118,4,57,45
119,4,58,45
120,4,59,45
121,4,48,46
122,4,49,46
123,4,50,46
124,4,51,46
125,4,52,46
126,4,53,46
127,4,54,46
128,4,55,46
129,4,56,46
130,4,57,46
131,4,58,46
132,4,59,46
133,4,48,47
134,4,49,47
135,4,50,47
136,4,51,47
137,4,52,47
138,4,53,47
139,4,54,47
140,4,55,47
141,4,56,47
142,4,57,47
143,4,58,47
144,4,59,47
145,4,48,48
146,4,49,48
147,4,50,48
148,4,51,48
149,4,52,48
150,4,53,48
151,4,54,48
152,4,55,48
153,4,56,48
154,4,57,48
155,4,58,48
156,4,59,48
157,4,48,49
158,4,49,49
159,4,50,49
160,4,51,49
161,4,52,49
162,4,53,49
163,4,54,49
164,4,55,49
165,4,56,49
166,4,57,49
167,4,58,49
168,4,59,49
169,4,48,50
170,4,49,50
171,4,50,50
172,4,51,50
173,4,52,50
174,4,53,50
175,4,54,50
176,4,55,50
177,4,56,50
178,4,57,50
179,4,58,50
180,4,59,50
181,4,48,51
182,4,49,51
183,4,50,51
184,4,51,51
185,4,52,51
186,4,53,51
187,4,54,51
188,4,55,51
189,4,56,51
190,4,57,51
191,4,58,51
192,4,59,51
193,4,48,52
194,4,49,52
195,4,50,52
196,4,51,52
197,4,52,52
198,4,53,52
199,4,54,52
200,4,55,52
201,4,56,52
202,4,57,52
203,4,58,52
204,4,59,52
205,4,48,53
206,4,49,53
207,4,50,53
208,4,51,53
209,4,52,53
210,4,53,53
211,4,54,53
212,4,55,53
213,4,56,53
214,4,57,53
215,4,58,53
216,4,59,53
217,51,0,60
218,5,0,61
219,5,0,62
220,5,0,63
221,5,0,64
222,5,0,65
223,51,1,60
224,5,1,61
225,5,1,62
226,5,1,63
227,5,1,64
228,5,1,65
229,51,2,60
230,5,2,61
231,5,2,62
232,5,2,63
233,5,2,64
234,5,2,65
235,51,3,60
236,5,3,61
237,5,3,62
238,5,3,63
239,5,3,64
240,5,3,65
241,51,4,60
242,5,4,61
243,5,4,62
244,5,4,63
245,5,4,64
246,5,4,65
247,51,5,60
248,5,5,61
249,5,5,62
250,5,5,63
251,5,5,64
252,5,5,65
253,51,6,60
254,5,6,61
255,5,6,62
256,5,6,63
257,5,6,64
258,5,6,65
259,51,7,60
260,5,7,61
261,5,7,62
262,5,7,63
263,5,7,64
264,5,7,65
265,51,8,60
266,5,8,61
267,5,8,62
268,5,8,63
269,5,8,64
270,5,8,65
271,51,9,60
272,5,9,61
273,5,9,62
274,5,9,63
275,5,9,64
276,5,9,65
277,51,10,60
278,5,10,61
279,5,10,62
280,5,10,63
281,5,10,64
282,5,10,65
283,64,11,60
284,62,11,61
285,63,11,62
286,62,11,63
287,63,11,64
288,61,11,65
289,66,12,60
290,68,12,61
291,6,12,62
292,6,12,63
293,6,12,64
294,65,12,65
295,67,13,60
296,6,13,61
297,6,13,62
298,68,13,63
299,6,13,64
300,65,13,65
301,66,14,60
302,6,14,61
303,68,14,62
304,6,14,63
305,6,14,64
306,65,14,65
307,67,15,60
308,6,15,61
309,6,15,62
310,6,15,63
311,68,15,64
312,65,15,65
313,66,16,60
314,68,16,61
315,6,16,62
316,6,16,63
317,6,16,64
318,65,16,65
319,67,17,60
320,6,17,61
321,68,17,62
322,6,17,63
323,6,17,64
324,65,17,65
325,66,18,60
326,68,18,61
327,6,18,62
328,6,18,63
329,68,18,64
330,65,18,65
331,67,19,60
332,6,19,61
333,68,19,62
334,6,19,63
335,6,19,64
336,65,19,65
337,66,20,60
338,6,20,61
339,6,20,62
340,6,20,63
341,68,20,64
342,65,20,65
343,67,21,60
344,6,21,61
345,6,21,62
346,68,21,63
347,6,21,64
348,65,21,65
349,67,22,60
350,6,22,61
351,68,22,62
352,6,22,63
353,6,22,64
354,65,22,65
355,66,23,60
356,68,23,61
357,6,23,62
358,6,23,63
359,68,23,64
360,65,23,65
361,67,24,60
362,6,24,61
363,68,24,62
364,6,24,63
365,6,24,64
366,65,24,65
367,67,25,60
368,6,25,61
369,6,25,62
370,68,25,63
371,6,25,64
372,65,25,65
373,66,26,60
374,68,26,61
375,6,26,62
376,68,26,63
377,6,26,64
378,65,26,65
379,66,27,60
380,68,27,61
381,6,27,62
382,6,27,63
383,6,27,64
384,65,27,65
385,66,28,60
386,6,28,61
387,6,28,62
388,68,28,63
389,6,28,64
390,65,28,65
391,67,29,60
392,6,29,61
393,68,29,62
394,6,29,63
395,68,29,64
396,65,29,65
397,66,30,60
398,6,30,61
399,68,30,62
400,6,30,63
401,6,30,64
402,65,30,65
403,67,31,60
404,6,31,61
405,68,31,62
406,6,31,63
407,6,31,64
408,65,31,65
409,66,32,60
410,68,32,61
411,6,32,62
412,6,32,63
413,6,32,64
414,65,32,65
415,66,33,60
416,6,33,61
417,68,33,62
418,6,33,63
419,6,33,64
420,65,33,65
421,67,34,60
422,6,34,61
423,6,34,62
424,68,34,63
425,6,34,64
426,65,34,65
427,67,35,60
428,6,35,61
429,6,35,62
430,6,35,63
431,68,35,64
432,65,35,65
433,66,36,60
434,68,36,61
435,6,36,62
436,6,36,63
437,6,36,64
438,65,36,65
439,66,37,60
440,6,37,61
441,6,37,62
442,68,37,63
443,6,37,64
444,65,37,65
445,67,38,60
446,68,38,61
447,6,38,62
448,6,38,63
449,6,38,64
450,65,38,65
451,66,39,60
452,6,39,61
453,6,39,62
454,68,39,63
455,6,39,64
456,65,39,65
457,67,40,60
458,6,40,61
459,68,40,62
460,6,40,63
461,68,40,64
462,65,40,65
463,66,41,60
464,6,41,61
465,68,41,62
466,6,41,63
467,6,41,64
468,65,41,65
469,66,42,60
470,68,42,61
471,6,42,62
472,6,42,63
473,6,42,64
474,65,42,65
475,67,43,60
476,6,43,61
477,6,43,62
478,6,43,63
479,68,43,64
480,65,43,65
481,66,44,60
482,68,44,61
483,6,44,62
484,6,44,63
485,6,44,64
486,65,44,65
487,66,45,60
488,6,45,61
489,6,45,62
490,68,45,63
491,6,45,64
492,65,45,65
493,67,46,60
494,6,46,61
495,68,46,62
496,6,46,63
497,6,46,64
498,65,46,65
499,66,47,60
500,68,47,61
501,6,47,62
502,6,47,63
503,6,47,64
504,65,47,65
505,51,48,60
506,5,48,61
507,5,48,62
508,5,48,63
509,5,48,64
510,5,48,65
511,51,49,60
512,5,49,61
513,5,49,62
514,5,49,63
515,5,49,64
516,5,49,65
517,51,50,60
518,5,50,61
519,5,50,62
520,5,50,63
521,5,50,64
522,5,50,65
523,51,51,60
524,5,51,61
525,5,51,62
526,5,51,63
527,5,51,64
528,5,51,65
529,51,52,60
530,5,52,61
531,5,52,62
532,5,52,63
533,5,52,64
534,5,52,65
535,51,53,60
536,5,53,61
537,5,53,62
538,5,53,63
539,5,53,64
540,5,53,65
541,51,54,60
542,5,54,61
543,5,54,62
544,5,54,63
545,5,54,64
546,5,54,65
547,51,55,60
548,5,55,61
549,5,55,62
550,5,55,63
551,5,55,64
552,5,55,65
553,51,56,60
554,5,56,61
555,5,56,62
556,5,56,63
557,5,56,64
558,5,56,65
559,51,57,60
560,5,57,61
561,5,57,62
562,5,57,63
563,5,57,64
564,5,57,65
565,51,58,60
566,5,58,61
567,5,58,62
568,5,58,63
569,5,58,64
570,5,58,65
571,51,59,60
572,5,59,61
573,5,59,62
574,5,59,63
575,5,59,64
576,5,59,65
577,51,60,60
578,5,60,61
579,5,60,62
580,5,60,63
581,5,60,64
582,5,60,65
583,51,61,60
584,5,61,61
585,5,61,62
586,5,61,63
587,5,61,64
588,5,61,65
589,51,62,60
590,5,62,61
591,5,62,62
592,5,62,63
593,5,62,64
594,5,62,65
595,51,63,60
596,5,63,61
597,5,63,62
598,5,63,63
599,5,63,64
600,5,63,65
601,51,64,60
602,5,64,61
603,5,64,62
604,5,64,63
605,5,64,64
606,5,64,65
607,51,65,60
608,5,65,61
609,5,65,62
610,5,65,63
611,5,65,64
612,5,65,65
613,51,66,60
614,5,66,61
615,5,66,62
616,5,66,63
617,5,66,64
618,5,66,65
619,51,67,60
620,5,67,61
621,5,67,62
622,5,67,63
623,5,67,64
624,5,67,65
625,51,68,60
626,5,68,61
627,5,68,62
628,5,68,63
629,5,68,64
630,5,68,65
631,51,69,60
632,5,69,61
633,5,69,62
634,5,69,63
635,5,69,64
636,5,69,65
637,51,70,60
638,5,70,61
639,5,70,62
640,5,70,63
641,5,70,64
642,5,70,65
643,51,71,60
644,5,71,61
645,5,71,62
646,5,71,63
647,5,71,64
648,5,71,65
649,5,0,66
650,5,0,67
651,5,0,68
652,5,0,69
653,5,0,70
654,5,0,71
655,5,1,66
656,5,1,67
657,5,1,68
658,5,1,69
659,5,1,70
660,5,1,71
661,5,2,66
662,5,2,67
663,5,2,68
664,5,2,69
665,5,2,70
666,5,2,71
667,5,3,66
668,5,3,67
669,5,3,68
670,5,3,69
671,5,3,70
672,5,3,71
673,5,4,66
674,5,4,67
675,5,4,68
676,5,4,69
677,5,4,70
678,5,4,71
679,5,5,66
680,5,5,67
681,5,5,68
682,5,5,69
683,5,5,70
684,5,5,71
685,5,6,66
686,5,6,67
687,5,6,68
688,5,6,69
689,5,6,70
690,5,6,71
691,5,7,66
692,5,7,67
693,5,7,68
694,5,7,69
695,5,7,70
696,5,7,71
697,5,8,66
698,5,8,67
699,5,8,68
700,5,8,69
701,5,8,70
702,5,8,71
703,5,9,66
704,5,9,67
705,5,9,68
706,5,9,69
707,5,9,70
708,5,9,71
709,5,10,66
710,5,10,67
711,5,10,68
712,5,10,69
713,5,10,70
714,5,10,71
715,5,11,66
716,5,11,67
717,5,11,68
718,5,11,69
719,5,11,70
720,5,11,71
721,5,12,66
722,5,12,67
723,5,12,68
724,5,12,69
725,5,12,70
726,5,12,71
727,5,13,66
728,5,13,67
729,5,13,68
730,5,13,69
731,5,13,70
732,5,13,71
733,5,14,66
734,5,14,67
735,5,14,68
736,5,14,69
737,5,14,70
738,5,14,71
739,5,15,66
740,5,15,67
741,5,15,68
742,5,15,69
743,5,15,70
744,5,15,71
745,5,16,66
746,5,16,67
747,5,16,68
748,5,16,69
749,5,16,70
750,5,16,71
751,5,17,66
752,5,17,67
753,5,17,68
754,5,17,69
755,5,17,70
756,5,17,71
757,5,18,66
758,5,18,67
759,5,18,68
760,5,18,69
761,5,18,70
762,5,18,71
763,5,19,66
764,5,19,67
765,5,19,68
766,5,19,69
767,5,19,70
768,5,19,71
769,5,20,66
770,5,20,67
771,5,20,68
772,5,20,69
773,5,20,70
774,5,20,71
775,5,21,66
776,5,21,67
777,5,21,68
778,5,21,69
779,5,21,70
780,5,21,71
781,5,22,66
782,5,22,67
783,5,22,68
784,5,22,69
785,5,22,70
786,5,22,71
787,5,23,66
788,5,23,67
789,5,23,68
790,5,23,69
791,5,23,70
792,5,23,71
793,5,24,66
794,5,24,67
795,5,24,68
796,5,24,69
797,5,24,70
