i:ID,i:DID,i:Cost Multiplier,i:Row,i:Column,i:Cost Jelly,i:Cost Gold,i:Sector Row,i:Sector Column,s:Outline Corner 1,s:Outline Corner 2,s:Outline Corner 3,s:Outline Corner 4,s:Required Slots,i:Is Boardwalk
,,tier,,,,,,,,,,,,
1,1,1,0,0,0,0,5,7,5|7,7|7,7|9,5|9,n/a,0
2,1,-1,-1,-1,0,0,6,7,n/a,n/a,n/a,n/a,n/a,0
3,1,-1,-1,-1,0,0,5,8,n/a,n/a,n/a,n/a,n/a,0
4,1,-1,-1,-1,0,0,6,8,n/a,n/a,n/a,n/a,n/a,0
5,2,10,45,51,0,0,7,8,7|8,8|8,8|9,7|9,8,0
6,3,10,45,45,0,0,7,7,7|7,8|7,8|8,7|8,8,0
7,4,10,45,39,0,0,7,6,7|6,8|6,8|7,7|7,8,0
8,5,10,39,39,0,0,6,6,6|6,7|6,7|7,6|7,8,0
9,6,10,33,39,0,0,5,6,5|6,6|6,6|7,5|7,8,0
10,7,10,27,39,0,0,4,6,4|6,5|6,5|7,4|7,8,0
11,8,10,27,45,0,0,4,7,4|7,5|7,5|8,4|8,1,0
12,9,10,27,51,0,0,4,8,4|8,5|8,5|9,4|9,8,0
13,11,20,51,33,0,0,8,5,8|5,9|5,9|6,8|6,8,0
14,12,20,45,33,0,0,7,5,7|5,8|5,8|6,7|6,8,0
15,13,20,39,33,0,0,6,5,6|5,7|5,7|6,6|6,8,0
16,14,20,33,33,0,0,5,5,5|5,6|5,6|6,5|6,8,0
17,15,20,27,33,0,0,4,5,4|5,5|5,5|6,4|6,8,0
18,16,20,21,33,0,0,3,5,3|5,4|5,4|6,3|6,8,0
19,17,20,21,39,0,0,3,6,3|6,4|6,4|7,3|7,8,0
20,18,20,21,45,0,0,3,7,3|7,4|7,4|8,3|8,8,0
21,19,20,21,51,0,0,3,8,3|8,4|8,4|9,3|9,8,0
22,21,30,57,33,0,0,9,5,9|5,10|5,10|6,9|6,8,0
23,22,30,57,27,0,0,9,4,9|4,10|4,10|5,9|5,8,0
24,23,30,51,27,0,0,8,4,8|4,9|4,9|5,8|5,8,0
25,24,30,45,27,0,0,7,4,7|4,8|4,8|5,7|5,8,0
26,25,30,39,27,0,0,6,4,6|4,7|4,7|5,6|5,8,0
27,26,30,33,27,0,0,5,4,5|4,6|4,6|5,5|5,8,0
28,27,30,27,27,0,0,4,4,4|4,5|4,5|5,4|5,8,0
29,28,30,21,27,0,0,3,4,3|4,4|4,4|5,3|5,8,0
30,29,30,15,27,0,0,2,4,2|4,3|4,3|5,2|5,8,0
31,30,30,15,33,0,0,2,5,2|5,3|5,3|6,2|6,8,0
32,31,30,15,39,0,0,2,6,2|6,3|6,3|7,2|7,8,0
33,32,30,15,45,0,0,2,7,2|7,3|7,3|8,2|8,8,0
34,33,30,15,51,0,0,2,8,2|8,3|8,3|9,2|9,8,0
35,34,20,21,57,0,0,3,9,3|9,4|9,4|10,3|10,8,0
36,35,10,27,57,0,0,4,9,4|9,5|9,5|10,4|10,8,0
37,36,10,33,57,0,0,5,9,5|9,6|9,6|10,5|10,8,0
38,37,10,39,57,0,0,6,9,6|9,7|9,7|10,6|10,8,0
39,38,10,45,57,0,0,7,9,7|9,8|9,8|10,7|10,8,0
40,39,20,51,57,0,0,8,9,8|9,9|9,9|10,8|10,-1,0
41,40,30,57,57,0,0,9,9,9|9,10|9,10|10,9|10,-1,0
42,41,30,15,57,0,0,2,9,2|9,3|9,3|10,2|10,8,0
43,42,30,15,63,0,0,2,10,2|10,3|10,3|11,2|11,8,1
44,43,20,21,63,0,0,3,10,3|10,4|10,4|11,3|11,8,1
45,44,20,27,63,0,0,4,10,4|10,5|10,5|11,4|11,8,1
46,45,20,33,63,0,0,5,10,5|10,6|10,6|11,5|11,8,1
47,46,20,39,63,0,0,6,10,6|10,7|10,7|11,6|11,8,1
48,47,20,45,63,0,0,7,10,7|10,8|10,8|11,7|11,8,1
49,48,20,51,51,0,0,8,8,8|8,9|8,9|9,8|9,8,0
50,49,30,57,51,0,0,9,8,9|8,10|8,10|9,9|9,8,0
51,50,20,51,45,0,0,8,7,8|7,9|7,9|8,8|8,8,0
52,51,30,57,45,0,0,9,7,9|7,10|7,10|8,9|8,8,0
53,52,20,51,39,0,0,8,6,8|6,9|6,9|7,8|7,8,0
54,53,30,57,39,0,0,9,6,9|6,10|6,10|7,9|7,8,0
55,99,1,3,3,5,1000,0,0,0|0,1|0,1|1,0|1,-1,0
56,1000,1,0,0,0,0,-1,-1,n/a,n/a,n/a,n/a,-1,0
