i:ID,s:Name,i:Type DID,i:Move Cost,s:Material,s:Disabled Material,i:Can Pave,i:Derives From Type DID
,,,,,,,
1,path,1,9,path.png,n/a,1,-1
2,path_overlay1,16,9,path.png,n/a,1,1
3,path_overlay2,17,9,path.png,n/a,1,1
4,path_overlay3,18,9,path.png,n/a,1,1
5,sand,2,10,sand.png,n/a,1,-1
6,mud,3,20,mud.png,n/a,1,-1
7,grass,4,10,grass.png,n/a,1,-1
8,goo_interior,5,500,goo_interior.png,n/a,1,-1
9,goo_sand,51,500,goo_sand.png,n/a,1,-1
10,boardwalk_interior,6,9,boardwalk_interior.png,boardwalk_interior_dark.png,0,-1
11,boardwalk_water,65,9,boardwalk_water.png,boardwalk_water_dark.png,0,-1
12,boardwalk_sand,66,9,boardwalk_sand.png,boardwalk_sand_dark.png,0,-1
13,boardwalk_sand2,67,9,boardwalk_sand2.png,boardwalk_sand2_dark.png,0,-1
14,boardwalk_interior2,68,9,boardwalk_interior2.png,boardwalk_interior2_dark.png,0,-1
15,boardwalk_edge_corner,61,500,boardwalk_edge_corner.png,n/a,0,-1
16,boardwalk_edge_plain,62,500,boardwalk_edge_plain.png,n/a,0,-1
17,boardwalk_edge_post,63,500,boardwalk_edge_post.png,n/a,0,-1
18,boardwalk_edge_post_sand,64,500,boardwalk_edge_post_sand.png,n/a,0,-1
