i:ID,s:Type,s:Name,i:DID,i:Level Min,i:Height,i:Width,i:Is Waypoint,s:Portrait,i:Build Time,i:Build Timer Duration,i:Rent Time,i:Rent Timer Duration,i:Flippable,s:Completion Sound,s:Accept Placement Sound,i:Crafting Menu,i:Crafting Timer Duration,s:Point Of Interest Facing,i:Point Of Interest X,i:Point Of Interest Y,i:Completion Reward Resources XP,s:Completion Reward Thought Icon,i:Fruit DID,i:Product Sets,f:Product Odds 1,f:Product Odds 2,f:Product Odds 3,f:Product Odds 4,f:Product Odds 5,i:Product Fruit 1,i:Product Fruit 2,i:Product Fruit 3,i:Product Fruit 4,i:Product Fruit 5,i:Product XP 1,i:Product XP 2,i:Product XP 3,i:Product XP 4,i:Product XP 5,i:Product Summary,i:Instance Limits,i:Instance Limit 1,i:Instance Limit 2,i:Instance Limit 3,i:Instance Limit 4,i:Instance Limit 5,i:Instance Limit 6,i:Instance Limit 7,i:Instance Limit 8,i:Instance Limit 9,i:Instance Limit 10,i:Instance Limit 11,i:Instance Limit 12,i:Instance Limit 13,i:Instance Limit 14,i:Instance Limit 15,i:Instance Limit 16,i:Instance Limit 17,i:Instance Limit 18,i:Instance Limit 19,i:Instance Limit 20,i:Instance Limit 21,i:Instance Limit 22,i:Instance Limit 23,i:Instance Limit 24,i:Instance Limit 25,i:Instance Limit 26,i:Instance Limit 27,i:Instance Limit 28,i:Instance Limit 29,i:Instance Limit 30,i:Instance Limit 31,i:Instance Limit 32
id,type,name,did,level_min,height,width,is_waypoint,portrait,build_time,build_timer_duration,rent_time,rent_timer_duration,flippable,completion_sound,accept_placement_sound,crafting_menu,crafting_timer_duration,point_of_interest|facing,point_of_interest|x,point_of_interest|y,completion_reward|resources|5,,,,,,,,,,,,,,,,,,,product|summary|resources|10001,,instance_limit|1,,instance_limit|3,instance_limit|4,instance_limit|5,instance_limit|6,instance_limit|7,instance_limit|8,instance_limit|9,instance_limit|10,instance_limit|11,instance_limit|12,instance_limit|13,instance_limit|14,instance_limit|15,instance_limit|16,instance_limit|17,instance_limit|18,instance_limit|19,instance_limit|20,instance_limit|21,instance_limit|22,instance_limit|23,instance_limit|24,instance_limit|25,instance_limit|26,instance_limit|27,instance_limit|28,instance_limit|29,instance_limit|30,instance_limit|31,instance_limit|32
1,building,!!TREE_NAME_CHESTNUT,10010,8,20,20,1,sbmi_holiday_ChestnutTree_Portrait.png,0,5,1800,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10010,5,0.5,0.25,0.15,0.1,-1,6,7,8,9,-1,1,1,1,1,-1,3,32,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,building,!!TREE_NAME_CRANBERRY,10011,8,20,20,1,sb_item_cranberry_bush.png,0,5,1800,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10011,-1,0.75,0.25,-1,-1,-1,3,4,-1,-1,-1,1,1,-1,-1,-1,3,-1,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,building,!!TREE_NAME_BANANA,10000,8,20,20,1,BananaTree_Portrait.png,0,5,1800,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10000,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,building,!!TREE_NAME_ORANGE,10006,6,20,20,1,OrangeTree_Portrait.png,0,5,1200,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10006,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,building,!!TREE_NAME_CHERRY,10002,12,20,20,1,CherryTree_Portrait.png,0,5,3600,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10002,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6
6,building,!!TREE_NAME_APPLE,10001,14,20,20,1,AppleTree_Portrait.png,0,5,10800,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10001,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6
7,building,!!TREE_NAME_LEMON,10004,17,20,20,1,LemonTree_Portrait.png,0,5,21600,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10004,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6
8,building,!!TREE_NAME_LIME,10005,19,20,20,1,LimeTree_Portrait.png,0,5,36000,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10005,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,6,6
9,building,!!TREE_NAME_COCONUT,10003,22,20,20,1,CoconutTree_Portrait.png,0,5,43200,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10003,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6
10,building,!!TREE_NAME_PEACH,10007,26,20,20,1,PeachTree_Portrait.png,0,5,86400,5,0,UnveilTree,AcceptPlacementTree,4,5,southeast,-10,10,1,IconXP_1.png,10007,-1,0.45,0.25,0.15,0.1,0.05,2,3,4,5,6,1,1,1,1,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,6
