i:id,s:Type,s:Name,i:DID,i:Disabled,i:Height,i:Width,i:AutoQuest Intro,i:AutoQuest Outro,s:Quest Reminder Icon,s:Character Dialog Portrait,i:Default Costume DID,i:Max Paytables,i:Bonus Paytable DID 1,i:Bonus Paytable DID 2,i:Bonus Paytable DID 3,i:Bonus Paytable DID 4,i:Wishtable DID,i:Gross Item Wishtable DID,i:Forbidden Item Wishtable DID,i:Wish Cooldown Min,i:Wish Cooldown Max,i:Wish Duration,i:Idle Cooldown Min,i:Idle Cooldown Max,i:Idle Duration Min,i:Idle Duration Max,i:Join Paytables,i:Won't Go Home,i:Hide Duration,i:Disable If Will Flee,f:Speed,i:Timer Duration,i:Hungry Timer,s:Character Model Type,i:Character Model Width,i:Character Model Height,f:Character Model Scale X,f:Character Model Scale Y,f:Character Model Scale Z,i:Character Model Offset X,i:Character Model Offset Y,s:Low Res Character Model Type,i:Low Res Character Model Width,i:Low Res Character Model Height,f:Low Res Character Model Scale X,f:Low Res Character Model Scale Y,f:Low Res Character Model Scale Z,i:Low Res Character Model Offset X,i:Low Res Character Model Offset Y,s:Thought Model Type,i:Thought Model Offset X,i:Thought Model Offset Y,i:Thought Quad Width,i:Thought Quad Height,i:Thought Tapbox Center X,i:Thought Tapbox Center Y,i:Thought Tapbox Width,i:Thought Tapbox Height,i:Drop Shadow Diameter,s:Sound on Touch
id,type,name,did,disabled,height,width,,,,,,,match_bonus_paytables,,,,,,,wishing|wish_cooldown_min,wishing|wish_cooldown_max,wishing|wish_duration,idle|cooldown|min,idle|cooldown|max,idle|duration|min,idle|duration|max,join_paytables,go_home_exempt,hide_duration,disable_if_will_flee,speed,timer_duration,time.hungry,display|model_type,display|width,display|height,display|display_scale|x,display|display_scale|y,display|display_scale|z,display|position_offset|x,display|position_offset|y,display_lr|model_type,display_lr|width,display_lr|height,display_lr|display_scale|x,display_lr|display_scale|y,display_lr|display_scale|z,display_lr|position_offset|x,display_lr|position_offset|y,thought_display|model_type,thought_display|position_offset|x,thought_display|position_offset|y,thought_display|quad|width,thought_display|quad|height,thought_display|hit_area|center|x,thought_display|hit_area|center|y,thought_display|hit_area|width,thought_display|hit_area|height,dropshadow_diameter,sound_on_touch
1,unit,!!RESIDENT_SB,1,0,25,25,2,2,SpongebobPortrait.png,Portrait_SpongeBob.png,1,4,1,3,-1,-1,1,57,-1,1,3,120,16,26,10,15,1,1,-1,0,15,5,-1,paperdoll,20,21,3,3,3,0,0,n/a,-1,-1,1,1,1,0,0,sprite,0,230,16,16,0,-6,28,38,-1,SB_Touch
2,unit,!!RESIDENT_DAVE,23,0,25,25,3,3,DavePortrait.png,Portrait_Dave.png,-1,-1,1,4,-1,-1,2,57,-1,1,3,120,15,30,15,30,1,0,-1,0,14,5,-1,paperdoll,20,21,3,3,3,0,-10,paperdoll,20,21,3,3,3,0,-10,sprite,0,230,16,16,0,-6,28,38,-1,Citizen_Touch
3,unit,!!RESIDENT_POLICEFISH,3003,0,25,25,6,6,PoliceFishPortrait.png,Portrait_PoliceFish.png,-1,-1,1,-1,-1,-1,3,57,-1,1,3,120,40,60,12,14,1,0,-1,0,11,5,180,paperdoll,20,23,3,3,3,0,0,paperdoll,20,23,3,3,3,0,0,sprite,0,250,16,16,0,-6,28,38,-1,Generic_Touch
4,unit,!!RESIDENT_MRKRAB,3005,0,25,25,1,1,MrKrabsPortrait.png,Portrait_MrKrabs.png,22,-1,1,2,-1,-1,4,57,-1,1,3,180,5,15,5,15,1,1,-1,0,22,5,-1,paperdoll,26,27,3,3,3,0,0,paperdoll,26,27,3,3,3,0,0,sprite,0,295,16,16,0,-6,28,38,25,MK_Touch
5,unit,!!RESIDENT_GENE,3011,0,25,25,8,8,GeneScallopsPortrait.png,Portrait_GeneScallops.png,-1,-1,1,-1,-1,-1,5,57,-1,1,3,120,15,40,5,20,1,0,-1,0,16,5,22,paperdoll,20,23,3,3,3,0,0,paperdoll,20,23,3,3,3,0,0,sprite,0,250,16,16,0,-6,28,38,-1,Gene_Touch
6,unit,!!RESIDENT_SQUID,3016,0,25,25,7,7,SquidwardPortrait.png,Portrait_Squidward.png,8,-1,1,13,-1,-1,6,57,-1,1,3,120,20,30,6,12,1,0,-1,0,15,5,720,paperdoll,20,26,3,3,3,0,-10,n/a,-1,-1,1,1,1,0,0,sprite,0,265,16,16,0,-6,28,38,-1,Squidward_Touch
7,unit,!!RESIDENT_SQUILL,3017,0,25,25,22,22,SquilliamPortrait.png,Portrait_Squilliam.png,-1,-1,1,30,-1,-1,7,57,-1,1,3,120,18,28,4,10,1,0,-1,0,15.5,5,30,paperdoll,20,26,3,3,3,0,-10,n/a,-1,-1,1,1,1,0,0,sprite,0,265,16,16,0,-6,28,38,-1,Squilliam_Touch
8,unit,!!RESIDENT_JUDY,3020,0,25,25,5,5,JudyPortrait.png,Portrait_Judy.png,-1,-1,1,6,-1,-1,8,57,-1,1,3,120,20,40,10,20,1,0,-1,0,11,5,-1,paperdoll,20,22,3,3,3,0,-10,paperdoll,20,22,3,3,3,0,-10,sprite,0,245,16,16,0,-6,28,38,-1,Citizen_Touch
9,unit,!!RESIDENT_BILL,3034,0,25,25,4,4,BillPortrait.png,Portrait_Bill.png,-1,-1,1,5,-1,-1,9,57,-1,1,3,120,30,45,5,15,1,0,-1,0,12,5,-1,paperdoll,20,23,3,3,3,0,-10,paperdoll,20,23,3,3,3,0,-10,sprite,0,250,16,16,0,-6,28,38,-1,Citizen_Touch
