i:id,i:DID,s:Name,s:Tag,s:Description,i:Recipe DID,i:Max Instances,i:Instance 1,i:Instance 2,i:Instance 3,i:Instance 4,i:Instance 5,i:Instance 6,i:Instance 7,i:Instance 8,i:Max Costs,f:Cost Odds 1,f:Cost Odds 2,f:Cost Odds 3,f:Cost Odds 4,f:Cost Odds 5,f:Cost Odds 6,f:Cost Odds 7,i:Cost 1,i:Cost 2,i:Cost 3,i:Cost 4,i:Cost 5,i:Cost 6,i:Cost 7,i:Cost Type 1,i:Cost Type 2,i:Cost Type 3,i:Cost Type 4,i:Cost Type 5,i:Cost Type 6,i:Cost Type 7,s:Icon,i:Min Level,i:Required Recipe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9005,!!INGREDIENT_MUSTARD_SEED,bargnrez_mustard_seed,!!INGREDIENT_MUSTARD_SEED_DESC,9005,8,6,7,8,-1,-1,-1,-1,-1,7,0.1,0.25,0.3,0.25,0.1,-1,-1,20,23,25,27,30,-1,-1,3,3,3,3,3,-1,-1,MustardSeed.png,1,9005
2,9003,!!INGREDIENT_DISTILLED_VINEGAR,bargnrez_distilled_vinegar,!!INGREDIENT_DISTILLED_VINEGAR_DESC,9003,-1,6,7,8,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,20,23,25,27,30,-1,-1,3,3,3,3,3,-1,-1,DistilledVinegar.png,1,9003
3,9006,!!INGREDIENT_NATURAL_FLAVORS,bargnrez_natural_flavors,!!INGREDIENT_NATURAL_FLAVORS_DESC,9006,-1,3,4,5,-1,-1,-1,-1,-1,-1,0.1,0.8,0.1,-1,-1,-1,-1,4,5,6,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,NaturalFlavors.png,1,9006
4,9022,!!INGREDIENT_PAINT,bargnrez_paint,!!INGREDIENT_PAINT_DESC,9022,-1,3,4,5,-1,-1,-1,-1,-1,-1,0.1,0.8,0.1,-1,-1,-1,-1,4,5,6,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Paint.png,1,9022
5,9021,!!INGREDIENT_MARBLES,bargnrez_marbles,!!INGREDIENT_MARBLES_DESC,9021,-1,3,4,5,-1,-1,-1,-1,-1,-1,0.1,0.8,0.1,-1,-1,-1,-1,4,5,6,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Marbles.png,1,9021
6,9011,!!INGREDIENT_TUMERIC,bargnrez_tumeric,!!INGREDIENT_TUMERIC_DESC,9011,-1,4,5,6,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,6,7,8,9,10,-1,-1,3,3,3,3,3,-1,-1,Tumeric.png,1,9011
7,9009,!!INGREDIENT_SHELLAC,bargnrez_shellac,!!INGREDIENT_SHELLAC_DESC,9009,-1,4,5,6,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,6,7,8,9,10,-1,-1,3,3,3,3,3,-1,-1,Shellac.png,1,9009
8,9010,!!INGREDIENT_SPACKLE,bargnrez_spackle,!!INGREDIENT_SPACKLE_DESC,9010,-1,4,5,6,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,6,7,8,9,10,-1,-1,3,3,3,3,3,-1,-1,Spackle.png,1,9010
9,9007,!!INGREDIENT_PAPRIKA,bargnrez_paprika,!!INGREDIENT_PAPRIKA_DESC,9007,-1,5,6,7,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,10,11,12,13,14,-1,-1,3,3,3,3,3,-1,-1,Paprika.png,1,9007
10,9002,!!INGREDIENT_BBQ_SAUCE,bargnrez_bbq_sauce,!!INGREDIENT_BBQ_SAUCE_DESC,9002,-1,5,6,7,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,10,11,12,13,14,-1,-1,3,3,3,3,3,-1,-1,BarbecueSauce.png,1,9002
11,9004,!!INGREDIENT_DRIFTWOOD,bargnrez_driftwood,!!INGREDIENT_DRIFTWOOD_DESC,9004,-1,6,7,8,9,10,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,40,45,50,55,60,-1,-1,3,3,3,3,3,-1,-1,Driftwood.png,1,9016
12,9400,!!INGREDIENT_ELASTIC,bargnrez_elastic,!!INGREDIENT_ELASTIC_DESC,9400,-1,6,7,8,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,20,23,25,27,30,-1,-1,3,3,3,3,3,-1,-1,Elastic.png,1,9003
13,9401,!!INGREDIENT_SEQUINS,bargnrez_sequins,!!INGREDIENT_SEQUINS_DESC,9401,-1,8,9,10,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,20,23,25,27,30,-1,-1,3,3,3,3,3,-1,-1,Sequins.png,1,9003
14,9402,!!INGREDIENT_SPIRIT_GUM,bargnrez_spirit_gum,!!INGREDIENT_SPIRIT_GUM_DESC,9402,-1,6,7,8,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,20,23,25,27,30,-1,-1,3,3,3,3,3,-1,-1,SpiritGum.png,1,9003
15,9403,!!INGREDIENT_TERRYCLOTH,bargnrez_terrycloth,!!INGREDIENT_TERRYCLOTH_DESC,9403,-1,6,7,8,-1,-1,-1,-1,-1,-1,0.1,0.25,0.3,0.25,0.1,-1,-1,20,23,25,27,30,-1,-1,3,3,3,3,3,-1,-1,TerryCloth.png,1,9003
16,9008,!!INGREDIENT_SALT,bargnrez_salt,!!INGREDIENT_SALT_DESC,9008,-1,6,7,8,9,10,11,12,13,-1,0.14,0.14,0.14,0.14,0.14,0.15,0.15,10,11,12,13,14,15,16,3,3,3,3,3,3,3,Salt.png,1,9008
17,1119002,!!INGREDIENT_BBQ_SAUCE,bargnrez_bbq_sauce,!!INGREDIENT_BBQ_SAUCE_DESC,9002,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,BarbecueSauce.png,1,9002
18,1119003,!!INGREDIENT_DISTILLED_VINEGAR,bargnrez_distilled_vinegar,!!INGREDIENT_DISTILLED_VINEGAR_DESC,9003,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,DistilledVinegar.png,1,9003
19,1119004,!!INGREDIENT_DRIFTWOOD,bargnrez_driftwood,!!INGREDIENT_DRIFTWOOD_DESC,9004,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,5,10,15,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Driftwood.png,1,9016
20,1119005,!!INGREDIENT_MUSTARD_SEED,bargnrez_mustard_seed,!!INGREDIENT_MUSTARD_SEED_DESC,9005,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,MustardSeed.png,1,9005
21,1119006,!!INGREDIENT_NATURAL_FLAVORS,bargnrez_natural_flavors,!!INGREDIENT_NATURAL_FLAVORS_DESC,9006,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,NaturalFlavors.png,1,9006
22,1119007,!!INGREDIENT_PAPRIKA,bargnrez_paprika,!!INGREDIENT_PAPRIKA_DESC,9007,-1,1,2,3,-1,-1,-1,-1,-1,-1,0.33,0.34,0.33,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,Paprika.png,1,9007
