i:id,i:DID,i:Max Wishes,i:Wish DID 1,i:Wish DID 2,i:Wish DID 3,i:Wish DID 4,i:Wish DID 5,i:Wish DID 6,i:Wish DID 7,i:Wish DID 8,i:Wish DID 9,i:Wish DID 10,i:Wish DID 11,i:Wish DID 12,i:Wish DID 13,i:Wish DID 14,i:Wish DID 15,i:Wish DID 16,i:Wish DID 17,i:Wish DID 18,i:Wish DID 19,i:Wish DID 20,i:Wish DID 21,i:Wish DID 22,f:Wish Odds 1,f:Wish Odds 2,f:Wish Odds 3,f:Wish Odds 4,f:Wish Odds 5,f:Wish Odds 6,f:Wish Odds 7,f:Wish Odds 8,f:Wish Odds 9,f:Wish Odds 10,f:Wish Odds 11,f:Wish Odds 12,f:Wish Odds 13,f:Wish Odds 14,f:Wish Odds 15,f:Wish Odds 16,f:Wish Odds 17,f:Wish Odds 18,f:Wish Odds 19,f:Wish Odds 20,f:Wish Odds 21,f:Wish Odds 22
,,,wish_pool,,,,,,,,,,,,,,,,,,,,,,wish_pool,,,,,,,,,,,,,,,,,,,,,
1,1,22,9202,9204,9302,9303,9304,1,46,95,30011,40006,50004,60014,70002,80000,-1,-1,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1028571,0.1028571,0.1028571,0.1028571,0.1028571,0.1028571,0.1028571,-1,-1,-1,-1,-1,-1,-1,0.0000003
2,2,-1,9202,9204,9302,9303,9304,1,95,46,30011,40006,50004,60014,70009,80000,-1,-1,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1028571,0.1028571,0.1028571,0.1028571,0.1028571,0.1028571,0.1028571,-1,-1,-1,-1,-1,-1,-1,0.0000003
3,3,-1,9202,9204,9302,9303,9304,1,15,16,20000,30007,40008,50003,80004,80006,80009,-1,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,0.0899999,-1,-1,-1,-1,-1,-1,0.0000008
4,4,-1,9202,9204,9302,9303,9304,1,46,28,31,32,96,80002,50002,30004,80006,40007,20004,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,-1,-1,-1,-1,0.000001
5,5,-1,9202,9204,9302,9303,9304,31,27,41,20001,30008,50006,50003,60016,70002,80001,80000,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0799999,0.0799999,0.0799999,0.0799999,0.0799999,0.0799999,0.0799999,0.0799999,0.0799999,-1,-1,-1,-1,-1,0.0000009
6,6,-1,9202,9204,9302,9303,9304,32,96,15,46,28,41,97,20002,50006,60015,60016,70008,80004,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,0.0654545,-1,-1,-1,0.0000005
7,7,-1,9202,9204,9302,9303,9304,32,96,28,27,31,20004,30006,40001,70009,80006,80016,1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,-1,-1,-1,-1,0.000001
8,8,-1,9202,9204,9302,9303,9304,40,95,46,28,20000,30010,50005,60014,60015,70000,70001,80014,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,0.0719999,-1,-1,-1,-1,0.000001
9,9,-1,9202,9204,9302,9303,9304,1,46,30010,40000,50005,60015,70002,80014,-1,-1,-1,-1,-1,-1,-1,-1,92,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1199999,0.1199999,0.1199999,0.1199999,0.1199999,0.1199999,-1,-1,-1,-1,-1,-1,-1,-1,0.0000006
10,10,-1,99,30006,70011,80013,80002,80008,50002,50000,40004,40001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
11,11,-1,99,97,19,20000,30004,40001,50007,70007,80009,80011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
12,12,-1,32,96,1,20000,30006,40001,50004,60018,70009,80006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
13,13,-1,1,46,32,96,16,18,20001,30003,70010,50007,60018,80006,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000004
14,14,-1,1,46,32,96,21,18,20001,30000,40005,50001,70005,60018,80012,-1,-1,-1,-1,-1,-1,-1,-1,92,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
15,15,-1,1,19,99,20002,30004,40002,50001,60016,70008,80005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
16,16,-1,32,96,23,21,20000,30007,40006,50003,70008,80002,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
17,17,-1,1,16,28,20001,40004,50000,70007,80010,80005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
18,18,-1,22,40,23,20004,30000,40005,50006,60015,70002,80013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
19,19,-1,32,96,46,31,40,22,30000,30005,80000,70002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
20,20,-1,1,46,32,96,22,40,20004,50003,60016,70005,70001,80008,80011,-1,-1,-1,-1,-1,-1,-1,-1,92,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
21,21,-1,21,18,15,16,50007,50000,70008,70011,80004,80009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
22,22,-1,15,41,21,20002,30004,50006,70011,70009,80005,80010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
23,23,-1,32,96,31,28,27,22,20004,60018,70002,80016,80002,80008,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000004
24,24,-1,32,96,46,40,27,20001,30000,40007,50000,60017,60018,70010,80013,80000,-1,-1,-1,-1,-1,-1,-1,92,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,0.0714285,-1,-1,-1,-1,-1,-1,-1,0.000001
25,25,-1,1,16,41,30003,50006,60016,70002,80006,80009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
26,26,-1,1,22,21,20002,30009,50004,60014,70008,80004,80001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
27,27,-1,97,46,41,20004,30009,40000,50007,60017,70006,80008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
28,28,-1,32,96,31,28,27,22,20004,60018,70002,80016,80002,80008,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000004
29,29,-1,1,19,23,95,20000,30004,40003,50002,80014,80004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
30,30,-1,1,18,22,30008,40003,50005,60014,70009,80009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
31,31,-1,9016,9000,9001,9014,9015,9018,9019,9004,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
32,32,-1,9016,9000,9001,9014,9015,9018,9019,9004,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
33,33,-1,9016,9000,9001,9014,9015,9018,9019,9004,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
34,34,-1,9016,9000,9001,9014,9015,9018,9019,9004,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
35,35,-1,9016,9000,9001,9014,9015,9018,9019,9004,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
36,36,-1,9016,9000,9001,9014,9015,9018,9019,9004,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
37,37,-1,9016,9000,9001,9014,9015,9018,9019,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000008
38,38,-1,1,46,16,20002,30003,40007,50002,80013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000008
39,39,-1,9016,9000,9001,9014,9015,9018,9019,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000008
40,40,-1,9016,9000,9001,9014,9015,9018,9019,9004,9023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,0.1111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000001
41,41,-1,9102,9105,9119,9120,9121,9122,9123,9127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,0.1249999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000008
42,42,-1,9100,9102,9105,9119,9120,9121,9122,9123,9127,9127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
43,43,-1,9100,9102,9105,9119,9120,9121,9122,9123,9127,9127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
44,44,-1,9100,9102,9105,9119,9120,9121,9122,9123,9127,9127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
45,45,-1,9100,9102,9105,9119,9120,9121,9122,9123,9127,9127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,0.0999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000001
